Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969336694,-0.091634,0.821460,-0.823036
8969357296,-0.091634,0.821460,-0.774036
8969377898,-0.091634,0.772460,-0.725036
8969398500,-0.140634,0.821460,-0.823036
8969419100,-0.140634,0.772460,-0.725036
8969439704,-0.140634,0.870460,-0.725036
8969460296,-0.042634,0.821460,-0.725036
8969480894,-0.042634,0.772460,-0.823036
8969501492,-0.042634,0.821460,-0.774036
8969522089,-0.140634,0.821460,-0.823036
8969542687,-0.091634,0.870460,-0.774036
8969563286,-0.140634,0.821460,-0.725036
8969583883,-0.042634,0.821460,-0.774036
8969604480,-0.140634,0.821460,-0.676036
8969625076,-0.042634,0.772460,-0.627036
8969645672,-0.042634,0.821460,-0.676036
8969666269,-0.140634,0.821460,-0.725036
8969686866,-0.140634,0.821460,-0.725036
8969707465,-0.091634,0.821460,-0.774036
8969728063,-0.189634,0.821460,-0.823036
8969748660,-0.189634,0.870460,-0.774036
8969769258,-0.140634,0.870460,-0.725036
8969789855,-0.091634,0.870460,-0.774036
8969810453,-0.091634,0.821460,-0.627036
8969831052,-0.091634,0.870460,-0.627036
8969851650,-0.140634,0.772460,-0.823036
8969872249,-0.140634,0.821460,-0.725036
8969892846,-0.140634,0.870460,-0.627036
8969913444,-0.189634,0.772460,-0.725036
8969934041,-0.189634,0.821460,-0.774036
8969954678,-0.091634,0.821460,-0.921036
8969975235,-0.091634,0.870460,-0.774036
8969995833,-0.091634,0.821460,-0.774036
8970016431,-0.091634,0.870460,-0.774036
8970037029,-0.189634,0.821460,-0.774036
8970057629,-0.140634,0.870460,-0.725036
8970078231,-0.091634,0.821460,-0.823036
8970098831,-0.091634,0.772460,-0.774036
8970119429,-0.091634,0.772460,-0.725036
8970140032,-0.042634,0.870460,-0.872036
8970160634,-0.140634,0.870460,-0.774036
8970181235,-0.091634,0.870460,-0.676036
8970201837,-0.189634,0.919460,-0.774036
8970222438,-0.042634,0.821460,-0.725036
8970243039,-0.140634,0.870460,-0.823036
8970263640,-0.042634,0.821460,-0.774036
8970284241,-0.140634,0.870460,-0.725036
8970304842,-0.091634,0.821460,-0.774036
8970325442,-0.091634,0.821460,-0.774036
8970346039,-0.042634,0.821460,-0.725036
8970366637,-0.091634,0.772460,-0.823036
8970387237,-0.091634,0.772460,-0.872036
8970407838,-0.042634,0.821460,-0.725036
8970428438,-0.140634,0.870460,-0.823036
8970449033,-0.189634,0.919460,-0.774036
8970469627,-0.091634,0.772460,-0.774036
8970490222,-0.140634,0.772460,-0.774036
8970510818,-0.140634,0.821460,-0.725036
8970531415,-0.091634,0.772460,-0.627036
8970552011,-0.091634,0.821460,-0.774036
8970572609,-0.091634,0.772460,-0.774036
8970593210,-0.042634,0.772460,-0.725036
8970613811,-0.091634,0.821460,-0.774036
8970634412,-0.140634,0.870460,-0.725036
8970655012,-0.140634,0.870460,-0.725036
8970675613,-0.091634,0.870460,-0.725036
8970696212,-0.140634,0.919460,-0.774036
8970716810,-0.042634,0.723460,-0.725036
8970737410,-0.140634,0.870460,-0.676036
8970758009,-0.140634,0.870460,-0.627036
8970778605,-0.140634,0.821460,-0.823036
8970799205,-0.091634,0.870460,-0.774036
8970819807,-0.140634,0.821460,-0.774036
8970840407,-0.140634,0.870460,-0.774036
8970861006,-0.091634,0.772460,-0.578036
8970881605,-0.091634,0.821460,-0.627036
8970902204,-0.091634,0.821460,-0.676036
8970922802,-0.091634,0.772460,-0.823036
8970943401,-0.189634,0.870460,-0.676036
8970964000,-0.189634,0.821460,-0.823036
8970984598,-0.189634,0.772460,-0.823036
8971005195,-0.140634,0.821460,-0.823036
8971025790,-0.140634,0.821460,-0.725036
8971046385,-0.042634,0.870460,-0.725036
8971067003,-0.140634,0.821460,-0.676036
8971087579,-0.091634,0.821460,-0.774036
8971108176,-0.091634,0.870460,-0.725036
8971128772,-0.091634,0.772460,-0.823036
8971149369,-0.091634,0.821460,-0.774036
8971169966,-0.042634,0.870460,-0.774036
8971190561,-0.091634,0.870460,-0.725036
8971211157,-0.091634,0.772460,-0.823036
8971231752,-0.140634,0.821460,-0.676036
8971252348,0.006366,0.772460,-0.676036
8971272944,-0.140634,0.919460,-0.823036
8971293540,-0.140634,0.772460,-0.676036
8971314140,-0.189634,0.870460,-0.627036
8971334741,-0.091634,0.870460,-0.823036
8971355340,-0.042634,0.772460,-0.774036
8971375940,-0.140634,0.870460,-0.725036
8971396539,-0.140634,0.821460,-0.872036
8971417137,-0.140634,0.870460,-0.774036
8971437737,-0.042634,0.772460,-0.725036
8971458338,-0.091634,0.919460,-0.725036
8971478938,-0.140634,0.821460,-0.823036
8971499538,-0.091634,0.870460,-0.627036
8971520140,-0.091634,0.870460,-0.725036
8971540739,-0.140634,0.870460,-0.676036
8971561339,-0.091634,0.821460,-0.725036
8971581939,-0.140634,0.919460,-0.676036
8971602539,-0.091634,0.870460,-0.676036
