Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8969317194,-0.254711,-0.018714,0.139920,-0.080577,0.899285,-0.437323
8969319694,-0.194298,0.103575,0.201053,-0.080577,0.899285,-0.437323
8969322194,-0.072751,0.165103,0.201104,-0.081273,0.895646,-0.438049
8969324693,-0.073211,0.287394,0.201149,-0.079055,0.891308,-0.437328
8969327193,-0.073211,0.287394,0.201149,-0.075434,0.892794,-0.436610
8969329692,-0.073457,0.348346,0.262245,-0.076893,0.893507,-0.436606
8969332192,-0.073687,0.409491,0.262268,-0.084957,0.902153,-0.435129
8969334692,-0.013029,0.470828,0.262305,-0.079057,0.892037,-0.434418
8969337191,-0.012831,0.409296,0.384429,-0.077584,0.889872,-0.433694
8969339691,-0.073505,0.347766,0.445465,-0.078333,0.892772,-0.432237
8969342191,-0.073259,0.286813,0.384369,-0.079852,0.899290,-0.438053
8969344690,-0.073473,0.348152,0.323319,-0.079862,0.900744,-0.436598
8969347190,-0.073918,0.470637,0.262291,-0.076935,0.898592,-0.435150
8969349690,-0.196155,0.592545,0.262308,-0.077628,0.894956,-0.433694
8969352189,-0.257274,0.653500,0.262316,-0.074735,0.896434,-0.433701
8969354689,-0.379052,0.653117,0.262288,-0.072569,0.897176,-0.438073
8969357188,-0.379298,0.714069,0.323384,-0.075481,0.897876,-0.438065
8969359688,-0.440203,0.713685,0.384443,-0.074035,0.898615,-0.438796
8969362188,-0.500647,0.591009,0.445457,-0.077625,0.894228,-0.435876
8969364685,-0.560830,0.407575,0.384302,-0.079074,0.894217,-0.433690
8969367185,-0.742790,0.223759,0.323117,-0.076211,0.898597,-0.436608
8969369685,-0.803202,0.101470,0.261984,-0.071835,0.897916,-0.429344
8969372184,-0.863861,0.040133,0.261948,-0.073993,0.895720,-0.427883
8969374684,-0.802742,-0.020821,0.261939,-0.073264,0.894998,-0.430067
8969377184,-0.802051,-0.204258,0.261871,-0.074750,0.898615,-0.431518
8969379683,-0.801377,-0.387887,0.322876,-0.077639,0.896409,-0.432966
8969382183,-0.862051,-0.449417,0.383913,-0.076168,0.894243,-0.432970
8969384683,-0.922710,-0.510754,0.383876,-0.074712,0.894257,-0.431519
8969387182,-0.983845,-0.449993,0.444958,-0.074004,0.896443,-0.430793
8969389682,-0.922742,-0.511141,0.506022,-0.072579,0.898630,-0.436617
8969392181,-0.800734,-0.571904,0.506028,-0.075508,0.901510,-0.435154
8969394681,-0.739385,-0.694004,0.505997,-0.074043,0.900800,-0.431520
8969397181,-0.739829,-0.571519,0.444969,-0.073304,0.899354,-0.431522
8969399680,-0.679385,-0.448844,0.383955,-0.071846,0.898640,-0.432254
8969402180,-0.619171,-0.265023,0.322964,-0.068932,0.897941,-0.430807
8969404679,-0.620091,-0.020441,0.323055,-0.074719,0.894984,-0.431519
8969407179,-0.620782,0.162995,0.323123,-0.074759,0.899340,-0.432973
8969409678,-0.681901,0.223950,0.323132,-0.077664,0.900045,-0.428600
8969412178,-0.620996,0.224334,0.262072,-0.072541,0.895732,-0.428614
8969414678,-0.620798,0.162802,0.384196,-0.079800,0.893481,-0.437326
8969417178,-0.560139,0.224139,0.384233,-0.079828,0.897114,-0.435143
8969419677,-0.560599,0.346430,0.384279,-0.072588,0.900084,-0.434434
8969422177,-0.439020,0.408344,0.262183,-0.081260,0.894924,-0.433684
8969424676,-0.439480,0.530635,0.262228,-0.078343,0.894226,-0.430781
8969427176,-0.439480,0.530635,0.262228,-0.081268,0.896379,-0.430773
8969429675,-0.561258,0.530253,0.262200,-0.082678,0.892011,-0.427860
8969432175,-0.560996,0.469494,0.140031,-0.076128,0.890616,-0.427877
8969434675,-0.621194,0.285866,0.139948,-0.074719,0.895713,-0.427881
8969437174,-0.620504,0.102430,0.139880,-0.078377,0.897856,-0.432236
8969439674,-0.680964,-0.020439,0.261967,-0.076920,0.897871,-0.429330
8969442174,-0.681194,0.040707,0.261990,-0.073265,0.895727,-0.427157
8969444673,-0.681194,0.040707,0.261990,-0.070370,0.896477,-0.429348
8969447173,-0.559631,0.102428,0.200968,-0.069640,0.896485,-0.427167
8969449672,-0.498710,0.103006,0.078835,-0.072515,0.893557,-0.424249
8969452172,-0.498678,0.103393,-0.043312,-0.081253,0.894928,-0.429318
8969454671,-0.559583,0.103008,0.017747,-0.071853,0.899366,-0.432981
8969457171,-0.620504,0.102430,0.139880,-0.073321,0.900804,-0.434432
8969459671,-0.559615,0.102621,0.139894,-0.079816,0.896391,-0.431505
8969462170,-0.498940,0.164151,0.078858,-0.076168,0.894243,-0.432970
8969464670,-0.316504,0.225870,0.078923,-0.074008,0.896441,-0.433703
8969467169,-0.194727,0.226253,0.078951,-0.076214,0.900056,-0.430059
8969469669,-0.133822,0.226637,0.017892,-0.076173,0.896430,-0.424239
8969472169,-0.133822,0.226637,0.017892,-0.071089,0.895014,-0.432984
8969474668,-0.134298,0.348735,0.079011,-0.078345,0.894225,-0.431509
8969477168,-0.134560,0.409493,0.201180,-0.078354,0.894220,-0.437330
8969479667,-0.073687,0.409491,0.262268,-0.076887,0.893511,-0.432241
8969482167,-0.073473,0.348152,0.323319,-0.070390,0.898655,-0.430075
8969484667,-0.073013,0.225861,0.323273,-0.073327,0.901530,-0.434432
8969487166,-0.133672,0.164525,0.323236,-0.077672,0.900040,-0.433693
8969489666,-0.133672,0.164525,0.323236,-0.076235,0.902233,-0.431514
8969492166,-0.194330,0.103188,0.323199,-0.076172,0.894971,-0.431515
8969494665,-0.255235,0.102803,0.384259,-0.073269,0.894265,-0.437343
8969497165,-0.316632,0.224323,0.567510,-0.079120,0.900030,-0.430779
8969499665,-0.317124,0.346227,0.689702,-0.079123,0.900758,-0.428596
8969502164,-0.256466,0.407564,0.689739,-0.077673,0.901499,-0.426417
8969504664,-0.256203,0.346805,0.567570,-0.073285,0.898635,-0.423519
8969507163,-0.194592,0.163947,0.445369,-0.068942,0.899395,-0.429351
8969509663,-0.133473,0.102992,0.445360,-0.071867,0.901548,-0.429343
8969512162,-0.011696,0.103375,0.445389,-0.070375,0.897204,-0.428620
8969514662,0.049407,0.042227,0.506453,-0.071121,0.898646,-0.432983
8969517162,0.110756,-0.079873,0.506422,-0.072549,0.896457,-0.429342
8969519661,0.111002,-0.140825,0.445326,-0.072550,0.894997,-0.438073
8969522161,0.172351,-0.262925,0.445295,-0.071803,0.892825,-0.437347
8969524660,0.233685,-0.385218,0.506337,-0.071832,0.896459,-0.435164
8969527160,0.173026,-0.446554,0.506300,-0.076162,0.892787,-0.437336
8969529659,0.112169,-0.446359,0.384139,-0.079074,0.892757,-0.441693
8969532159,0.050836,-0.324066,0.323097,-0.073288,0.897173,-0.433705
8969534659,0.050392,-0.201581,0.262069,-0.075487,0.898603,-0.438065
8969537158,-0.072291,0.042812,0.201058,-0.079797,0.893483,-0.435143
8969539658,-0.194775,0.225672,0.262171,-0.079764,0.889852,-0.434416
8969542158,-0.195711,0.470061,0.323336,-0.076878,0.892056,-0.435151
8969544657,-0.135529,0.653495,0.384491,-0.074708,0.894260,-0.428608
8969547157,-0.075314,0.837316,0.323500,-0.074713,0.894987,-0.427881
8969549656,-0.014656,0.898653,0.323537,-0.073296,0.898628,-0.430795
8969552156,0.107106,0.898842,0.384639,-0.075439,0.894251,-0.431517
8969554656,0.229312,0.776546,0.506769,-0.074745,0.897888,-0.432246
8969557155,0.290447,0.715785,0.445687,-0.074057,0.902252,-0.432248
8969559655,0.229804,0.654642,0.384576,-0.069673,0.899385,-0.432260
8969562154,0.229836,0.655029,0.262430,-0.074014,0.897168,-0.432976
8969564654,0.230098,0.594270,0.140260,-0.074023,0.898622,-0.430793
8969567154,0.352336,0.472362,0.140243,-0.071138,0.900825,-0.432256
8969569653,0.291891,0.349686,0.201257,-0.076949,0.900775,-0.431512
8969572153,0.170542,0.226626,0.323330,-0.073321,0.901534,-0.430067
8969574652,0.109868,0.165096,0.384366,-0.074000,0.896445,-0.428610
8969577152,-0.011680,0.103568,0.384315,-0.076897,0.895695,-0.427147
8969579652,-0.072076,-0.018527,0.262109,-0.068884,0.892859,-0.428624
8969582151,-0.071616,-0.140818,0.262063,-0.066673,0.889247,-0.428631
8969584651,-0.132259,-0.201961,0.200953,-0.065273,0.895068,-0.430089
8969587150,-0.254052,-0.202537,0.261998,-0.063109,0.897268,-0.427912
8969589650,-0.497393,-0.264641,0.322992,-0.066701,0.892150,-0.430085
8969592150,-0.679567,-0.387118,0.200758,-0.065970,0.891429,-0.431543
8969594649,-0.800837,-0.509211,0.017464,-0.065259,0.892887,-0.433000
8969597149,-0.861447,-0.569968,-0.165793,-0.069657,0.897935,-0.430077
8969599649,-0.860987,-0.692259,-0.165839,-0.074029,0.899348,-0.430793
8969602148,-0.921646,-0.753595,-0.165876,-0.073272,0.895723,-0.431523
8969604648,-0.921432,-0.814934,-0.104825,-0.074743,0.898619,-0.427153
8969607147,-0.860543,-0.814743,-0.104811,-0.074765,0.900796,-0.428608
8969609647,-0.678123,-0.753218,-0.043672,-0.074778,0.902248,-0.429335
8969612147,-0.556805,-0.630544,-0.043599,-0.078413,0.901485,-0.435146
8969614646,-0.435258,-0.569017,-0.043548,-0.082042,0.901455,-0.432954
8969617146,-0.313711,-0.507489,-0.043497,-0.077652,0.897862,-0.432966
8969619645,-0.253496,-0.323668,-0.104488,-0.076229,0.900777,-0.435880
8969622145,-0.253480,-0.323474,-0.165561,-0.078401,0.900032,-0.435146
8969624645,-0.192345,-0.384235,-0.226643,-0.080561,0.897834,-0.435141
8969627144,-0.070798,-0.322707,-0.226592,-0.079109,0.897846,-0.435872
8969629644,-0.010616,-0.139273,-0.165436,-0.079145,0.902205,-0.434417
8969632144,0.110471,0.044546,-0.165340,-0.079132,0.901483,-0.430051
8969634643,0.170670,0.228173,-0.165258,-0.076937,0.899321,-0.432240
8969637143,0.170408,0.288932,-0.043088,-0.077669,0.899312,-0.435876
8969639642,0.109503,0.288547,0.017971,-0.075489,0.900061,-0.431516
8969642142,0.109717,0.227208,0.079022,-0.074776,0.901520,-0.431518
8969644641,0.109717,0.227208,0.079022,-0.069640,0.896485,-0.427167
8969647141,0.109963,0.166256,0.017926,-0.073281,0.897907,-0.424974
8969649641,0.171114,0.105689,-0.104230,-0.074042,0.902261,-0.422789
8969652140,0.171574,-0.016602,-0.104275,-0.071895,0.905911,-0.423522
8969654640,0.172019,-0.139087,-0.043247,-0.073334,0.903716,-0.426429
8969657139,0.111805,-0.322908,0.017744,-0.075498,0.902246,-0.424968
8969659639,0.112249,-0.445392,0.078772,-0.077680,0.902225,-0.426417
8969662139,0.051376,-0.445390,0.017684,-0.074044,0.902259,-0.424244
8969664638,0.051146,-0.384244,0.017707,-0.075484,0.900794,-0.424240
8969667138,0.050916,-0.323099,0.017730,-0.080608,0.904376,-0.428592
8969669638,0.111558,-0.261955,0.078840,-0.077709,0.905128,-0.429327
8969672138,0.172185,-0.201006,0.201024,-0.074015,0.898627,-0.425700
8969674637,0.232812,-0.140056,0.323207,-0.075425,0.893529,-0.426424
8969677136,0.232352,-0.017765,0.323253,-0.076895,0.894966,-0.429330
8969679636,0.293256,-0.017380,0.262194,-0.075454,0.895702,-0.432972
8969682136,0.232185,0.044154,0.078982,-0.074742,0.897890,-0.430063
8969684635,0.171344,0.044543,-0.104252,-0.077614,0.894234,-0.428601
8969687134,0.049583,0.044354,-0.165354,-0.078349,0.894953,-0.430054
8969689634,0.049781,-0.017178,-0.043230,-0.076142,0.892068,-0.428605
8969692134,-0.010926,-0.079095,0.139953,-0.073230,0.891368,-0.428613
8969694634,-0.010973,-0.079675,0.323174,-0.076168,0.894973,-0.429332
8969697133,-0.071632,-0.141012,0.323137,-0.076893,0.894967,-0.428603
8969699633,-0.132061,-0.263494,0.323077,-0.074706,0.894261,-0.427153
8969702132,-0.192489,-0.385976,0.323017,-0.080572,0.900017,-0.430047
8969704632,-0.192259,-0.447121,0.322995,-0.075481,0.899336,-0.430061
8969707131,-0.192489,-0.385976,0.323017,-0.074029,0.900079,-0.426427
8969709631,-0.192767,-0.325410,0.506260,-0.080601,0.903650,-0.428592
8969712130,-0.192783,-0.325604,0.567334,-0.079124,0.900757,-0.429324
8969714631,-0.131664,-0.386558,0.567325,-0.076209,0.899328,-0.431514
8969717130,-0.070974,-0.324835,0.445215,-0.081284,0.897830,-0.432956
