Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969362532,0.225906,-0.673386,0.602483
8969411988,0.225948,-0.664196,0.602539
8969461439,0.235039,-0.655152,0.602765
8969510894,0.225882,-0.673560,0.613051
8969560348,0.225956,-0.664202,0.602596
8969609804,0.225964,-0.664208,0.602653
8969659263,0.207889,-0.663937,0.602484
8969708716,0.216898,-0.664244,0.613108
8969758173,0.225998,-0.655013,0.602652
8969807631,0.216873,-0.673253,0.602427
8969857086,0.225898,-0.673379,0.602426
8969906530,0.216897,-0.673079,0.591860
8969955981,0.226006,-0.655019,0.602709
8970005433,0.216823,-0.682436,0.602314
8970054890,0.225981,-0.655194,0.613276
8970104346,0.216955,-0.655067,0.613279
8970153809,0.225856,-0.682569,0.602370
8970203272,0.216947,-0.663895,0.591972
8970252732,0.235039,-0.663986,0.581517
8970302192,0.207913,-0.663763,0.591916
8970351655,0.207847,-0.673127,0.602428
8970401109,0.207839,-0.673121,0.602371
8970450560,0.216955,-0.655067,0.613279
8970500022,0.216923,-0.655235,0.623788
8970549481,0.216947,-0.655061,0.613220
8970598934,0.216898,-0.664244,0.613108
8970648396,0.225980,-0.664028,0.592028
8970697852,0.207863,-0.672946,0.591804
8970747309,0.207839,-0.673121,0.602371
8970796773,0.207814,-0.682129,0.591691
8970846242,0.216873,-0.673253,0.602427
8970895708,0.216873,-0.673253,0.602427
8970945171,0.216823,-0.682436,0.602314
8970994640,0.216823,-0.682436,0.602314
8971044113,0.207821,-0.682136,0.591746
8971093581,0.207839,-0.673121,0.602371
8971143038,0.225906,-0.673386,0.602483
8971192500,0.216855,-0.682268,0.591802
8971241972,0.216880,-0.682094,0.581233
8971291414,0.234849,-0.691891,0.602371
8971340873,0.225864,-0.691410,0.581176
8971390329,0.243907,-0.691849,0.591857
8971439788,0.243948,-0.682659,0.591915
8971489254,0.234955,-0.682172,0.570671
8971538706,0.234947,-0.682359,0.581345
8971588163,0.243948,-0.682659,0.591915
8971637625,0.243957,-0.682666,0.591970
