Timestamp (us),W Element,X Element,Y Element,Z Element
8969317194,-0.175362,-0.215202,-0.818017,-0.504011
8969319694,-0.175355,-0.215192,-0.818019,-0.504015
8969322194,-0.175346,-0.215181,-0.818023,-0.504016
8969324693,-0.175335,-0.215169,-0.818028,-0.504018
8969327193,-0.175322,-0.215158,-0.818032,-0.504020
8969329692,-0.175309,-0.215147,-0.818036,-0.504023
8969332192,-0.175296,-0.215134,-0.818039,-0.504027
8969334692,-0.175281,-0.215122,-0.818044,-0.504030
8969337191,-0.175265,-0.215112,-0.818048,-0.504033
8969339691,-0.175250,-0.215104,-0.818051,-0.504038
8969342191,-0.175237,-0.215096,-0.818054,-0.504041
8969344690,-0.175224,-0.215085,-0.818057,-0.504045
8969347190,-0.175208,-0.215073,-0.818061,-0.504049
8969349690,-0.175191,-0.215059,-0.818063,-0.504056
8969352189,-0.175173,-0.215045,-0.818066,-0.504065
8969354689,-0.175154,-0.215030,-0.818067,-0.504076
8969357188,-0.175134,-0.215016,-0.818069,-0.504086
8969359688,-0.175113,-0.215002,-0.818069,-0.504098
8969362188,-0.175096,-0.214991,-0.818069,-0.504111
8969364685,-0.175093,-0.214995,-0.818062,-0.504120
8969367185,-0.175094,-0.215001,-0.818053,-0.504132
8969369685,-0.175098,-0.215007,-0.818042,-0.504147
8969372184,-0.175103,-0.215012,-0.818030,-0.504161
8969374684,-0.175109,-0.215019,-0.818019,-0.504174
8969377184,-0.175119,-0.215028,-0.818007,-0.504186
8969379683,-0.175132,-0.215040,-0.817995,-0.504197
8969382183,-0.175145,-0.215053,-0.817981,-0.504208
8969384683,-0.175159,-0.215067,-0.817967,-0.504221
8969387182,-0.175171,-0.215081,-0.817952,-0.504236
8969389682,-0.175183,-0.215098,-0.817937,-0.504248
8969392181,-0.175196,-0.215115,-0.817923,-0.504259
8969394681,-0.175211,-0.215133,-0.817909,-0.504269
8969397181,-0.175225,-0.215150,-0.817895,-0.504279
8969399680,-0.175236,-0.215164,-0.817884,-0.504288
8969402180,-0.175243,-0.215176,-0.817873,-0.504297
8969404679,-0.175247,-0.215185,-0.817864,-0.504307
8969407179,-0.175249,-0.215191,-0.817856,-0.504317
8969409678,-0.175250,-0.215196,-0.817846,-0.504330
8969412178,-0.175250,-0.215199,-0.817838,-0.504342
8969414678,-0.175250,-0.215204,-0.817832,-0.504350
8969417178,-0.175249,-0.215208,-0.817825,-0.504359
8969419677,-0.175245,-0.215213,-0.817819,-0.504370
8969422177,-0.175242,-0.215213,-0.817815,-0.504377
8969424676,-0.175237,-0.215213,-0.817811,-0.504385
8969427176,-0.175232,-0.215211,-0.817807,-0.504394
8969429675,-0.175229,-0.215209,-0.817801,-0.504405
8969432175,-0.175226,-0.215207,-0.817796,-0.504415
8969434675,-0.175226,-0.215207,-0.817789,-0.504427
8969437174,-0.175231,-0.215208,-0.817782,-0.504436
8969439674,-0.175236,-0.215213,-0.817773,-0.504447
8969442174,-0.175240,-0.215218,-0.817763,-0.504459
8969444673,-0.175242,-0.215223,-0.817754,-0.504471
8969447173,-0.175243,-0.215227,-0.817746,-0.504482
8969449672,-0.175246,-0.215228,-0.817739,-0.504491
8969452172,-0.175253,-0.215226,-0.817734,-0.504497
8969454671,-0.175257,-0.215227,-0.817728,-0.504506
8969457171,-0.175259,-0.215229,-0.817721,-0.504515
8969459671,-0.175264,-0.215230,-0.817715,-0.504523
8969462170,-0.175270,-0.215236,-0.817709,-0.504529
8969464670,-0.175273,-0.215243,-0.817705,-0.504532
8969467169,-0.175277,-0.215249,-0.817701,-0.504534
8969469669,-0.175282,-0.215254,-0.817697,-0.504535
8969472169,-0.175284,-0.215261,-0.817695,-0.504535
8969474668,-0.175286,-0.215266,-0.817694,-0.504535
8969477168,-0.175285,-0.215273,-0.817693,-0.504534
8969479667,-0.175283,-0.215281,-0.817691,-0.504534
8969482167,-0.175279,-0.215292,-0.817688,-0.504536
8969484667,-0.175279,-0.215304,-0.817685,-0.504536
8969487166,-0.175281,-0.215315,-0.817681,-0.504536
8969489666,-0.175283,-0.215327,-0.817677,-0.504537
8969492166,-0.175286,-0.215339,-0.817672,-0.504539
8969494665,-0.175287,-0.215353,-0.817668,-0.504540
8969497165,-0.175287,-0.215367,-0.817661,-0.504545
8969499665,-0.175284,-0.215382,-0.817653,-0.504552
8969502164,-0.175279,-0.215396,-0.817646,-0.504560
8969504664,-0.175275,-0.215410,-0.817638,-0.504567
8969507163,-0.175274,-0.215425,-0.817632,-0.504571
8969509663,-0.175275,-0.215440,-0.817627,-0.504573
8969512162,-0.175268,-0.215447,-0.817625,-0.504575
8969514662,-0.175262,-0.215456,-0.817624,-0.504575
8969517162,-0.175259,-0.215465,-0.817623,-0.504573
8969519661,-0.175256,-0.215475,-0.817624,-0.504569
8969522161,-0.175255,-0.215487,-0.817625,-0.504563
8969524660,-0.175255,-0.215501,-0.817625,-0.504557
8969527160,-0.175258,-0.215515,-0.817625,-0.504549
8969529659,-0.175263,-0.215526,-0.817626,-0.504541
8969532159,-0.175266,-0.215535,-0.817625,-0.504538
8969534659,-0.175268,-0.215541,-0.817626,-0.504534
8969537158,-0.175268,-0.215542,-0.817626,-0.504533
8969539658,-0.175265,-0.215542,-0.817626,-0.504534
8969542158,-0.175255,-0.215541,-0.817626,-0.504538
8969544657,-0.175242,-0.215539,-0.817626,-0.504544
8969547157,-0.175226,-0.215534,-0.817627,-0.504549
8969549656,-0.175207,-0.215530,-0.817629,-0.504554
8969552156,-0.175188,-0.215526,-0.817633,-0.504556
8969554656,-0.175170,-0.215527,-0.817637,-0.504555
8969557155,-0.175152,-0.215527,-0.817642,-0.504554
8969559655,-0.175135,-0.215528,-0.817645,-0.504554
8969562154,-0.175123,-0.215530,-0.817649,-0.504551
8969564654,-0.175114,-0.215530,-0.817653,-0.504548
8969567154,-0.175105,-0.215532,-0.817657,-0.504543
8969569653,-0.175100,-0.215536,-0.817661,-0.504538
8969572153,-0.175096,-0.215543,-0.817661,-0.504536
8969574652,-0.175092,-0.215552,-0.817660,-0.504534
8969577152,-0.175092,-0.215560,-0.817658,-0.504535
8969579652,-0.175092,-0.215568,-0.817655,-0.504535
8969582151,-0.175094,-0.215579,-0.817652,-0.504535
8969584651,-0.175097,-0.215589,-0.817649,-0.504536
8969587150,-0.175100,-0.215600,-0.817642,-0.504540
8969589650,-0.175105,-0.215612,-0.817634,-0.504547
8969592150,-0.175114,-0.215622,-0.817624,-0.504555
8969594649,-0.175128,-0.215630,-0.817613,-0.504565
8969597149,-0.175147,-0.215634,-0.817602,-0.504575
8969599649,-0.175169,-0.215638,-0.817590,-0.504585
8969602148,-0.175192,-0.215643,-0.817578,-0.504595
8969604648,-0.175217,-0.215650,-0.817564,-0.504606
8969607147,-0.175241,-0.215656,-0.817551,-0.504616
8969609647,-0.175262,-0.215664,-0.817540,-0.504623
8969612147,-0.175281,-0.215670,-0.817532,-0.504627
8969614646,-0.175300,-0.215675,-0.817525,-0.504629
8969617146,-0.175315,-0.215681,-0.817520,-0.504629
8969619645,-0.175327,-0.215684,-0.817517,-0.504628
8969622145,-0.175341,-0.215686,-0.817515,-0.504627
8969624645,-0.175356,-0.215687,-0.817513,-0.504624
8969627144,-0.175369,-0.215688,-0.817513,-0.504619
8969629644,-0.175379,-0.215689,-0.817513,-0.504615
8969632144,-0.175384,-0.215688,-0.817515,-0.504611
8969634643,-0.175386,-0.215685,-0.817518,-0.504605
8969637143,-0.175384,-0.215684,-0.817523,-0.504600
8969639642,-0.175382,-0.215684,-0.817524,-0.504597
8969642142,-0.175381,-0.215686,-0.817526,-0.504595
8969644641,-0.175378,-0.215689,-0.817527,-0.504593
8969647141,-0.175378,-0.215690,-0.817527,-0.504592
8969649641,-0.175381,-0.215690,-0.817528,-0.504590
8969652140,-0.175385,-0.215692,-0.817528,-0.504587
8969654640,-0.175391,-0.215696,-0.817528,-0.504584
8969657139,-0.175401,-0.215702,-0.817526,-0.504580
8969659639,-0.175403,-0.215695,-0.817528,-0.504579
8969662139,-0.175405,-0.215687,-0.817529,-0.504580
8969664638,-0.175407,-0.215679,-0.817531,-0.504580
8969667138,-0.175408,-0.215668,-0.817534,-0.504580
8969669638,-0.175407,-0.215659,-0.817536,-0.504580
8969672138,-0.175402,-0.215653,-0.817540,-0.504579
8969674637,-0.175394,-0.215648,-0.817544,-0.504578
8969677136,-0.175385,-0.215641,-0.817549,-0.504576
8969679636,-0.175375,-0.215634,-0.817555,-0.504572
8969682136,-0.175366,-0.215623,-0.817561,-0.504569
8969684635,-0.175361,-0.215608,-0.817568,-0.504567
8969687134,-0.175357,-0.215591,-0.817573,-0.504567
8969689634,-0.175352,-0.215577,-0.817578,-0.504566
8969692134,-0.175346,-0.215568,-0.817581,-0.504568
8969694634,-0.175339,-0.215561,-0.817583,-0.504570
8969697133,-0.175333,-0.215555,-0.817584,-0.504573
8969699633,-0.175329,-0.215550,-0.817584,-0.504577
8969702132,-0.175329,-0.215545,-0.817582,-0.504581
8969704632,-0.175329,-0.215542,-0.817581,-0.504586
8969707131,-0.175328,-0.215538,-0.817578,-0.504591
8969709631,-0.175327,-0.215538,-0.817575,-0.504596
8969712130,-0.175325,-0.215540,-0.817572,-0.504602
8969714631,-0.175322,-0.215544,-0.817570,-0.504605
8969717130,-0.175321,-0.215544,-0.817569,-0.504606
8969719630,-0.175317,-0.215543,-0.817570,-0.504607
8969722129,-0.175308,-0.215542,-0.817572,-0.504607
8969724629,-0.175297,-0.215540,-0.817574,-0.504608
8969727129,-0.175284,-0.215537,-0.817577,-0.504610
8969729628,-0.175271,-0.215533,-0.817579,-0.504612
8969732128,-0.175254,-0.215528,-0.817584,-0.504613
8969734627,-0.175235,-0.215521,-0.817590,-0.504612
8969737127,-0.175214,-0.215514,-0.817598,-0.504609
8969739627,-0.175190,-0.215508,-0.817607,-0.504605
8969742126,-0.175162,-0.215503,-0.817618,-0.504600
8969744626,-0.175134,-0.215496,-0.817629,-0.504594
8969747125,-0.175108,-0.215488,-0.817641,-0.504586
8969749625,-0.175083,-0.215482,-0.817653,-0.504580
8969752125,-0.175056,-0.215476,-0.817663,-0.504574
8969754624,-0.175030,-0.215472,-0.817673,-0.504570
8969757124,-0.175005,-0.215467,-0.817680,-0.504568
8969759623,-0.174991,-0.215470,-0.817685,-0.504565
8969762123,-0.174977,-0.215473,-0.817689,-0.504561
8969764623,-0.174962,-0.215478,-0.817694,-0.504557
8969767122,-0.174942,-0.215485,-0.817698,-0.504555
8969769622,-0.174917,-0.215494,-0.817702,-0.504553
8969772121,-0.174894,-0.215500,-0.817706,-0.504551
