Timestamp (us),Percentage (%),Power (dBm)
8969799734,82.000000,-59.000000
8970799606,80.000000,-60.000000
8971806932,84.000000,-58.000000
8972804275,80.000000,-60.000000
8973791605,88.000000,-56.000000
8974795589,80.000000,-60.000000
8975796303,80.000000,-60.000000
8976793746,82.000000,-59.000000
8977797662,82.000000,-59.000000
8978795867,80.000000,-60.000000
8979797536,82.000000,-59.000000
8980791000,80.000000,-60.000000
8981800373,80.000000,-60.000000
8982807703,84.000000,-58.000000
8983792530,90.000000,-55.000000
8984797388,96.000000,-52.000000
8985792218,78.000000,-61.000000
8986796618,78.000000,-61.000000
8987809401,96.000000,-52.000000
8988796745,76.000000,-62.000000
8989790527,78.000000,-61.000000
8990793951,80.000000,-60.000000
8991793777,80.000000,-60.000000
8992801764,86.000000,-57.000000
8993805961,98.000000,-51.000000
8994803307,74.000000,-63.000000
8995793150,88.000000,-56.000000
8996792994,100.000000,-49.000000
8997797854,80.000000,-60.000000
8998800180,82.000000,-59.000000
8999795027,82.000000,-59.000000
9000799869,76.000000,-62.000000
9001792215,76.000000,-62.000000
9002794557,78.000000,-61.000000
9003801917,80.000000,-60.000000
9004804246,80.000000,-60.000000
9005804088,80.000000,-60.000000
9006788935,78.000000,-61.000000
9007801291,78.000000,-61.000000
9008793622,100.000000,-50.000000
9009795968,82.000000,-59.000000
9010804383,100.000000,-50.000000
9011805656,100.000000,-48.000000
9012798001,92.000000,-54.000000
9013790350,100.000000,-49.000000
9014797697,100.000000,-50.000000
9015800852,86.000000,-57.000000
9016794884,74.000000,-63.000000
9017796151,76.000000,-62.000000
9018812068,76.000000,-62.000000
9019799417,76.000000,-62.000000
9020791792,84.000000,-58.000000
9021801636,82.000000,-59.000000
9022796451,82.000000,-59.000000
9023798647,80.000000,-60.000000
9024798642,86.000000,-57.000000
9025790989,82.000000,-59.000000
9026800834,84.000000,-58.000000
9027805693,96.000000,-52.000000
9028798025,88.000000,-56.000000
9029793832,82.000000,-59.000000
9030805217,100.000000,-49.000000
9031812582,80.000000,-60.000000
9032804907,74.000000,-63.000000
9033807253,72.000000,-64.000000
9034797100,72.000000,-64.000000
9035800892,80.000000,-60.000000
9036799308,76.000000,-62.000000
9037801655,76.000000,-62.000000
9038798985,96.000000,-52.000000
9039796331,74.000000,-63.000000
9040792863,100.000000,-50.000000
9041801024,74.000000,-63.000000
9042798372,78.000000,-61.000000
9043793232,74.000000,-63.000000
9044800565,86.000000,-57.000000
9045795435,78.000000,-61.000000
9046795259,92.000000,-54.000000
9047797633,80.000000,-60.000000
9048789953,78.000000,-61.000000
9049799815,78.000000,-61.000000
9050797160,96.000000,-52.000000
9051794513,94.000000,-53.000000
9052809354,92.000000,-54.000000
9053796686,94.000000,-53.000000
9054796534,80.000000,-60.000000
9055789970,82.000000,-59.000000
9056795801,78.000000,-61.000000
9057796077,98.000000,-51.000000
9058810920,80.000000,-60.000000
9059793272,84.000000,-58.000000
9060798258,78.000000,-61.000000
9061802963,76.000000,-62.000000
9062795151,74.000000,-63.000000
9063799113,76.000000,-62.000000
9064792509,92.000000,-54.000000
9065793404,80.000000,-60.000000
9066804718,78.000000,-61.000000
9067797051,92.000000,-54.000000
9068809398,76.000000,-62.000000
9069796763,76.000000,-62.000000
9070789703,76.000000,-62.000000
9071793943,78.000000,-61.000000
9072788821,88.000000,-56.000000
