Timestamp (us),Temperature (degC)
8969519661,45.000000
8970519505,44.974998
8971519346,44.875000
8972519190,45.000000
8973519031,45.000000
8974518873,45.000000
8975518717,45.000000
8976518558,45.000000
8977518402,45.000000
8978518244,45.000000
8979518088,44.950001
8980517929,44.875000
8981517771,45.000000
8982517632,45.000000
8983517457,45.000000
8984517301,45.000000
8985517144,45.000000
8986516987,45.000000
8987516831,45.000000
8988516673,45.000000
8989516518,45.000000
8990516360,45.000000
8991516203,45.000000
8992516048,45.049999
8993515890,45.099998
8994515735,45.000000
8995515577,45.125000
8996515422,45.125000
8997515265,45.125000
8998515108,45.125000
8999514954,45.000000
9000514797,45.099998
9001514642,45.125000
9002514484,45.125000
9003514330,45.125000
9004514173,45.000000
9005514016,45.000000
9006513862,45.049999
9007513705,45.125000
9008513551,45.125000
9009513394,45.125000
9010513239,45.125000
9011513085,45.125000
9012512929,45.125000
9013512775,45.125000
9014512619,45.125000
9015512464,45.125000
9016512310,45.125000
9017512154,45.125000
9018512001,45.125000
9019511844,45.125000
9020511690,45.125000
9021511536,45.125000
9022511380,45.125000
9023511226,45.125000
9024511070,45.125000
9025510917,45.125000
9026510761,45.125000
9027510607,45.224998
9028510454,45.174999
9029510298,45.125000
9030510146,45.125000
9031509990,45.125000
9032509837,45.125000
9033509682,45.125000
9034509528,45.125000
9035509375,45.125000
9036509220,45.125000
9037509067,45.125000
9038508912,45.174999
9039508759,45.250000
9040508606,45.250000
9041508452,45.250000
9042508301,45.250000
9043508146,45.250000
9044507994,45.250000
9045507839,45.250000
9046507686,45.250000
9047507533,45.250000
9048507379,45.250000
9049507227,45.250000
9050507073,45.250000
9051506921,45.250000
9052506766,45.250000
9053506613,45.250000
9054506462,45.250000
9055506308,45.250000
9056506157,45.250000
9057506003,45.224998
9058505850,45.125000
9059505700,45.224998
9060505545,45.250000
9061505395,45.250000
9062505242,45.250000
9063505089,45.250000
9064504937,45.250000
9065504802,45.250000
9066504632,45.250000
9067504481,45.250000
9068504327,45.250000
9069504175,45.250000
9070504024,45.250000
9071503870,45.250000
9072503717,45.250000
