Timestamp (us),Percentage (%),Voltage (V),Charging Status
8969671754,81.553574,3.815536,0.000000
8970672317,81.557594,3.815576,0.000000
8971672848,81.485077,3.814851,0.000000
8972673382,81.538803,3.815388,0.000000
8973673913,81.530739,3.815308,0.000000
8974674447,81.524033,3.815240,0.000000
8975674981,81.528061,3.815280,0.000000
8976675514,81.503883,3.815039,0.000000
8977676091,81.515961,3.815160,0.000000
8978676624,81.489105,3.814891,0.000000
8979677159,81.467628,3.814676,0.000000
8980677691,81.513290,3.815133,0.000000
8981678222,81.501198,3.815012,0.000000
8982678753,81.502541,3.815025,0.000000
8983679288,81.483742,3.814837,0.000000
8984679819,81.448837,3.814488,0.000000
8985680352,81.447495,3.814475,0.000000
8986680883,81.493149,3.814931,0.000000
8987681414,81.427338,3.814273,0.000000
8988681945,81.467621,3.814676,0.000000
8989682478,81.464951,3.814650,0.000000
8990683008,81.462257,3.814622,0.000000
8991683539,81.467636,3.814676,0.000000
8992684076,81.442123,3.814421,0.000000
8993684609,81.439430,3.814394,0.000000
8994685140,81.448837,3.814488,0.000000
8995685702,81.426003,3.814260,0.000000
8996686233,81.446144,3.814461,0.000000
8997686764,81.408539,3.814085,0.000000
8998687295,81.483742,3.814837,0.000000
8999687826,81.436737,3.814367,0.000000
9000688357,81.417953,3.814179,0.000000
9001688888,81.417946,3.814180,0.000000
9002689418,81.409889,3.814099,0.000000
9003689952,81.462250,3.814622,0.000000
9004690487,81.444794,3.814448,0.000000
9005691018,81.436745,3.814368,0.000000
9006691551,81.407211,3.814072,0.000000
9007692084,81.403175,3.814032,0.000000
9008692619,81.365578,3.813656,0.000000
9009693152,81.358856,3.813589,0.000000
9010693683,81.383034,3.813830,0.000000
9011694215,81.362885,3.813629,0.000000
9012694746,81.349457,3.813494,0.000000
9013695280,81.337387,3.813374,0.000000
9014695811,81.364235,3.813643,0.000000
9015696345,81.336037,3.813361,0.000000
9016696876,81.380348,3.813803,0.000000
9017697408,81.361549,3.813615,0.000000
9018697939,81.360207,3.813602,0.000000
9019698472,81.353493,3.813535,0.000000
9020699043,81.366913,3.813669,0.000000
9021699574,81.322609,3.813226,0.000000
9022700105,81.337372,3.813374,0.000000
9023700636,81.325287,3.813253,0.000000
9024701168,81.303810,3.813038,0.000000
9025701699,81.354836,3.813549,0.000000
9026702233,81.330658,3.813307,0.000000
9027702764,81.310516,3.813105,0.000000
9028703295,81.301125,3.813011,0.000000
9029703826,81.299789,3.812998,0.000000
9030704356,81.321266,3.813213,0.000000
9031704888,81.306488,3.813065,0.000000
9032705419,81.315895,3.813159,0.000000
9033705949,81.315895,3.813159,0.000000
9034706482,81.303810,3.813038,0.000000
9035707013,81.294403,3.812944,0.000000
9036707543,81.307838,3.813078,0.000000
9037708075,81.289040,3.812890,0.000000
9038708606,81.246071,3.812461,0.000000
9039709141,81.272926,3.812729,0.000000
9040709672,81.252777,3.812528,0.000000
9041710204,81.243393,3.812434,0.000000
9042710738,81.342751,3.813428,0.000000
9043711268,81.242035,3.812420,0.000000
9044711802,81.260834,3.812608,0.000000
9045712336,81.256813,3.812568,0.000000
9046712866,81.232635,3.812326,0.000000
9047713397,81.271576,3.812716,0.000000
9048713928,81.236664,3.812366,0.000000
9049714460,81.232651,3.812326,0.000000
9050714991,81.264870,3.812649,0.000000
9051715531,81.221893,3.812219,0.000000
9052716070,81.176239,3.811762,0.000000
9053716601,81.203094,3.812031,0.000000
9054717133,81.238014,3.812380,0.000000
9055717664,81.213844,3.812139,0.000000
9056718194,81.189674,3.811897,0.000000
9057718725,81.195038,3.811950,0.000000
9058719256,81.216522,3.812165,0.000000
9059719787,81.200409,3.812004,0.000000
9060720319,81.197731,3.811977,0.000000
9061720850,81.192360,3.811924,0.000000
9062721388,81.174896,3.811749,0.000000
9063721921,81.186981,3.811870,0.000000
9064722453,81.166840,3.811668,0.000000
9065722985,81.149384,3.811494,0.000000
9066723516,81.172218,3.811722,0.000000
9067724049,81.154762,3.811548,0.000000
9068724583,81.146706,3.811467,0.000000
9069725114,81.193695,3.811937,0.000000
9070725645,81.152077,3.811521,0.000000
9071726176,81.154762,3.811548,0.000000
9072726707,81.153419,3.811534,0.000000
