Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969324004,-0.152808,0.986749,-0.394792
8969344831,-0.103808,0.937749,-0.296792
8969365655,-0.054807,0.986749,-0.394792
8969386482,-0.103808,0.986749,-0.345792
8969407307,-0.054807,0.986749,-0.247792
8969428135,-0.054807,0.937749,-0.345792
8969448962,-0.152808,0.937749,-0.296792
8969469789,-0.103808,1.035749,-0.394792
8969490616,-0.054807,0.937749,-0.345792
8969511445,-0.103808,0.937749,-0.394792
8969532272,-0.103808,0.937749,-0.345792
8969553098,-0.054807,0.888749,-0.345792
8969573958,0.043193,0.937749,-0.296792
8969594746,-0.054807,0.937749,-0.345792
8969615572,-0.152808,0.937749,-0.345792
8969636396,-0.054807,0.888749,-0.443792
8969657220,-0.103808,0.937749,-0.394792
8969678046,-0.054807,0.986749,-0.345792
8969698872,-0.201807,0.986749,-0.345792
8969719694,-0.152808,0.986749,-0.345792
8969740519,-0.005808,0.888749,-0.394792
8969761344,-0.103808,0.937749,-0.394792
8969782169,-0.103808,0.888749,-0.443792
8969802992,-0.054807,0.888749,-0.345792
8969823815,-0.054807,0.937749,-0.296792
8969844638,-0.103808,0.937749,-0.247792
8969865464,-0.103808,1.035749,-0.296792
8969886290,-0.005808,0.888749,-0.247792
8969907118,-0.054807,0.888749,-0.296792
8969927945,-0.103808,0.937749,-0.443792
8969948772,-0.054807,0.937749,-0.443792
8969969597,-0.054807,0.888749,-0.345792
8969990425,-0.005808,0.937749,-0.296792
8970011252,-0.005808,0.888749,-0.394792
8970032080,-0.054807,0.937749,-0.345792
8970052903,-0.054807,0.888749,-0.345792
8970073727,-0.005808,0.937749,-0.394792
8970094552,-0.054807,0.986749,-0.296792
8970115378,-0.103808,0.986749,-0.394792
8970136210,-0.103808,0.986749,-0.345792
8970157049,-0.103808,1.035749,-0.345792
8970177886,0.043193,0.937749,-0.443792
8970198723,-0.054807,0.937749,-0.345792
8970219558,-0.054807,0.986749,-0.394792
8970240381,-0.054807,0.888749,-0.345792
8970261207,-0.103808,0.937749,-0.443792
8970282033,-0.005808,0.937749,-0.345792
8970302858,-0.054807,0.937749,-0.296792
8970323685,-0.201807,0.937749,-0.296792
8970344512,-0.103808,0.937749,-0.198792
8970365339,-0.054807,0.888749,-0.443792
8970386164,-0.103808,0.986749,-0.345792
8970406988,-0.005808,0.937749,-0.247792
8970427812,-0.152808,0.986749,-0.345792
8970448637,-0.152808,0.986749,-0.345792
8970469461,-0.054807,0.888749,-0.345792
8970490290,-0.005808,0.839749,-0.345792
8970511120,-0.103808,0.888749,-0.394792
8970531948,0.043193,0.888749,-0.345792
8970552773,-0.054807,0.937749,-0.345792
