Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8969321142,-0.167678,0.063246,0.055202,-0.012147,0.998068,-0.025995
8969323645,-0.106762,0.063170,0.115897,-0.011404,0.998792,-0.027441
8969326147,0.076069,0.001528,0.116008,-0.013566,0.999541,-0.029635
8969328649,0.197897,-0.059880,0.116112,-0.012120,1.000250,-0.027442
8969331152,0.258904,0.000742,0.055251,-0.012866,0.997354,-0.028183
8969333654,0.198000,0.061774,-0.005606,-0.013631,0.994451,-0.026017
8969336156,0.137074,0.061811,-0.066316,-0.013620,0.995179,-0.026741
8969338659,0.015139,0.062222,-0.066309,-0.012858,0.999528,-0.026722
8969341161,-0.106757,0.062633,-0.066303,-0.013587,0.998086,-0.028186
8969343663,-0.167629,0.123805,-0.066415,-0.015809,0.993747,-0.027489
8969346166,-0.106671,0.062575,-0.066261,-0.015139,0.991549,-0.021675
8969348668,0.015254,0.062125,-0.066226,-0.013669,0.991542,-0.023845
8969351170,0.137058,0.061833,-0.005486,-0.015076,0.994467,-0.027481
8969353673,0.136973,0.122950,0.055095,-0.015070,0.995916,-0.026750
8969356176,0.075901,0.123285,0.115776,-0.013599,0.996634,-0.028191
8969358678,-0.046055,0.062700,0.115852,-0.011431,0.992993,-0.030367
8969361180,-0.107107,-0.120035,0.116188,-0.009251,0.995145,-0.027436
8969363702,-0.106990,-0.120156,0.055446,-0.012170,0.995889,-0.025275
8969366197,-0.045970,-0.059357,0.055309,-0.014355,0.993011,-0.028208
8969368685,0.015030,0.001424,0.055173,-0.012875,0.993732,-0.031102
8969371187,0.076054,0.001049,-0.005543,-0.011396,0.996624,-0.031082
8969373690,0.015127,-0.059871,-0.066128,-0.015048,0.997372,-0.028199
8969376192,-0.045864,-0.120614,-0.065988,-0.015804,0.994473,-0.027487
8969378694,-0.045889,-0.181553,-0.065840,-0.013622,0.993731,-0.028200
8969381197,-0.046001,-0.120202,0.055465,-0.012898,0.995171,-0.026009
8969383699,0.014957,0.001733,0.115907,-0.014394,0.990102,-0.026036
8969386202,0.076018,0.184447,0.115499,-0.015100,0.990840,-0.028220
8969388704,0.258832,0.183744,0.115483,-0.013615,0.995181,-0.027468
8969391206,0.319780,0.183312,0.054748,-0.011416,0.996616,-0.028175
8969393709,0.380831,0.243699,-0.066799,-0.012876,0.996626,-0.027458
8969396211,0.380754,0.182487,-0.127358,-0.015060,0.995196,-0.028933
8969398713,0.319732,0.121509,-0.187904,-0.014335,0.993018,-0.031115
8969401216,0.258522,-0.000109,-0.126893,-0.014372,0.991557,-0.027485
8969403718,0.197412,0.000265,-0.066155,-0.014358,0.995181,-0.025293
8969406220,0.136238,0.000798,0.055270,-0.011416,0.996616,-0.028175
8969408723,0.075167,0.001172,0.115951,-0.012128,0.997352,-0.029632
8969411225,0.136172,0.000797,0.055216,-0.011421,0.996615,-0.027448
8969413727,0.075266,0.000854,-0.005513,-0.012193,0.992986,-0.025284
