Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969356258,0.227551,-1.054821,1.098933
8969406376,0.236584,-1.054941,1.109286
8969456503,0.227585,-1.045949,1.099286
8969506625,0.218630,-1.045894,1.099312
8969556744,0.236476,-1.045965,1.089258
8969606870,0.245460,-1.054932,1.098881
8969657001,0.218680,-1.045910,1.108933
8969707124,0.236604,-1.046045,1.109262
8969757253,0.236506,-1.054876,1.098907
8969807378,0.236533,-1.045993,1.099071
8969857501,0.236676,-1.046097,1.119455
8969907619,0.236562,-1.054904,1.108715
8969957738,0.245524,-1.054972,1.108880
8970007850,0.245473,-1.046024,1.098667
8970057973,0.236478,-1.063760,1.098742
8970108091,0.227571,-1.045925,1.098908
8970158204,0.245559,-1.046100,1.109236
8970208318,0.218590,-1.063686,1.099361
8970258439,0.227571,-1.045925,1.098908
8970308559,0.227422,-1.054741,1.078935
8970358678,0.236506,-1.054876,1.098907
8970408790,0.227608,-1.054849,1.108742
8970458907,0.236525,-1.045981,1.098882
8970509032,0.236547,-1.046017,1.099449
8970559151,0.236498,-1.054864,1.098718
8970609268,0.236590,-1.046021,1.108881
8970659390,0.227595,-1.063757,1.108956
8970709506,0.227572,-1.054858,1.099500
8970759622,0.236698,-1.054996,1.128904
8970809743,0.227619,-1.037077,1.099640
8970859864,0.236449,-1.054849,1.089095
8970909980,0.245473,-1.046024,1.098667
8970960099,0.236590,-1.046021,1.108881
8971010221,0.236540,-1.046005,1.099260
8971060340,0.236646,-1.046049,1.118689
8971110455,0.236661,-1.046073,1.119072
8971160573,0.227571,-1.045925,1.098908
8971210689,0.236609,-1.037125,1.108857
8971260798,0.227514,-1.045897,1.089097
8971310915,0.236533,-1.045993,1.099071
8971361036,0.236584,-1.054941,1.109286
8971411159,0.227608,-1.054849,1.108742
8971461281,0.236434,-1.054824,1.088720
8971511403,0.236540,-1.046005,1.099260
8971561524,0.227662,-1.037082,1.109073
8971611644,0.245468,-1.054944,1.099069
8971661769,0.236570,-1.054916,1.108906
8971711894,0.236562,-1.054904,1.108715
8971762013,0.245426,-1.054940,1.089632
8971812143,0.227649,-1.045990,1.109288
8971862271,0.245460,-1.054932,1.098881
8971912392,0.236513,-1.054888,1.099095
8971962513,0.236535,-1.054925,1.099663
8972012631,0.236597,-1.046033,1.109071
8972062755,0.236525,-1.045981,1.098882
8972112882,0.236533,-1.045993,1.099071
8972163001,0.236562,-1.054904,1.108715
8972213121,0.227693,-1.054925,1.119314
8972263238,0.236597,-1.046033,1.109071
8972313358,0.236441,-1.054836,1.088908
8972363475,0.236661,-1.046073,1.119072
8972413596,0.236614,-1.063852,1.118929
8972463717,0.218680,-1.045910,1.108933
8972513837,0.227693,-1.054925,1.119314
8972563960,0.227608,-1.054849,1.108742
8972614075,0.227642,-1.045977,1.109097
8972664192,0.227521,-1.045909,1.089284
8972714308,0.236577,-1.054929,1.109096
8972764426,0.236570,-1.054916,1.108906
8972814544,0.236641,-1.054968,1.119096
8972864660,0.236513,-1.054888,1.099095
8972914779,0.227437,-1.054765,1.079307
8972964897,0.236533,-1.045993,1.099071
8973015011,0.227488,-1.063714,1.089521
8973065124,0.227699,-1.046005,1.118906
8973115240,0.245547,-1.055008,1.109451
8973165360,0.236590,-1.046021,1.108881
8973215476,0.227685,-1.045981,1.118523
8973265590,0.245409,-1.045984,1.088670
8973315707,0.227551,-1.054821,1.098933
8973365828,0.236449,-1.054849,1.089095
8973415952,0.236461,-1.045941,1.088883
8973466076,0.236504,-1.045945,1.098316
8973516202,0.245539,-1.054996,1.109260
8973566319,0.245589,-1.055012,1.118879
8973616437,0.236547,-1.046017,1.099449
8973666558,0.236506,-1.054876,1.098907
8973716680,0.227649,-1.045990,1.109288
8973766808,0.236654,-1.046061,1.118880
8973816929,0.227499,-1.045873,1.088722
8973867047,0.227629,-1.054885,1.109312
8973917169,0.227629,-1.054885,1.109312
8973967292,0.227663,-1.046014,1.109669
8974017414,0.227615,-1.054861,1.108932
8974067544,0.227623,-1.063806,1.109718
8974117669,0.236547,-1.046017,1.099449
8974167793,0.236513,-1.054888,1.099095
8974217918,0.227615,-1.054861,1.108932
8974268042,0.245475,-1.054956,1.099258
8974318159,0.236597,-1.046033,1.109071
8974368276,0.236611,-1.046057,1.109452
8974418395,0.245503,-1.046072,1.099423
8974468518,0.236533,-1.045993,1.099071
8974518644,0.236525,-1.045981,1.098882
8974568771,0.236577,-1.054929,1.109096
8974618889,0.227571,-1.045925,1.098908
8974669008,0.236533,-1.045993,1.099071
8974719125,0.236506,-1.054876,1.098907
8974769240,0.236520,-1.054901,1.099285
8974819352,0.227551,-1.054821,1.098933
8974869466,0.236570,-1.054916,1.108906
8974919589,0.236590,-1.046021,1.108881
8974969708,0.236584,-1.054941,1.109286
8975019821,0.227551,-1.054821,1.098933
8975069941,0.236513,-1.054888,1.099095
8975120060,0.236469,-1.045953,1.089071
8975170183,0.236661,-1.046073,1.119072
8975220299,0.236592,-1.054953,1.109477
8975270417,0.236614,-1.063852,1.118929
8975320535,0.227635,-1.045965,1.108907
8975370650,0.227545,-1.063741,1.099335
8975420775,0.236533,-1.045993,1.099071
8975470897,0.236668,-1.046085,1.119264
8975521029,0.227706,-1.046017,1.119098
8975571153,0.236513,-1.054888,1.099095
8975621278,0.236527,-1.054913,1.099474
8975671403,0.236461,-1.045941,1.088883
8975721525,0.236469,-1.045953,1.089071
8975771650,0.236634,-1.054956,1.118905
8975821779,0.227615,-1.054861,1.108932
8975871902,0.227585,-1.045949,1.099286
8975922033,0.236545,-1.037085,1.098858
8975972158,0.236570,-1.054916,1.108906
8976022281,0.236537,-1.072720,1.109145
8976072403,0.236506,-1.054876,1.098907
8976122554,0.218788,-1.054886,1.128956
8976172653,0.227487,-1.054781,1.088934
