Timestamp (us),W Element,X Element,Y Element,Z Element
8969321142,-0.075320,-0.068181,-0.713838,-0.693078
8969323645,-0.075316,-0.068181,-0.713836,-0.693080
8969326147,-0.075313,-0.068181,-0.713838,-0.693079
8969328649,-0.075310,-0.068183,-0.713841,-0.693076
8969331152,-0.075308,-0.068183,-0.713845,-0.693072
8969333654,-0.075306,-0.068181,-0.713848,-0.693070
8969336156,-0.075305,-0.068178,-0.713850,-0.693068
8969338659,-0.075303,-0.068175,-0.713850,-0.693068
8969341161,-0.075303,-0.068172,-0.713849,-0.693070
8969343663,-0.075302,-0.068166,-0.713847,-0.693072
8969346166,-0.075301,-0.068162,-0.713844,-0.693076
8969348668,-0.075301,-0.068159,-0.713843,-0.693077
8969351170,-0.075299,-0.068156,-0.713845,-0.693075
8969353673,-0.075296,-0.068154,-0.713848,-0.693073
8969356176,-0.075291,-0.068152,-0.713849,-0.693072
8969358678,-0.075286,-0.068152,-0.713849,-0.693073
8969361180,-0.075284,-0.068155,-0.713847,-0.693075
8969363702,-0.075283,-0.068156,-0.713844,-0.693078
8969366197,-0.075282,-0.068156,-0.713844,-0.693078
8969368685,-0.075280,-0.068155,-0.713845,-0.693077
8969371187,-0.075278,-0.068154,-0.713847,-0.693076
8969373690,-0.075279,-0.068152,-0.713848,-0.693075
8969376192,-0.075281,-0.068150,-0.713847,-0.693076
8969378694,-0.075283,-0.068150,-0.713846,-0.693076
8969381197,-0.075283,-0.068151,-0.713845,-0.693078
8969383699,-0.075280,-0.068150,-0.713845,-0.693078
8969386202,-0.075274,-0.068147,-0.713847,-0.693077
8969388704,-0.075268,-0.068145,-0.713851,-0.693074
8969391206,-0.075262,-0.068142,-0.713856,-0.693069
8969393709,-0.075257,-0.068137,-0.713862,-0.693064
8969396211,-0.075254,-0.068130,-0.713869,-0.693058
8969398713,-0.075254,-0.068124,-0.713875,-0.693052
8969401216,-0.075254,-0.068121,-0.713880,-0.693048
8969403718,-0.075254,-0.068118,-0.713882,-0.693046
8969406220,-0.075251,-0.068118,-0.713884,-0.693044
8969408723,-0.075249,-0.068120,-0.713886,-0.693042
8969411225,-0.075247,-0.068122,-0.713887,-0.693041
8969413727,-0.075247,-0.068122,-0.713888,-0.693040
8969416229,-0.075247,-0.068120,-0.713889,-0.693039
8969418732,-0.075246,-0.068118,-0.713890,-0.693039
8969421234,-0.075244,-0.068114,-0.713891,-0.693038
8969423737,-0.075241,-0.068112,-0.713893,-0.693037
8969426239,-0.075236,-0.068113,-0.713894,-0.693036
8969428741,-0.075232,-0.068116,-0.713894,-0.693036
8969431243,-0.075229,-0.068117,-0.713894,-0.693037
8969433746,-0.075228,-0.068117,-0.713893,-0.693038
8969436248,-0.075228,-0.068119,-0.713891,-0.693039
8969438750,-0.075230,-0.068120,-0.713890,-0.693040
8969441253,-0.075231,-0.068121,-0.713891,-0.693038
8969443755,-0.075229,-0.068120,-0.713893,-0.693037
8969446257,-0.075226,-0.068117,-0.713894,-0.693036
8969448760,-0.075226,-0.068114,-0.713895,-0.693036
8969451262,-0.075225,-0.068111,-0.713895,-0.693036
8969453764,-0.075223,-0.068108,-0.713895,-0.693037
8969456267,-0.075219,-0.068104,-0.713894,-0.693039
8969458769,-0.075213,-0.068101,-0.713891,-0.693043
8969461271,-0.075209,-0.068101,-0.713889,-0.693045
8969463774,-0.075205,-0.068100,-0.713888,-0.693046
8969466276,-0.075199,-0.068097,-0.713886,-0.693049
8969468778,-0.075193,-0.068093,-0.713885,-0.693052
8969471281,-0.075188,-0.068089,-0.713884,-0.693054
8969473783,-0.075184,-0.068086,-0.713884,-0.693055
8969476285,-0.075181,-0.068083,-0.713886,-0.693053
8969478788,-0.075177,-0.068079,-0.713889,-0.693051
8969481290,-0.075174,-0.068076,-0.713890,-0.693050
8969483792,-0.075170,-0.068073,-0.713891,-0.693050
8969486295,-0.075167,-0.068070,-0.713892,-0.693050
8969488797,-0.075163,-0.068065,-0.713891,-0.693052
8969491299,-0.075160,-0.068060,-0.713891,-0.693053
8969493802,-0.075156,-0.068056,-0.713893,-0.693051
8969496304,-0.075154,-0.068051,-0.713895,-0.693050
8969498806,-0.075149,-0.068048,-0.713894,-0.693051
8969501309,-0.075143,-0.068044,-0.713894,-0.693053
8969503811,-0.075136,-0.068042,-0.713894,-0.693054
8969506313,-0.075132,-0.068039,-0.713895,-0.693054
8969508816,-0.075127,-0.068034,-0.713897,-0.693053
8969511318,-0.075122,-0.068026,-0.713897,-0.693054
8969513821,-0.075116,-0.068019,-0.713898,-0.693054
8969516323,-0.075110,-0.068012,-0.713899,-0.693055
8969518825,-0.075104,-0.068007,-0.713899,-0.693056
8969521328,-0.075098,-0.068005,-0.713899,-0.693057
8969523829,-0.075093,-0.068004,-0.713900,-0.693056
8969526332,-0.075089,-0.068007,-0.713901,-0.693055
8969528834,-0.075089,-0.068009,-0.713903,-0.693053
8969531337,-0.075091,-0.068008,-0.713904,-0.693052
8969533839,-0.075090,-0.068003,-0.713906,-0.693050
8969536341,-0.075089,-0.067998,-0.713907,-0.693049
8969538844,-0.075084,-0.067995,-0.713908,-0.693050
8969541346,-0.075080,-0.067994,-0.713908,-0.693050
8969543848,-0.075074,-0.067990,-0.713907,-0.693052
8969546351,-0.075069,-0.067985,-0.713906,-0.693054
8969548853,-0.075064,-0.067979,-0.713907,-0.693055
8969551355,-0.075061,-0.067973,-0.713906,-0.693056
8969553858,-0.075057,-0.067968,-0.713907,-0.693056
8969556360,-0.075055,-0.067961,-0.713909,-0.693055
8969558862,-0.075056,-0.067959,-0.713908,-0.693056
8969561365,-0.075057,-0.067958,-0.713906,-0.693058
8969563867,-0.075058,-0.067958,-0.713905,-0.693059
8969566369,-0.075059,-0.067959,-0.713903,-0.693060
8969568871,-0.075058,-0.067963,-0.713903,-0.693060
8969571374,-0.075056,-0.067967,-0.713903,-0.693060
8969573876,-0.075057,-0.067969,-0.713904,-0.693059
8969576379,-0.075060,-0.067972,-0.713905,-0.693058
8969578881,-0.075065,-0.067975,-0.713905,-0.693057
8969581383,-0.075071,-0.067977,-0.713905,-0.693056
8969583886,-0.075076,-0.067980,-0.713905,-0.693055
8969586388,-0.075081,-0.067983,-0.713905,-0.693054
8969588890,-0.075082,-0.067986,-0.713906,-0.693053
8969591393,-0.075079,-0.067984,-0.713904,-0.693055
8969593895,-0.075073,-0.067979,-0.713902,-0.693058
8969596397,-0.075069,-0.067975,-0.713899,-0.693063
8969598900,-0.075070,-0.067972,-0.713895,-0.693066
8969601402,-0.075073,-0.067972,-0.713894,-0.693068
8969603904,-0.075078,-0.067969,-0.713892,-0.693069
8969606407,-0.075082,-0.067964,-0.713891,-0.693070
8969608909,-0.075084,-0.067962,-0.713891,-0.693070
8969611411,-0.075084,-0.067963,-0.713891,-0.693070
8969613914,-0.075087,-0.067966,-0.713891,-0.693070
8969616417,-0.075090,-0.067971,-0.713891,-0.693068
8969618918,-0.075094,-0.067975,-0.713891,-0.693067
