Timestamp (us),Percentage (%),Power (dBm)
8969881790,92.000000,-54.000000
8970885215,90.000000,-55.000000
8971886176,86.000000,-57.000000
8972885413,92.000000,-54.000000
8973885067,90.000000,-55.000000
8974905602,90.000000,-55.000000
8975884011,96.000000,-52.000000
8976880352,98.000000,-51.000000
8977894241,94.000000,-53.000000
8978882662,94.000000,-53.000000
8979878621,94.000000,-53.000000
8980879555,94.000000,-53.000000
8981875484,94.000000,-53.000000
8982886392,94.000000,-53.000000
8983882349,92.000000,-54.000000
8984883280,98.000000,-51.000000
8985879182,96.000000,-52.000000
8986886794,94.000000,-53.000000
8987883579,96.000000,-52.000000
8988880289,98.000000,-51.000000
8989897935,96.000000,-52.000000
8990886350,96.000000,-52.000000
8991877273,96.000000,-52.000000
8992895723,94.000000,-53.000000
8993884774,94.000000,-53.000000
8994877585,94.000000,-53.000000
8995883507,92.000000,-54.000000
8996881940,96.000000,-52.000000
8997886929,94.000000,-53.000000
8998878808,94.000000,-53.000000
8999882252,94.000000,-53.000000
9000880669,94.000000,-53.000000
9001876907,94.000000,-53.000000
9002886342,94.000000,-53.000000
9003885973,94.000000,-53.000000
9004884404,92.000000,-54.000000
9005886764,94.000000,-53.000000
9006883785,94.000000,-53.000000
9007884703,94.000000,-53.000000
9008885637,92.000000,-54.000000
9009884068,94.000000,-53.000000
9010898438,92.000000,-54.000000
9011895087,94.000000,-53.000000
9012901886,92.000000,-54.000000
9013891965,92.000000,-54.000000
9014881232,92.000000,-54.000000
9015882168,92.000000,-54.000000
9016875598,92.000000,-54.000000
9017886539,94.000000,-53.000000
9018875030,94.000000,-53.000000
9019887590,98.000000,-51.000000
9020885902,88.000000,-56.000000
9021890293,92.000000,-54.000000
9022874460,90.000000,-55.000000
9023887139,96.000000,-52.000000
9024892917,94.000000,-53.000000
9025884021,92.000000,-54.000000
9026884957,92.000000,-54.000000
9027875894,92.000000,-54.000000
9028884304,94.000000,-53.000000
9029890245,86.000000,-57.000000
9030893710,88.000000,-56.000000
9031891961,94.000000,-53.000000
9032880536,94.000000,-53.000000
9033881472,94.000000,-53.000000
9034882411,92.000000,-54.000000
9035891275,98.000000,-51.000000
9036876803,96.000000,-52.000000
9037882712,96.000000,-52.000000
9038878641,90.000000,-55.000000
9039882080,92.000000,-54.000000
9040877783,88.000000,-56.000000
9041886469,86.000000,-57.000000
9042889918,90.000000,-55.000000
9043888336,90.000000,-55.000000
9044878229,86.000000,-57.000000
9045887695,86.000000,-57.000000
9046881124,86.000000,-57.000000
9047882059,92.000000,-54.000000
9048878007,92.000000,-54.000000
9049878933,92.000000,-54.000000
9050882363,84.000000,-58.000000
9051885801,82.000000,-59.000000
9052886737,90.000000,-55.000000
9053885170,80.000000,-60.000000
9054878600,84.000000,-58.000000
9055887042,86.000000,-57.000000
9056880473,94.000000,-53.000000
9057888604,94.000000,-53.000000
9058892356,90.000000,-55.000000
9059888288,90.000000,-55.000000
9060876713,94.000000,-53.000000
9061888221,92.000000,-54.000000
9062888623,94.000000,-53.000000
9063880764,92.000000,-54.000000
9064887988,90.000000,-55.000000
9065883913,84.000000,-58.000000
9066887335,84.000000,-58.000000
9067878264,94.000000,-53.000000
9068886707,88.000000,-56.000000
9069880138,90.000000,-55.000000
9070887568,88.000000,-56.000000
9071887016,96.000000,-52.000000
