Timestamp (us),Percentage (%),Voltage (V),Charging Status
8969923418,100.000000,4.007515,0.000000
8970923948,100.000000,4.007529,0.000000
8971924484,100.000000,4.007314,0.000000
8972925021,100.000000,4.007327,0.000000
8973925554,100.000000,4.007447,0.000000
8974926088,100.000000,4.007367,0.000000
8975926618,100.000000,4.007179,0.000000
8976927151,100.000000,4.007179,0.000000
8977927682,100.000000,4.007112,0.000000
8978928215,100.000000,4.006951,0.000000
8979928787,100.000000,4.007112,0.000000
8980929320,100.000000,4.006897,0.000000
8981933535,100.000000,4.007058,0.000000
8982934066,100.000000,4.006951,0.000000
8983934600,100.000000,4.006817,0.000000
8984935134,100.000000,4.006776,0.000000
8985935664,100.000000,4.006696,0.000000
8986936196,100.000000,4.006803,0.000000
8987936728,100.000000,4.006817,0.000000
8988937258,100.000000,4.006682,0.000000
8989937795,100.000000,4.006548,0.000000
8990938326,100.000000,4.006656,0.000000
8991938857,100.000000,4.006521,0.000000
8992939388,100.000000,4.006467,0.000000
8993939920,100.000000,4.006467,0.000000
8994940453,100.000000,4.006616,0.000000
8995940985,100.000000,4.006400,0.000000
8996941522,100.000000,4.006400,0.000000
8997942055,100.000000,4.006320,0.000000
8998942586,100.000000,4.006481,0.000000
8999943119,100.000000,4.006064,0.000000
9000943654,100.000000,4.006105,0.000000
9001944185,100.000000,4.006186,0.000000
9002944718,100.000000,4.006400,0.000000
9003945251,100.000000,4.006266,0.000000
9004945785,100.000000,4.005998,0.000000
9005946354,100.000000,4.006091,0.000000
9006946884,100.000000,4.005944,0.000000
9007947421,100.000000,4.005823,0.000000
9008947953,100.000000,4.005957,0.000000
9009948485,100.000000,4.005755,0.000000
9010949015,100.000000,4.005796,0.000000
9011949546,100.000000,4.005863,0.000000
9012950079,100.000000,4.005877,0.000000
9013950611,100.000000,4.005662,0.000000
9014951142,100.000000,4.005850,0.000000
9015951676,100.000000,4.005474,0.000000
9016952209,100.000000,4.005649,0.000000
9017952743,100.000000,4.005487,0.000000
9018953274,100.000000,4.005501,0.000000
9019953810,100.000000,4.005447,0.000000
9020954341,100.000000,4.005326,0.000000
9021954872,100.000000,4.005380,0.000000
9022955403,100.000000,4.005340,0.000000
9023955973,100.000000,4.005272,0.000000
9024956504,100.000000,4.005380,0.000000
9025957040,100.000000,4.005353,0.000000
9026957571,100.000000,4.005246,0.000000
9027958104,100.000000,4.005286,0.000000
9028958635,100.000000,4.005340,0.000000
9029959166,100.000000,4.004951,0.000000
9030959697,100.000000,4.005071,0.000000
9031960228,100.000000,4.004910,0.000000
9032960758,100.000000,4.004991,0.000000
9033961291,100.000000,4.004910,0.000000
9034961824,100.000000,4.004937,0.000000
9035962355,100.000000,4.004870,0.000000
9036962886,100.000000,4.004695,0.000000
9037963417,100.000000,4.004682,0.000000
9038963950,100.000000,4.004655,0.000000
9039964482,100.000000,4.004453,0.000000
9040965016,100.000000,4.004668,0.000000
9041965546,100.000000,4.004507,0.000000
9042966125,100.000000,4.004708,0.000000
9043966663,100.000000,4.004682,0.000000
9044967194,100.000000,4.004642,0.000000
9045967728,100.000000,4.004467,0.000000
9046968262,100.000000,4.004507,0.000000
9047968793,100.000000,4.004400,0.000000
9048969338,100.000000,4.004426,0.000000
9049969869,100.000000,4.004413,0.000000
9050970403,100.000000,4.004615,0.000000
9051970969,100.000000,4.004091,0.000000
9052971502,100.000000,4.004239,0.000000
9053972033,100.000000,4.004252,0.000000
9054972564,100.000000,4.004185,0.000000
9055973095,100.000000,4.004117,0.000000
9056973626,100.000000,4.004064,0.000000
9057974159,100.000000,4.003997,0.000000
9058974690,100.000000,4.004239,0.000000
9059975228,100.000000,4.004090,0.000000
9060975758,100.000000,4.003862,0.000000
9061976295,100.000000,4.003876,0.000000
9062976825,100.000000,4.003930,0.000000
9063977359,100.000000,4.003755,0.000000
9064977893,100.000000,4.003849,0.000000
9065978427,100.000000,4.003608,0.000000
9066978961,100.000000,4.003742,0.000000
9067979492,100.000000,4.003581,0.000000
9068980023,100.000000,4.003688,0.000000
9069980559,100.000000,4.003554,0.000000
9070981094,100.000000,4.003715,0.000000
9071981628,100.000000,4.003406,0.000000
