Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969331897,-0.081444,0.921085,-0.320202
8969352551,-0.032444,0.921085,-0.222202
8969373205,-0.081444,0.872085,-0.173202
8969393858,-0.032444,0.921085,-0.320202
8969414511,-0.081444,0.921085,-0.222202
8969435165,-0.081444,0.921085,-0.222202
8969455819,0.016556,0.823085,-0.271202
8969476472,-0.081444,0.872085,-0.222202
8969497126,-0.032444,0.921085,-0.271202
8969517780,0.016556,0.872085,-0.222202
8969538434,0.016556,0.823085,-0.271202
8969559086,-0.081444,0.921085,-0.271202
8969579737,-0.032444,0.921085,-0.271202
8969600390,-0.081444,0.921085,-0.173202
8969621044,-0.032444,0.921085,-0.222202
8969641700,-0.032444,0.921085,-0.173202
8969662355,-0.032444,0.872085,-0.271202
8969683009,0.016556,0.872085,-0.320202
8969703663,-0.081444,0.823085,-0.173202
8969724318,-0.081444,0.872085,-0.075202
8969744973,0.065556,0.872085,-0.222202
8969765627,-0.081444,0.921085,-0.271202
8969786280,-0.081444,0.921085,-0.173202
8969806935,-0.032444,0.872085,-0.173202
8969827589,-0.032444,0.921085,-0.222202
8969848243,-0.081444,0.921085,-0.222202
8969868898,0.016556,0.823085,-0.222202
8969889552,0.065556,0.872085,-0.173202
8969910206,-0.130444,0.872085,-0.173202
8969930861,-0.032444,0.872085,-0.271202
8969951515,-0.130444,0.823085,-0.222202
8969972168,-0.081444,0.872085,-0.271202
8969992822,-0.032444,0.823085,-0.173202
8970013476,-0.032444,0.872085,-0.222202
8970034129,0.016556,0.872085,-0.222202
8970054783,-0.032444,0.921085,-0.271202
8970075437,-0.032444,0.921085,-0.173202
8970096091,-0.081444,0.921085,-0.124202
8970116744,-0.032444,0.921085,-0.222202
8970137397,0.016556,0.872085,-0.320202
8970158050,-0.032444,0.872085,-0.173202
8970178704,-0.032444,0.872085,-0.173202
8970199358,-0.032444,0.970085,-0.222202
8970220012,-0.081444,0.970085,-0.222202
8970240666,-0.032444,0.921085,-0.173202
8970261319,-0.081444,0.970085,-0.271202
8970281972,-0.032444,0.921085,-0.124202
8970302626,-0.032444,0.823085,-0.222202
8970323279,0.065556,0.872085,-0.320202
8970343933,0.016556,0.872085,-0.222202
8970364586,0.016556,0.921085,-0.271202
8970385241,-0.081444,0.921085,-0.124202
8970405895,-0.032444,0.921085,-0.271202
8970426549,-0.081444,0.970085,-0.173202
8970447203,0.016556,0.872085,-0.222202
8970467878,-0.032444,0.921085,-0.271202
8970488512,-0.081444,0.921085,-0.271202
8970509167,-0.032444,0.872085,-0.173202
8970529822,-0.081444,0.823085,-0.271202
8970550474,-0.032444,0.921085,-0.320202
8970571128,-0.081444,0.823085,-0.173202
8970591780,0.016556,0.872085,-0.271202
8970612432,-0.032444,0.872085,-0.271202
8970633084,-0.032444,0.921085,-0.320202
8970653735,-0.081444,0.872085,-0.173202
8970674386,-0.032444,0.872085,-0.320202
8970695038,-0.081444,0.872085,-0.222202
8970715689,-0.081444,0.872085,-0.271202
8970736342,-0.032444,0.921085,-0.369202
8970756995,-0.081444,0.921085,-0.271202
8970777649,-0.032444,0.823085,-0.369202
8970798303,0.016556,0.823085,-0.173202
8970818956,0.016556,0.970085,-0.271202
8970839610,-0.032444,0.921085,-0.320202
8970860263,-0.032444,0.823085,-0.271202
8970880916,0.016556,0.872085,-0.271202
8970901569,-0.032444,0.970085,-0.222202
8970922223,-0.032444,0.872085,-0.320202
8970942876,0.114556,0.774085,-0.271202
8970963529,-0.081444,0.823085,-0.271202
