Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8969316438,-1.309465,0.487183,0.117691,0.004812,1.000763,0.037103
8969318936,-1.370849,0.426696,0.239180,0.007013,1.002925,0.037144
8969321433,-1.615003,0.366405,0.299327,0.007836,1.008025,0.032104
8969323931,-1.980940,0.306210,0.298348,0.004948,1.008782,0.030624
8969326429,-2.407845,0.306910,0.296819,0.007178,1.010231,0.027026
8969328926,-2.834957,0.246920,0.356311,0.007094,1.008749,0.034281
8969331423,-3.079490,0.186837,0.537833,0.009974,1.009437,0.037952
8969333921,-3.140874,0.126350,0.659322,0.012799,1.007207,0.044507
8969336419,-3.018693,0.186842,0.598739,0.009171,1.006517,0.043009
8969338916,-2.896095,0.368716,0.416117,0.009158,1.004340,0.042265
8969341414,-2.773876,0.550798,0.354872,0.009167,1.002171,0.039342
8969343911,-2.834994,0.733390,0.414347,0.004146,1.005138,0.034948
8969346409,-2.957496,0.855494,0.595311,0.007885,1.008768,0.027750
8969348906,-3.262541,1.099282,0.653582,0.002824,1.007375,0.023323
8969351404,-3.750772,1.221883,0.772548,0.008736,1.013880,0.019803
8969353901,-4.239022,1.283688,0.891846,0.010156,1.010958,0.020524
8969356399,-4.727121,1.223798,0.951119,0.009450,1.010972,0.018336
8969358896,-4.909929,1.102402,0.890439,0.012283,1.008021,0.023432
8969361394,-4.909570,1.041397,0.769394,0.011506,1.008731,0.029243
8969363892,-4.665454,0.980097,0.709911,0.010677,1.003628,0.035009
8969366389,-4.299366,0.918596,0.650864,0.012046,1.003582,0.043745
8969368886,-3.872481,0.857100,0.652724,0.015661,1.002095,0.044500
8969371384,-3.384041,0.795191,0.472738,0.016328,0.996996,0.045923
8969373882,-2.956948,0.794386,0.413579,0.011171,0.992669,0.048740
8969376379,-2.591048,0.732989,0.415220,0.014141,0.995564,0.045161
8969378876,-2.408317,0.611202,0.477226,0.014954,1.003557,0.043777
8969381374,-2.347766,0.428924,0.599815,0.009146,1.001438,0.040790
8969383873,-2.408753,0.429024,0.599597,0.010574,0.997795,0.040051
8969386369,-2.653057,0.490429,0.719768,0.012028,0.999231,0.041532
8969388867,-2.957970,0.551725,0.718345,0.011349,1.000704,0.037901
8969391364,-3.263262,0.613229,0.838298,0.012089,1.002151,0.037921
8969393863,-3.568344,0.735426,0.897231,0.009187,1.004351,0.039359
8969396359,-3.812422,0.918318,0.956052,0.007718,1.005082,0.041528
8969398857,-3.934356,1.040109,0.954952,0.008405,1.000715,0.041503
8969401354,-4.055893,1.222488,0.832145,0.008420,0.999997,0.039317
8969403852,-4.117011,1.405079,0.891620,0.007659,0.997818,0.040746
8969406349,-4.238965,1.466075,0.890852,0.007631,0.997806,0.043653
8969408846,-4.238965,1.466075,0.890852,0.009036,0.997050,0.048023
8969411344,-4.299611,1.344375,0.769920,0.008309,0.996333,0.047283
8969413842,-4.238435,1.344171,0.709450,0.008317,0.995612,0.045824
8969416339,-4.116312,1.222275,0.649862,0.009051,0.996332,0.045837
8969418837,-3.933183,1.161074,0.590160,0.011190,0.994849,0.048757
8969421334,-3.750451,1.039287,0.652166,0.008973,0.995577,0.053098
8969423832,-3.628706,0.917600,0.713954,0.007514,0.993415,0.051612
8969426329,-3.567757,0.795908,0.714836,0.008968,0.993403,0.051628
8969428827,-3.384477,0.613012,0.595109,0.013344,0.993371,0.050223
8969431324,-3.201197,0.430116,0.475382,0.011904,0.994113,0.049486
8969433822,-3.017708,0.307911,0.294636,0.011912,0.992668,0.047295
8969436319,-2.834389,0.246606,0.174246,0.012646,0.991941,0.045844
8969438817,-2.712645,0.124919,0.236034,0.012678,0.997746,0.048068
8969441314,-2.529913,0.003132,0.298040,0.010497,0.997041,0.047312
8969443826,-2.468965,-0.118560,0.298921,0.011212,0.994857,0.046577
8969446308,-2.468794,-0.179460,0.238565,0.014841,0.993375,0.045879
8969448806,-2.529989,-0.240051,0.299366,0.015576,0.992648,0.044428
8969451303,-2.530028,-0.361642,0.300029,0.014161,0.996297,0.043713
8969453800,-2.530028,-0.361642,0.300029,0.010554,0.996339,0.040767
8969456298,-2.529649,-0.361851,0.178653,0.007639,0.995637,0.040729
8969458796,-2.651641,-0.422447,0.178548,0.011211,0.995581,0.047309
8969461293,-2.712836,-0.483038,0.239349,0.009762,0.998492,0.049495
8969463791,-2.774011,-0.482833,0.299819,0.009090,1.001416,0.046603
8969466288,-2.774200,-0.482729,0.360507,0.009083,1.000689,0.046597
8969468786,-2.774200,-0.482729,0.360507,0.008343,0.999242,0.046578
8969471283,-2.835395,-0.543320,0.421308,0.006903,0.999260,0.045109
8969473781,-2.835603,-0.604012,0.482327,0.006910,0.999263,0.044382
8969476278,-2.957595,-0.664607,0.482222,0.007690,1.005070,0.044435
8969478776,-3.079966,-0.724994,0.603493,0.006985,1.003637,0.040782
8969481273,-3.324309,-0.785181,0.724327,0.006898,0.994914,0.041442
8969483771,-3.446509,-0.906467,0.785242,0.010513,0.994874,0.043662
8969486268,-3.568671,-0.906163,0.845493,0.010548,0.995612,0.040761
8969488766,-3.629638,-0.845267,0.844943,0.004717,0.994933,0.041419
8969491263,-3.629600,-0.723676,0.844280,0.004017,0.997122,0.040701
8969493761,-3.568614,-0.723776,0.844499,0.007665,0.999268,0.041484
8969496259,-3.507608,-0.663080,0.844386,0.009092,0.997797,0.042942
8969498756,-3.385616,-0.602485,0.844491,0.007638,0.997085,0.042194
8969501254,-3.385427,-0.602589,0.783803,0.006924,0.998545,0.042197
8969503751,-3.385257,-0.663489,0.723446,0.009160,1.001444,0.039336
8969506248,-3.507419,-0.663185,0.783698,0.011356,1.001431,0.037907
8969508746,-3.568575,-0.602184,0.843836,0.011315,0.998519,0.039338
8969511244,-3.629694,-0.419593,0.903311,0.012714,0.997036,0.043703
8969513741,-3.629636,-0.237206,0.902317,0.010546,0.998508,0.043690
8969516239,-3.568593,-0.054919,0.901541,0.009113,0.998529,0.041494
8969518736,-3.385217,0.066164,0.780156,0.010572,1.001415,0.043712
8969521234,-3.262619,0.248038,0.597534,0.012032,1.002853,0.044466
8969523731,-3.140249,0.308425,0.476263,0.012733,1.000664,0.045184
8969526229,-3.079054,0.369016,0.415462,0.009077,0.998515,0.045127
8969528726,-3.079054,0.369016,0.415462,0.011286,0.999955,0.043709
8969531224,-3.201235,0.308525,0.476045,0.013438,1.002097,0.048836
8969533721,-3.262392,0.369525,0.536183,0.011990,1.003560,0.049558
8969536219,-3.323567,0.369729,0.596653,0.014892,1.001361,0.048120
8969538716,-3.262581,0.369629,0.596871,0.014159,1.000640,0.048106
8969541214,-3.323567,0.369729,0.596653,0.011243,1.001386,0.049533
8969543711,-3.384724,0.430729,0.656791,0.014193,1.002102,0.045938
8969546209,-3.384913,0.430834,0.717480,0.014893,1.000637,0.047388
8969548706,-3.384913,0.430834,0.717480,0.012675,1.002813,0.053194
8969551204,-3.323965,0.309142,0.718361,0.011930,0.997744,0.050240
8969553701,-3.324003,0.187551,0.719024,0.010455,0.996300,0.050940
8969556199,-3.323833,0.126651,0.658667,0.009727,0.998478,0.053129
8969558697,-3.262866,0.065755,0.659217,0.011862,0.994096,0.053846
8969561194,-3.201899,0.004859,0.659767,0.014043,0.994077,0.053870
8969563691,-3.141309,-0.055828,0.781693,0.012636,0.997729,0.052428
8969566189,-3.080304,0.004868,0.781580,0.010428,0.994841,0.052382
8969568687,-3.080304,0.004868,0.781580,0.009715,0.995577,0.051653
8969571184,-3.079926,0.004659,0.660204,0.008982,0.993408,0.050175
8969573682,-2.957764,0.004354,0.599952,0.012631,0.994107,0.049494
8969576179,-2.896588,0.004150,0.539482,0.012658,0.996290,0.048784
8969578677,-2.835412,0.003946,0.479013,0.010484,0.996311,0.048033
8969581174,-2.835034,0.003737,0.357636,0.009755,0.999213,0.050954
8969583672,-2.835204,0.064637,0.417993,0.008294,0.997775,0.050200
8969586169,-2.835185,0.125433,0.417662,0.008363,1.000698,0.045863
8969588667,-2.896342,0.186433,0.477800,0.011231,0.998485,0.048058
8969591164,-2.957328,0.186533,0.477582,0.012636,0.997005,0.051696
8969593662,-3.018106,0.247324,0.416344,0.009042,0.999225,0.049493
8969596159,-3.017916,0.247220,0.355655,0.008364,0.999975,0.045131
8969598657,-3.078524,0.247111,0.234061,0.009110,1.002872,0.045887
8969601154,-3.200516,0.186516,0.233956,0.009817,1.000686,0.045879
8969603652,-3.261692,0.186720,0.294425,0.011931,0.996296,0.048776
8969606150,-3.323057,0.187029,0.415583,0.011897,0.993386,0.049480
8969608647,-3.384024,0.247925,0.415033,0.007526,0.995593,0.052356
8969611144,-3.444802,0.308716,0.353796,0.011182,0.997018,0.051680
8969613642,-3.505580,0.369508,0.292558,0.011203,0.997026,0.049500
8969616140,-3.505410,0.308608,0.232201,0.008969,0.991955,0.050164
8969618637,-3.505656,0.126325,0.293884,0.010416,0.991216,0.050174
8969621134,-3.444708,0.004633,0.294765,0.010394,0.993379,0.054551
8969623632,-3.383741,-0.056263,0.295315,0.008265,0.999211,0.054571
8969626129,-3.383760,-0.117058,0.295646,0.006848,0.996342,0.047993
8969628627,-3.383911,0.004638,0.355671,0.006841,0.997063,0.049452
8969631125,-3.322887,0.126129,0.355227,0.011888,0.996279,0.053136
8969633622,-3.200914,0.125929,0.355663,0.010420,0.996286,0.054573
8969636120,-3.200914,0.125929,0.355663,0.008958,0.997020,0.056016
8969638617,-3.139985,-0.056559,0.356876,0.010468,0.999201,0.052415
8969641115,-3.140193,-0.117250,0.417896,0.009029,0.997048,0.048750
8969643612,-3.079188,-0.056554,0.417783,0.008275,0.995595,0.050184
8969646110,-3.018182,0.004141,0.417670,0.008256,1.002104,0.058227
8969648607,-3.018163,0.064937,0.417338,0.009694,0.994844,0.053101
8969651105,-3.018163,0.064937,0.417338,0.009009,0.995591,0.049465
8969653602,-3.079377,-0.056450,0.478471,0.005332,0.994158,0.052321
8969656100,-3.140572,-0.117041,0.539272,0.011760,0.987539,0.058156
8969658597,-3.140761,-0.116937,0.599960,0.012587,0.996262,0.056050
8969661095,-3.079547,0.004450,0.538827,0.010425,0.999184,0.056775
