Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969319074,0.049557,-1.287223,0.420693
8969368726,0.049422,-1.296447,0.431163
8969418371,0.049279,-1.296596,0.441639
8969468021,0.040399,-1.296590,0.441574
8969517660,0.049850,-1.296001,0.399734
8969567305,0.049854,-1.305058,0.399697
8969616942,0.058880,-1.295895,0.389379
8969666586,0.032088,-1.305008,0.399503
8969716224,0.049572,-1.314413,0.420614
8969765856,0.041257,-1.304735,0.378648
8969815482,0.049861,-1.305096,0.399750
8969865114,0.040828,-1.314221,0.410012
8969914757,0.049993,-1.304891,0.389196
8969964395,0.049997,-1.313948,0.389160
8970014043,0.040971,-1.305033,0.399600
8970063694,0.023065,-1.305151,0.409910
8970113336,0.041260,-1.304754,0.378671
8970162982,0.041114,-1.304884,0.389124
8970212631,0.032231,-1.304859,0.389027
8970262276,0.032227,-1.304841,0.389002
8970311918,0.031938,-1.296081,0.409988
8970361554,0.040960,-1.286900,0.399646
8970411195,0.023065,-1.305151,0.409910
8970460834,0.031513,-1.305585,0.441376
8970510476,0.031802,-1.305306,0.420456
8970560122,0.031941,-1.296100,0.410016
8970609768,0.031513,-1.296546,0.441445
8970659414,0.031652,-1.296379,0.430937
8970709052,0.031502,-1.278413,0.441485
8970758692,0.040532,-1.287346,0.431071
8970808337,0.040542,-1.296441,0.431096
8970857984,0.040682,-1.296273,0.420589
8970907624,0.049136,-1.296745,0.452115
8970957266,0.040678,-1.287216,0.420625
8971006911,0.040539,-1.296422,0.431065
8971056551,0.040674,-1.287198,0.420596
8971106188,0.040678,-1.287216,0.420625
8971155819,0.040964,-1.295957,0.399610
8971205451,0.058591,-1.296174,0.410307
8971255087,0.049561,-1.287241,0.420723
8971304723,0.040403,-1.296609,0.441607
8971354357,0.076222,-1.305449,0.420971
8971403995,0.067042,-1.287588,0.441869
8971453641,0.058297,-1.287396,0.431265
8971503279,0.058151,-1.278488,0.441776
8971552917,0.067188,-1.296497,0.431357
8971602558,0.049993,-1.295852,0.389257
8971652191,0.067474,-1.296199,0.410404
8971701836,0.049568,-1.305356,0.420650
8971751471,0.067327,-1.296329,0.420851
8971801103,0.075921,-1.278556,0.442003
8971850736,0.075195,-1.261167,0.494417
8971900376,0.074763,-1.252557,0.525877
8971950010,0.065880,-1.243492,0.525862
8971999639,0.066016,-1.234268,0.515378
8972049275,0.065445,-1.234864,0.557277
8972098914,0.047685,-1.234849,0.557182
8972148547,0.047375,-1.198866,0.578125
8972198180,0.056118,-1.199057,0.588750
8972247823,0.064576,-1.190504,0.620426
8972297464,0.046949,-1.190289,0.609696
8972347103,0.046946,-1.181231,0.609732
8972396750,0.056265,-1.198924,0.578328
8972446386,0.047814,-1.216551,0.546681
8972496032,0.057276,-1.225055,0.504885
8972545669,0.048564,-1.261183,0.494327
8972595316,0.040099,-1.269697,0.462603
8972644950,0.049275,-1.287539,0.441675
8972694589,0.031945,-1.305157,0.409979
8972744224,0.040971,-1.295994,0.399663
8972793852,0.040831,-1.287122,0.410233
8972843484,0.040831,-1.305201,0.410104
8972893121,0.040838,-1.305238,0.410160
8972942756,0.050004,-1.304947,0.389271
8972992393,0.058591,-1.287135,0.410371
8973042029,0.049568,-1.305356,0.420650
8973091662,0.058591,-1.296174,0.410307
8973141298,0.058463,-1.296398,0.420902
8973190933,0.049422,-1.287408,0.431230
8973240569,0.057873,-1.287861,0.462725
8973290213,0.075346,-1.261054,0.484020
8973339863,0.066035,-1.252436,0.515436
8973389509,0.065877,-1.234435,0.525898
8973439152,0.048257,-1.234253,0.515271
8973488791,0.056715,-1.234743,0.546850
8973538437,0.056708,-1.225667,0.546838
8973588081,0.056847,-1.216461,0.536396
8973637722,0.056411,-1.207833,0.567815
8973687359,0.065009,-1.199115,0.588956
8973737009,0.074038,-1.217089,0.578449
8973786657,0.065437,-1.207709,0.557436
8973836307,0.047675,-1.216717,0.557205
8973885958,0.056708,-1.234708,0.546753
8973935605,0.057433,-1.252096,0.494340
8973985240,0.031079,-1.260817,0.473131
8974034877,0.040106,-1.287812,0.462531
8974084519,0.022908,-1.278109,0.420467
8974134160,0.022918,-1.287203,0.420490
8974183797,0.023350,-1.295814,0.389016
8974233437,0.014182,-1.305126,0.409813
8974283081,0.022915,-1.296224,0.420395
8974332728,0.022775,-1.287352,0.430970
8974382368,0.022778,-1.287370,0.431001
8974432010,0.031655,-1.287358,0.431036
8974481654,0.040392,-1.287514,0.441578
8974531300,0.040253,-1.287681,0.452089
8974580941,0.049418,-1.287390,0.431199
8974630590,0.040392,-1.278474,0.441647
8974680236,0.031505,-1.278431,0.441517
8974729879,0.039527,-1.261253,0.504587
8974779528,0.039237,-1.243453,0.525660
8974829187,0.039092,-1.252624,0.536010
8974878839,0.039231,-1.243418,0.525570
8974928497,0.021322,-1.243517,0.535852
8974978146,0.003559,-1.252524,0.535622
8975027801,0.021461,-1.234310,0.525412
8975077447,0.030059,-1.243673,0.546377
8975127097,0.029765,-1.207775,0.567575
8975176751,0.029626,-1.216982,0.578016
8975226395,0.029631,-1.217016,0.578122
8975276044,0.029915,-1.225742,0.557024
8975325700,0.029915,-1.225742,0.557024
8975375358,0.021033,-1.234757,0.556841
8975425010,0.021461,-1.234310,0.525412
8975474670,0.048553,-1.252089,0.494283
8975524319,0.057865,-1.260707,0.462870
8975573967,0.040249,-1.278623,0.452125
8975623622,0.031512,-1.287507,0.441513
8975673268,0.031944,-1.296118,0.410044
8975722926,0.040678,-1.287216,0.420625
8975772607,0.031798,-1.296249,0.420492
8975822235,0.022928,-1.305337,0.420447
8975871882,0.040546,-1.305498,0.431060
8975921542,0.022922,-1.305300,0.420388
8975971193,0.031951,-1.305195,0.410035
8976020847,0.040546,-1.305498,0.431060
8976070507,0.040117,-1.296906,0.462566
8976120160,0.031509,-1.278450,0.441550
8976169812,0.040396,-1.296571,0.441542
8976219469,0.048993,-1.278816,0.462736
8976269121,0.057723,-1.269895,0.473274
8976318763,0.039680,-1.270198,0.494153
8976368398,0.039377,-1.243286,0.515137
8976418046,0.039085,-1.234509,0.536083
8976467690,0.047967,-1.225494,0.536263
8976517329,0.056854,-1.234576,0.536324
8976566963,0.056708,-1.225667,0.546838
8976616600,0.056565,-1.225816,0.557316
8976666234,0.065445,-1.216784,0.557449
8976715872,0.056418,-1.207867,0.567918
8976765510,0.056268,-1.207982,0.578291
8976815152,0.065434,-1.189611,0.557558
8976864805,0.065587,-1.216635,0.546971
8976914459,0.056997,-1.216346,0.526009
8976964107,0.065738,-1.225561,0.536504
8977013759,0.075046,-1.225121,0.505121
8977063412,0.057591,-1.252018,0.484017
8977113062,0.048407,-1.252220,0.504720
8977162717,0.057580,-1.261005,0.483825
8977212363,0.066313,-1.252103,0.494396
8977262009,0.048982,-1.260682,0.462773
8977311649,0.048839,-1.260831,0.473250
8977361288,0.048697,-1.270019,0.483653
8977410936,0.039813,-1.260955,0.483631
8977460573,0.039817,-1.279052,0.483520
8977510215,0.040099,-1.269697,0.462603
8977559854,0.022190,-1.269796,0.472885
8977609503,0.031076,-1.269839,0.473020
8977659150,0.022046,-1.260905,0.483437
8977708802,0.039820,-1.270031,0.483634
8977758440,0.021910,-1.270130,0.493919
8977808088,0.031362,-1.269541,0.452064
8977857742,0.030930,-1.260930,0.483534
8977907393,0.022336,-1.269665,0.462445
8977957039,0.031223,-1.278747,0.462506
8978006684,0.031372,-1.278635,0.452096
