Timestamp (us),Percentage (%),Power (dBm)
8970158196,92.000000,-54.000000
8971154728,90.000000,-55.000000
8972163148,94.000000,-53.000000
8973160254,96.000000,-52.000000
8974159246,92.000000,-54.000000
8975165748,92.000000,-54.000000
8976157263,100.000000,-50.000000
8977159665,96.000000,-52.000000
8978157396,94.000000,-53.000000
8979159286,92.000000,-54.000000
8980154544,90.000000,-55.000000
8981159803,92.000000,-54.000000
8982157493,94.000000,-53.000000
8983158999,86.000000,-57.000000
8984164953,94.000000,-53.000000
8985162035,74.000000,-63.000000
8986161042,98.000000,-51.000000
8987157534,76.000000,-62.000000
8988170496,78.000000,-61.000000
8989160546,100.000000,-50.000000
8990154760,96.000000,-52.000000
8991166806,96.000000,-52.000000
8992158207,98.000000,-51.000000
8993164074,94.000000,-53.000000
8994158086,94.000000,-53.000000
8995169584,100.000000,-47.000000
8996157770,94.000000,-53.000000
8997155129,96.000000,-52.000000
8998164112,100.000000,-47.000000
8999163133,98.000000,-51.000000
9000157146,98.000000,-51.000000
9001162955,94.000000,-53.000000
9002170134,94.000000,-53.000000
9003159153,96.000000,-52.000000
9004158193,96.000000,-52.000000
9005159668,96.000000,-52.000000
9006173660,96.000000,-52.000000
9007152720,100.000000,-49.000000
9008154195,96.000000,-52.000000
9009158198,72.000000,-64.000000
9010163637,84.000000,-58.000000
9011163707,92.000000,-54.000000
9012162723,90.000000,-55.000000
9013156730,72.000000,-64.000000
9014170722,100.000000,-50.000000
9015151309,82.000000,-59.000000
9016166242,96.000000,-52.000000
9017157254,94.000000,-53.000000
9018166755,96.000000,-52.000000
9019158268,100.000000,-50.000000
9020163102,90.000000,-55.000000
9021158784,82.000000,-59.000000
9022170299,100.000000,-50.000000
9023169286,72.000000,-64.000000
9024171513,96.000000,-52.000000
9025157340,100.000000,-49.000000
9026157205,96.000000,-52.000000
9027167818,82.000000,-59.000000
9028166825,90.000000,-55.000000
9029160866,94.000000,-53.000000
9030164859,90.000000,-55.000000
9031160487,98.000000,-51.000000
9032157656,84.000000,-58.000000
9033157664,96.000000,-52.000000
9034160876,98.000000,-51.000000
9035159896,98.000000,-51.000000
9036158895,96.000000,-52.000000
9037157917,94.000000,-53.000000
9038159408,100.000000,-49.000000
9039163429,90.000000,-55.000000
9040157031,94.000000,-53.000000
9041158931,90.000000,-55.000000
9042160468,96.000000,-52.000000
9043156949,96.000000,-52.000000
9044160969,94.000000,-53.000000
9045156695,100.000000,-46.000000
9046165560,98.000000,-51.000000
9047162974,100.000000,-47.000000
9048163649,98.000000,-51.000000
9049165989,98.000000,-51.000000
9050155021,98.000000,-51.000000
9051159009,80.000000,-60.000000
9052155060,90.000000,-55.000000
9053162023,96.000000,-52.000000
9054163546,94.000000,-53.000000
9055165038,90.000000,-55.000000
9056161547,84.000000,-58.000000
9057155573,100.000000,-49.000000
9058169557,92.000000,-54.000000
9059156489,72.000000,-64.000000
9060155099,98.000000,-51.000000
9061173698,96.000000,-52.000000
9062155601,96.000000,-52.000000
9063167114,94.000000,-53.000000
9064166108,94.000000,-53.000000
9065159722,96.000000,-52.000000
9066157472,98.000000,-51.000000
9067155643,86.000000,-57.000000
9068157148,100.000000,-50.000000
9069158655,94.000000,-53.000000
9070162677,96.000000,-52.000000
9071155473,98.000000,-51.000000
9072162364,100.000000,-48.000000
