Timestamp (us),Percentage (%),Voltage (V),Charging Status
8970195641,88.828827,3.888288,0.000000
8971196172,88.807343,3.888073,0.000000
8972196703,88.803314,3.888033,0.000000
8973197234,88.831512,3.888315,0.000000
8974197766,88.810028,3.888100,0.000000
8975198297,88.818085,3.888181,0.000000
8976198827,88.792572,3.887926,0.000000
8977199359,88.807343,3.888073,0.000000
8978199892,88.797943,3.887980,0.000000
8979200423,88.776459,3.887764,0.000000
8980200954,88.788544,3.887886,0.000000
8981201486,88.776451,3.887765,0.000000
8982202017,88.769745,3.887697,0.000000
8983202548,88.781837,3.887818,0.000000
8984203081,88.765709,3.887657,0.000000
8985203619,88.771088,3.887711,0.000000
8986204150,88.734825,3.887348,0.000000
8987204684,88.746918,3.887469,0.000000
8988205232,88.742882,3.887429,0.000000
8989205762,88.734825,3.887348,0.000000
8990206296,88.734825,3.887348,0.000000
8991206832,88.733482,3.887335,0.000000
8992207363,88.741539,3.887415,0.000000
8993207898,88.717369,3.887174,0.000000
8994208428,88.714684,3.887147,0.000000
8995208962,88.703941,3.887040,0.000000
8996209497,88.697235,3.886972,0.000000
8997210028,88.711998,3.887120,0.000000
8998210559,88.702606,3.887026,0.000000
8999211115,88.701263,3.887012,0.000000
9000211646,88.693207,3.886932,0.000000
9001212177,88.691864,3.886919,0.000000
9002212709,88.709320,3.887093,0.000000
9003213239,88.690514,3.886905,0.000000
9004213773,88.679779,3.886798,0.000000
9005214307,88.691864,3.886919,0.000000
9006214841,88.669022,3.886690,0.000000
9007215378,88.640831,3.886408,0.000000
9008215909,88.663666,3.886637,0.000000
9009216440,88.639496,3.886395,0.000000
9010217003,88.635460,3.886355,0.000000
9011217534,88.631439,3.886314,0.000000
9012218066,88.648888,3.886489,0.000000
9013218600,88.643524,3.886435,0.000000
9014219133,88.624718,3.886247,0.000000
9015219666,88.616669,3.886167,0.000000
9016220200,88.615326,3.886153,0.000000
9017220731,88.613983,3.886140,0.000000
9018221262,88.619347,3.886194,0.000000
9019221793,88.619354,3.886194,0.000000
9020222328,88.605927,3.886060,0.000000
9021222862,88.596527,3.885965,0.000000
9022223395,88.596527,3.885965,0.000000
9023223961,88.595177,3.885952,0.000000
9024224491,88.577728,3.885777,0.000000
9025225024,88.573692,3.885737,0.000000
9026225560,88.581749,3.885818,0.000000
9027226093,88.592499,3.885925,0.000000
9028226624,88.546844,3.885469,0.000000
9029227155,88.576385,3.885764,0.000000
9030227689,88.576385,3.885764,0.000000
9031228220,88.542816,3.885428,0.000000
9032228752,88.534760,3.885347,0.000000
9033229286,88.553543,3.885535,0.000000
9034229819,88.548180,3.885482,0.000000
9035230355,88.544167,3.885442,0.000000
9036230886,88.528038,3.885281,0.000000
9037231417,88.517296,3.885173,0.000000
9038231949,88.519989,3.885200,0.000000
9039232481,88.532066,3.885321,0.000000
9040233035,88.515953,3.885160,0.000000
9041233566,88.505219,3.885052,0.000000
9042234097,88.486420,3.884864,0.000000
9043234630,88.502533,3.885026,0.000000
9044235161,88.506554,3.885066,0.000000
9045235692,88.487755,3.884878,0.000000
9046236226,88.494476,3.884945,0.000000
9047236756,88.448822,3.884488,0.000000
9048237289,88.478355,3.884784,0.000000
9049237819,88.446129,3.884461,0.000000
9050238355,88.471642,3.884717,0.000000
9051238886,88.460899,3.884609,0.000000
9052239419,88.466278,3.884663,0.000000
9053239950,88.462234,3.884622,0.000000
9054240484,88.440758,3.884408,0.000000
9055241019,88.463593,3.884636,0.000000
9056241550,88.446129,3.884461,0.000000
9057242083,88.442093,3.884421,0.000000
9058242620,88.458221,3.884582,0.000000
9059243151,88.423302,3.884233,0.000000
9060243682,88.409874,3.884099,0.000000
9061244249,88.405838,3.884058,0.000000
9062244780,88.408524,3.884085,0.000000
9063245311,88.421959,3.884219,0.000000
9064245845,88.405846,3.884058,0.000000
9065246376,88.385696,3.883857,0.000000
9066246907,88.409866,3.884099,0.000000
9067247438,88.401817,3.884018,0.000000
9068247970,88.399132,3.883991,0.000000
9069248501,88.389732,3.883897,0.000000
9070249032,88.369583,3.883696,0.000000
9071249566,88.391068,3.883911,0.000000
9072250097,88.383011,3.883830,0.000000
