Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969266001,0.029069,0.989445,-0.684987
8969285873,0.078069,1.038445,-0.684987
8969305747,0.176069,0.989445,-0.635987
8969325621,0.176069,0.989445,-0.586987
8969345493,0.176069,1.038445,-0.537987
8969365367,0.176069,0.989445,-0.537987
8969385240,0.078069,1.038445,-0.684987
8969405114,0.029069,1.038445,-0.586987
8969424988,0.127069,0.989445,-0.586987
8969444862,0.078069,0.989445,-0.635987
8969464737,0.127069,1.038445,-0.586987
8969484611,0.078069,1.038445,-0.586987
8969504485,0.078069,0.989445,-0.586987
8969524359,0.176069,1.038445,-0.635987
8969544233,0.127069,0.989445,-0.635987
8969564106,0.127069,1.087445,-0.586987
8969583979,0.127069,0.989445,-0.537987
8969603853,0.078069,0.989445,-0.782987
8969623726,0.127069,1.038445,-0.586987
8969643598,0.176069,0.940445,-0.586987
8969663471,0.078069,1.038445,-0.635987
8969683344,0.176069,0.940445,-0.586987
8969703218,0.127069,0.989445,-0.537987
8969723092,0.127069,0.989445,-0.537987
8969742965,0.176069,1.038445,-0.635987
8969762838,0.127069,0.989445,-0.635987
8969782710,0.127069,1.038445,-0.586987
8969802583,0.078069,1.038445,-0.537987
8969822456,0.078069,0.940445,-0.635987
8969842328,0.078069,0.989445,-0.635987
8969862200,0.078069,1.038445,-0.635987
8969882072,0.127069,0.989445,-0.635987
8969901945,0.127069,0.940445,-0.635987
8969921819,0.176069,0.940445,-0.586987
8969941691,0.176069,1.087445,-0.635987
8969961565,0.078069,0.989445,-0.684987
8969981438,0.127069,0.989445,-0.635987
8970001310,0.078069,0.940445,-0.586987
8970021182,0.176069,1.038445,-0.537987
8970041054,0.225069,0.891445,-0.488987
8970060928,0.176069,1.087445,-0.684987
8970080807,0.127069,0.989445,-0.586987
8970100674,0.078069,1.038445,-0.635987
8970120546,0.127069,0.989445,-0.635987
8970140418,0.127069,1.038445,-0.586987
8970160291,0.176069,0.989445,-0.586987
8970180164,0.225069,0.989445,-0.537987
8970200037,0.176069,1.038445,-0.635987
8970219910,0.127069,0.940445,-0.684987
8970239783,0.127069,0.989445,-0.635987
8970259658,0.176069,0.989445,-0.586987
8970279530,0.127069,0.989445,-0.684987
8970299402,0.078069,1.038445,-0.586987
8970319272,0.127069,0.989445,-0.537987
8970339144,0.078069,1.038445,-0.635987
8970359015,0.029069,0.940445,-0.635987
8970378887,0.127069,1.038445,-0.586987
8970398759,0.078069,1.038445,-0.537987
8970418631,0.078069,0.989445,-0.635987
8970438504,0.127069,0.989445,-0.635987
8970458376,0.176069,0.989445,-0.684987
8970478247,0.176069,0.989445,-0.635987
8970498120,0.029069,0.989445,-0.635987
8970517993,0.176069,0.989445,-0.586987
8970537865,0.127069,0.989445,-0.586987
8970557737,0.176069,0.989445,-0.586987
8970577609,0.127069,1.038445,-0.635987
8970597482,0.127069,1.087445,-0.488987
8970617354,0.078069,0.940445,-0.537987
8970637228,0.078069,0.940445,-0.684987
8970657098,0.127069,0.989445,-0.635987
8970676970,0.127069,0.989445,-0.684987
8970696843,0.078069,0.989445,-0.684987
8970716715,0.078069,1.038445,-0.586987
8970736589,0.176069,0.989445,-0.586987
8970756461,0.127069,0.989445,-0.635987
8970776333,0.127069,0.989445,-0.635987
8970796207,0.225069,0.989445,-0.635987
8970816080,0.225069,1.038445,-0.684987
8970835953,0.176069,0.989445,-0.684987
8970855826,0.029069,1.038445,-0.586987
8970875699,0.176069,0.891445,-0.586987
8970895572,0.078069,1.038445,-0.586987
8970915444,0.127069,1.038445,-0.635987
8970935317,0.127069,0.989445,-0.586987
8970955190,0.078069,0.940445,-0.586987
8970975064,0.127069,0.989445,-0.586987
8970994937,0.127069,1.038445,-0.684987
