Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8969262217,-0.319271,-2.906699,-0.620404,0.142778,0.970258,-0.098483
8969264712,-0.379915,-2.845581,-0.620293,0.145007,0.973891,-0.099108
8969267208,-0.440489,-2.723867,-0.559266,0.139947,0.976852,-0.099137
8969269703,-0.379192,-2.541780,-0.497857,0.138493,0.974706,-0.100657
8969272198,-0.318019,-2.359967,-0.375735,0.139252,0.974735,-0.102830
8969274694,-0.256528,-2.117008,-0.314124,0.134116,0.973291,-0.100755
8969277190,-0.255417,-1.691466,-0.191286,0.136290,0.972542,-0.100733
8969279685,-0.132823,-1.327289,-0.068469,0.131968,0.973348,-0.102974
8969282180,-0.071067,-0.962865,0.054259,0.134178,0.978401,-0.101389
8969284676,-0.070468,-0.659340,0.237408,0.132034,0.982063,-0.101357
8969287172,-0.130830,-0.355843,0.481182,0.131307,0.982070,-0.101368
8969289667,-0.069587,-0.113436,0.664221,0.131275,0.979873,-0.100681
8969292162,-0.008166,0.068928,0.664915,0.134157,0.978377,-0.099932
8969294658,0.113899,0.190174,0.665498,0.132757,0.980611,-0.102100
8969297153,0.114869,0.494527,0.666505,0.134267,0.987139,-0.101227
8969299649,0.176554,0.798357,0.728317,0.140736,0.981955,-0.099759
8969302144,0.177401,1.102434,0.790038,0.139988,0.984098,-0.096818
8969304640,0.299342,1.223404,0.851336,0.137840,0.984156,-0.099038
8969307135,0.360815,1.345449,0.730400,0.137134,0.984187,-0.100506
8969309630,0.483004,1.466971,0.670269,0.141456,0.983380,-0.098264
8969312126,0.483586,1.649583,0.670874,0.147323,0.986262,-0.099572
8969314621,0.545006,1.831948,0.671568,0.153059,0.980356,-0.098129
8969317117,0.605915,1.892294,0.732574,0.153070,0.982529,-0.097361
8969319612,0.667389,2.014340,0.611638,0.154531,0.983243,-0.097324
8969322107,0.546030,2.075983,0.550945,0.154574,0.983291,-0.100236
8969324603,0.485509,2.137377,0.490342,0.154545,0.982539,-0.098794
8969327098,0.424865,2.198496,0.490454,0.154542,0.985416,-0.096555
8969329594,0.363638,2.077002,0.489961,0.159696,0.987600,-0.099345
8969332089,0.302077,1.773448,0.367435,0.159732,0.989080,-0.100774
8969334585,0.240957,1.531318,0.123683,0.157508,0.989053,-0.097897
8969337080,0.118945,1.349753,0.001470,0.155996,0.985402,-0.096532
8969339576,-0.063517,1.290178,-0.120431,0.158901,0.988251,-0.094246
8969342071,-0.185512,1.229527,-0.060098,0.165443,0.986027,-0.095637
8969344567,-0.307576,1.108281,-0.060681,0.164706,0.988183,-0.093424
8969347062,-0.368679,0.987064,-0.121888,0.164695,0.988171,-0.092696
8969349558,-0.368820,0.865875,-0.243720,0.163999,0.981732,-0.099382
8969352053,-0.430188,0.623192,-0.366044,0.165454,0.983879,-0.097862
8969354548,-0.491679,0.380233,-0.427654,0.162510,0.984587,-0.094983
8969357049,-0.614131,0.137246,-0.428640,0.166134,0.984540,-0.094196
8969359539,-0.797299,-0.105217,-0.490430,0.164688,0.985282,-0.094206
8969362035,-0.919752,-0.348204,-0.491416,0.161693,0.980892,-0.091422
8969364530,-0.859954,-0.713400,-0.553249,0.159530,0.981653,-0.092172
8969367026,-0.800474,-1.139743,-0.554569,0.161840,0.983938,-0.099377
8969369521,-0.801568,-1.444373,-0.494862,0.161175,0.986894,-0.101519
8969372016,-0.802344,-1.687855,-0.495668,0.161117,0.983228,-0.100130
8969374512,-0.741894,-1.809844,-0.495981,0.159714,0.986179,-0.101556
8969377007,-0.681055,-1.810092,-0.495890,0.156825,0.989108,-0.100821
8969379503,-0.620147,-1.749745,-0.434885,0.153931,0.988432,-0.102338
8969381998,-0.620464,-1.810892,-0.374372,0.152462,0.986989,-0.102389
8969384493,-0.498981,-1.872258,-0.374393,0.156883,0.992774,-0.102210
8969386989,-0.438143,-1.872506,-0.374303,0.153222,0.989179,-0.103064
8969389485,-0.377040,-1.751289,-0.313096,0.151749,0.984132,-0.105367
8969391980,-0.254711,-1.508578,-0.251396,0.147423,0.985654,-0.106867
8969394475,-0.132576,-1.326737,-0.189897,0.142399,0.985775,-0.111318
8969396971,-0.010370,-1.084302,-0.067483,0.143795,0.982096,-0.109905
8969399466,0.111324,-0.963885,0.115243,0.147372,0.982717,-0.105464
8969401962,0.294051,-0.782844,0.298260,0.148146,0.984203,-0.107610
8969404457,0.355154,-0.661627,0.359467,0.148067,0.980513,-0.104765
8969406953,0.355736,-0.479015,0.360072,0.148059,0.979785,-0.104778
8969409448,0.477995,-0.296898,0.360856,0.149585,0.980572,-0.109110
8969411944,0.478453,-0.114562,0.422175,0.152526,0.982741,-0.109750
8969414439,0.600589,0.067278,0.483674,0.149589,0.982016,-0.108355
8969416934,0.722212,0.127101,0.605484,0.148063,0.979069,-0.105520
8969419430,0.843906,0.247519,0.788209,0.148081,0.979809,-0.106234
8969421925,0.905133,0.369012,0.788702,0.148779,0.979050,-0.104780
8969424421,0.966359,0.490506,0.789195,0.149441,0.978970,-0.100400
8969426916,1.027709,0.612275,0.728974,0.149453,0.981143,-0.099631
8969429412,1.088671,0.612304,0.668350,0.151605,0.980370,-0.098153
8969431907,1.088601,0.551709,0.607434,0.153749,0.976708,-0.098185
8969434402,1.088530,0.491114,0.546519,0.155188,0.975237,-0.098188
8969436898,1.088460,0.430520,0.485603,0.155904,0.975218,-0.097449
8969439393,1.149351,0.369953,0.364063,0.157369,0.977377,-0.096656
8969441889,1.209855,0.187646,0.242121,0.158086,0.977358,-0.095917
8969444384,1.209202,-0.055561,0.180601,0.157341,0.976625,-0.095214
8969446880,1.147835,-0.298244,0.058276,0.152274,0.978858,-0.095256
8969449375,1.086414,-0.480608,0.057582,0.152267,0.978130,-0.095269
8969451871,0.964473,-0.601578,-0.003715,0.158039,0.975865,-0.093759
8969454366,0.842285,-0.723100,0.056416,0.158751,0.974402,-0.093774
8969456861,0.780670,-0.966335,0.055520,0.153702,0.977376,-0.094531
8969459357,0.719567,-1.087552,-0.005687,0.155134,0.973017,-0.096045
8969461852,0.658906,-1.147347,-0.188121,0.155875,0.974466,-0.096006
8969464348,0.537211,-1.267764,-0.370847,0.152216,0.975193,-0.093867
8969466861,0.415076,-1.449605,-0.432346,0.153637,0.975143,-0.091659
8969469352,0.292817,-1.631721,-0.433130,0.152950,0.975914,-0.093842
8969471834,0.231714,-1.752939,-0.494337,0.152990,0.976679,-0.096013
8969474328,0.170488,-1.874432,-0.494830,0.155203,0.978854,-0.096665
8969476824,0.049129,-1.812790,-0.555523,0.154484,0.979590,-0.096663
8969479319,-0.072478,-1.751700,-0.494788,0.153004,0.978135,-0.095986
8969481814,-0.071772,-1.568812,-0.554898,0.150100,0.979607,-0.095278
8969484310,-0.071384,-1.447070,-0.554495,0.150119,0.984669,-0.092999
8969486805,-0.009963,-1.264706,-0.553800,0.152372,0.985449,-0.097319
8969489301,0.051457,-1.082342,-0.553106,0.150216,0.984777,-0.099552
8969491796,0.051528,-1.021747,-0.492190,0.148025,0.984786,-0.098859
8969494292,0.112560,-0.961124,-0.491899,0.148017,0.984058,-0.098873
8969496787,0.173593,-0.900501,-0.491607,0.143732,0.988505,-0.101047
8969499283,0.234819,-0.779008,-0.491114,0.146672,0.990674,-0.101687
8969501778,0.174439,-0.596424,-0.429886,0.146643,0.987761,-0.101741
8969504273,0.296380,-0.475454,-0.368589,0.143688,0.986297,-0.099631
8969506769,0.357289,-0.415107,-0.307583,0.145102,0.983358,-0.098933
8969509264,0.479036,-0.355008,-0.246487,0.147337,0.985558,-0.101042
8969511760,0.479301,-0.233543,-0.185370,0.151746,0.987008,-0.103128
8969514255,0.480077,0.009940,-0.184564,0.153149,0.984057,-0.101703
8969516751,0.480730,0.253146,-0.123044,0.150961,0.985511,-0.100255
8969519246,0.481382,0.496353,-0.061524,0.152437,0.985521,-0.101687
8969521741,0.481964,0.678965,-0.060920,0.153185,0.983377,-0.104628
8969524237,0.543385,0.861329,-0.060225,0.153214,0.984130,-0.106071
8969526733,0.544161,1.104812,-0.059420,0.155394,0.984109,-0.106036
8969529228,0.544619,1.287148,0.001899,0.153915,0.982654,-0.105358
8969531723,0.423525,1.470256,0.002323,0.148844,0.983443,-0.106155
8969534219,0.362686,1.470504,0.002233,0.152487,0.984137,-0.106083
8969536714,0.362827,1.591693,0.124064,0.160448,0.984740,-0.103027
8969539210,0.484769,1.712662,0.185361,0.160411,0.983260,-0.101598
8969541705,0.545871,1.833880,0.246569,0.156769,0.982566,-0.101671
8969544201,0.606833,1.833908,0.185945,0.158939,0.980373,-0.102404
8969546696,0.484892,1.712939,0.124647,0.160360,0.978162,-0.101693
8969549192,0.362757,1.531098,0.063149,0.155955,0.978155,-0.098851
8969551687,0.301142,1.287863,0.062253,0.154516,0.981786,-0.097351
8969554183,0.300437,1.104975,0.122362,0.157489,0.983992,-0.100176
8969556678,0.361081,1.043857,0.122251,0.160371,0.980334,-0.100924
8969559173,0.421337,0.860997,0.121737,0.160313,0.974509,-0.101032
8969561669,0.542238,0.617018,0.121111,0.158822,0.970881,-0.101123
