Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969259930,0.278994,-1.223771,-0.020566
8969310406,0.269571,-1.233255,0.000018
8969360883,0.278994,-1.223771,-0.020566
8969411371,0.260197,-1.224108,0.010259
8969461858,0.269712,-1.233144,-0.010325
8969512339,0.260328,-1.223964,-0.000075
8969562817,0.269681,-1.223925,-0.010340
8969613296,0.269706,-1.233127,-0.010319
8969663767,0.269632,-1.214658,-0.010337
8969714246,0.278950,-1.242418,-0.010230
8969764718,0.260627,-1.223792,-0.020776
8969815195,0.269528,-1.224004,0.000014
8969865662,0.260339,-1.223997,-0.000084
8969916130,0.278853,-1.223882,-0.010225
8969966603,0.269534,-1.224020,0.000010
8970017077,0.278717,-1.224010,0.000112
8970067553,0.287766,-1.224127,0.010553
8970118030,0.278712,-1.223993,0.000117
8970168502,0.278847,-1.223866,-0.010219
8970218972,0.269539,-1.224036,0.000006
8970269445,0.278748,-1.233227,0.000124
8970319921,0.287858,-1.214749,0.000212
8970370399,0.269522,-1.223987,0.000019
8970420880,0.278533,-1.214870,0.010452
8970471359,0.278483,-1.233499,0.020800
8970521838,0.269706,-1.233127,-0.010319
8970572318,0.269491,-1.214769,0.000007
8970622802,0.269474,-1.214720,0.000020
8970673287,0.269288,-1.233477,0.020703
8970723763,0.278896,-1.233133,-0.010221
8970774246,0.278859,-1.223899,-0.010230
8970824726,0.269376,-1.224082,0.010363
8970875197,0.269738,-1.242344,-0.010305
8970925680,0.260186,-1.224075,0.010265
8970976157,0.260528,-1.233154,-0.010429
8971026634,0.269430,-1.233366,0.010360
8971077109,0.269485,-1.214753,0.000011
8971127587,0.269381,-1.224098,0.010360
8971178054,0.268896,-1.243026,0.051728
8971228532,0.278147,-1.224437,0.041482
8971279006,0.286722,-1.215620,0.082934
8971329481,0.286072,-1.197563,0.124287
8971379946,0.285685,-1.207130,0.155292
8971430413,0.248370,-1.207565,0.196277
8971480880,0.239506,-1.216588,0.175502
8971531351,0.183952,-1.216900,0.205958
8971581819,0.147195,-1.216875,0.205566
8971632296,0.147195,-1.216875,0.205566
8971682769,0.211151,-1.198639,0.226928
8971733242,0.284014,-1.180631,0.269071
8971783719,0.420988,-1.116412,0.311885
8971834190,0.595169,-0.996159,0.303366
