Timestamp (us),W Element,X Element,Y Element,Z Element
8969262217,0.504562,0.626095,0.398994,0.440986
8969264712,0.504600,0.626114,0.398966,0.440941
8969267208,0.504639,0.626130,0.398939,0.440899
8969269703,0.504674,0.626146,0.398914,0.440859
8969272198,0.504705,0.626162,0.398890,0.440821
8969274694,0.504734,0.626176,0.398870,0.440787
8969277190,0.504758,0.626188,0.398852,0.440760
8969279685,0.504775,0.626198,0.398838,0.440737
8969282180,0.504788,0.626207,0.398827,0.440720
8969284676,0.504797,0.626213,0.398818,0.440709
8969287172,0.504802,0.626218,0.398808,0.440706
8969289667,0.504802,0.626223,0.398798,0.440707
8969292162,0.504800,0.626227,0.398791,0.440711
8969294658,0.504794,0.626231,0.398786,0.440715
8969297153,0.504787,0.626233,0.398785,0.440723
8969299649,0.504774,0.626233,0.398785,0.440738
8969302144,0.504758,0.626230,0.398787,0.440757
8969304640,0.504739,0.626228,0.398792,0.440777
8969307135,0.504720,0.626225,0.398801,0.440797
8969309630,0.504698,0.626221,0.398811,0.440817
8969312126,0.504667,0.626212,0.398831,0.440848
8969314621,0.504633,0.626202,0.398852,0.440882
8969317117,0.504597,0.626192,0.398874,0.440917
8969319612,0.504561,0.626181,0.398898,0.440952
8969322107,0.504525,0.626168,0.398924,0.440988
8969324603,0.504491,0.626154,0.398950,0.441025
8969327098,0.504457,0.626137,0.398975,0.441064
8969329594,0.504424,0.626122,0.398999,0.441102
8969332089,0.504396,0.626108,0.399020,0.441134
8969334585,0.504374,0.626093,0.399041,0.441162
8969337080,0.504356,0.626078,0.399061,0.441186
8969339576,0.504343,0.626059,0.399079,0.441211
8969342071,0.504330,0.626041,0.399094,0.441238
8969344567,0.504320,0.626023,0.399105,0.441264
8969347062,0.504314,0.626004,0.399116,0.441289
8969349558,0.504307,0.625987,0.399128,0.441310
8969352053,0.504305,0.625971,0.399138,0.441327
8969354548,0.504308,0.625954,0.399145,0.441340
8969357049,0.504314,0.625939,0.399148,0.441352
8969359539,0.504325,0.625924,0.399148,0.441362
8969362035,0.504347,0.625914,0.399136,0.441362
8969364530,0.504372,0.625907,0.399122,0.441356
8969367026,0.504398,0.625906,0.399104,0.441343
8969369521,0.504426,0.625910,0.399083,0.441325
8969372016,0.504456,0.625915,0.399058,0.441305
8969374512,0.504486,0.625923,0.399034,0.441282
8969377007,0.504517,0.625930,0.399011,0.441257
8969379503,0.504545,0.625938,0.398989,0.441233
8969381998,0.504574,0.625947,0.398966,0.441209
8969384493,0.504601,0.625958,0.398942,0.441183
8969386989,0.504628,0.625970,0.398920,0.441156
8969389485,0.504651,0.625982,0.398900,0.441130
8969391980,0.504671,0.625993,0.398883,0.441106
8969394475,0.504687,0.626005,0.398871,0.441083
8969396971,0.504697,0.626017,0.398860,0.441063
8969399466,0.504704,0.626030,0.398848,0.441047
8969401962,0.504704,0.626046,0.398838,0.441035
8969404457,0.504703,0.626061,0.398828,0.441024
8969406953,0.504699,0.626074,0.398820,0.441016
8969409448,0.504691,0.626089,0.398815,0.441009
8969411944,0.504672,0.626094,0.398824,0.441016
8969414439,0.504650,0.626099,0.398835,0.441024
8969416934,0.504626,0.626105,0.398846,0.441033
8969419430,0.504596,0.626113,0.398857,0.441045
8969421925,0.504565,0.626121,0.398870,0.441059
8969424421,0.504533,0.626127,0.398884,0.441074
8969426916,0.504500,0.626132,0.398900,0.441090
8969429412,0.504467,0.626137,0.398918,0.441106
8969431907,0.504434,0.626142,0.398934,0.441120
8969434402,0.504402,0.626148,0.398951,0.441134
8969436898,0.504371,0.626154,0.398968,0.441146
8969439393,0.504341,0.626160,0.398985,0.441156
8969441889,0.504313,0.626167,0.399003,0.441161
8969444384,0.504288,0.626176,0.399019,0.441163
8969446880,0.504268,0.626184,0.399034,0.441159
8969449375,0.504251,0.626194,0.399047,0.441154
8969451871,0.504236,0.626204,0.399056,0.441149
8969454366,0.504223,0.626214,0.399062,0.441144
8969456861,0.504214,0.626225,0.399066,0.441134
8969459357,0.504207,0.626237,0.399069,0.441124
8969461852,0.504203,0.626247,0.399073,0.441111
8969464348,0.504211,0.626260,0.399068,0.441087
8969466861,0.504223,0.626273,0.399060,0.441063
8969469352,0.504237,0.626286,0.399050,0.441036
8969471834,0.504254,0.626300,0.399039,0.441008
8969474328,0.504272,0.626315,0.399025,0.440978
8969476824,0.504292,0.626327,0.399012,0.440950
8969479319,0.504313,0.626337,0.398998,0.440924
8969481814,0.504334,0.626345,0.398988,0.440899
8969484310,0.504354,0.626350,0.398978,0.440876
8969486805,0.504371,0.626356,0.398971,0.440855
8969489301,0.504385,0.626361,0.398968,0.440835
8969491796,0.504398,0.626366,0.398964,0.440816
8969494292,0.504410,0.626370,0.398962,0.440798
8969496787,0.504422,0.626375,0.398963,0.440778
8969499283,0.504430,0.626379,0.398965,0.440760
8969501778,0.504438,0.626382,0.398967,0.440746
8969504273,0.504443,0.626384,0.398971,0.440733
8969506769,0.504445,0.626387,0.398976,0.440721
8969509264,0.504445,0.626393,0.398981,0.440710
8969511760,0.504441,0.626398,0.398986,0.440702
8969514255,0.504432,0.626399,0.398997,0.440700
8969516751,0.504422,0.626398,0.399010,0.440703
8969519246,0.504408,0.626395,0.399024,0.440709
8969521741,0.504392,0.626391,0.399041,0.440718
8969524237,0.504373,0.626386,0.399061,0.440728
8969526733,0.504352,0.626379,0.399083,0.440742
8969529228,0.504329,0.626371,0.399106,0.440759
8969531723,0.504307,0.626360,0.399132,0.440779
8969534219,0.504284,0.626348,0.399155,0.440799
8969536714,0.504259,0.626336,0.399177,0.440825
8969539210,0.504231,0.626325,0.399200,0.440852
8969541705,0.504202,0.626313,0.399225,0.440881
8969544201,0.504171,0.626302,0.399250,0.440908
8969546696,0.504143,0.626291,0.399274,0.440935
8969549192,0.504121,0.626278,0.399296,0.440959
8969551687,0.504102,0.626266,0.399314,0.440980
