Timestamp (us),Percentage (%),Power (dBm)
8969299765,94.000000,-53.000000
8970300459,96.000000,-52.000000
8971296120,100.000000,-50.000000
8972291219,100.000000,-50.000000
8973287485,98.000000,-51.000000
8974298142,94.000000,-53.000000
8975286353,96.000000,-52.000000
8976292001,96.000000,-52.000000
8977285191,98.000000,-51.000000
8978300837,96.000000,-52.000000
8979284073,96.000000,-52.000000
8980296330,96.000000,-52.000000
8981295373,98.000000,-51.000000
8982293553,96.000000,-52.000000
8983291924,100.000000,-50.000000
8984291716,92.000000,-54.000000
8985298073,96.000000,-52.000000
8986296167,94.000000,-53.000000
8987283688,98.000000,-51.000000
8988292610,94.000000,-53.000000
8989293302,100.000000,-50.000000
8990283996,100.000000,-50.000000
8991297149,100.000000,-50.000000
8992289472,96.000000,-52.000000
8993290999,88.000000,-56.000000
8994294184,100.000000,-49.000000
8995289872,100.000000,-49.000000
8996285540,90.000000,-55.000000
8997293701,98.000000,-51.000000
8998291901,100.000000,-50.000000
8999290066,100.000000,-50.000000
9000289544,94.000000,-53.000000
9001286431,94.000000,-53.000000
9002289602,94.000000,-53.000000
9003287785,94.000000,-53.000000
9004288462,94.000000,-53.000000
9005294146,92.000000,-54.000000
9006292343,92.000000,-54.000000
9007292333,92.000000,-54.000000
9008291173,88.000000,-56.000000
9009287197,84.000000,-58.000000
9010285044,92.000000,-54.000000
9011300823,94.000000,-53.000000
9012288896,100.000000,-50.000000
9013294602,92.000000,-54.000000
9014289662,98.000000,-51.000000
9015293428,94.000000,-53.000000
9016289115,92.000000,-54.000000
9017294784,96.000000,-52.000000
9018287980,92.000000,-54.000000
9019297769,100.000000,-48.000000
9020296823,92.000000,-54.000000
9021286864,100.000000,-50.000000
9022293218,80.000000,-60.000000
9023291376,100.000000,-50.000000
9024289598,96.000000,-52.000000
9025292750,100.000000,-49.000000
9026293417,96.000000,-52.000000
9027282435,96.000000,-52.000000
9028296264,94.000000,-53.000000
9029287972,98.000000,-51.000000
9030293644,90.000000,-55.000000
9031294560,98.000000,-51.000000
9032302508,98.000000,-51.000000
9033294868,96.000000,-52.000000
9034293871,94.000000,-53.000000
9035287084,96.000000,-52.000000
9036299408,96.000000,-52.000000
9037285934,96.000000,-52.000000
9038289125,96.000000,-52.000000
9039309663,96.000000,-52.000000
9040297974,96.000000,-52.000000
9041293649,100.000000,-50.000000
9042296826,98.000000,-51.000000
9043292516,96.000000,-52.000000
9044295693,98.000000,-51.000000
9045291386,96.000000,-52.000000
9046296249,92.000000,-54.000000
9047292765,100.000000,-48.000000
9048300918,84.000000,-58.000000
9049295749,94.000000,-53.000000
9050302281,86.000000,-57.000000
9051297709,88.000000,-56.000000
9052293687,96.000000,-52.000000
9053301847,94.000000,-53.000000
9054290040,100.000000,-50.000000
9055285730,94.000000,-53.000000
9056293900,92.000000,-54.000000
9057303772,94.000000,-53.000000
9058307743,76.000000,-62.000000
9059290980,100.000000,-49.000000
9060294912,94.000000,-53.000000
9061294836,96.000000,-52.000000
9062297998,94.000000,-53.000000
9063301194,96.000000,-52.000000
9064289384,100.000000,-50.000000
9065290083,96.000000,-52.000000
9066298236,94.000000,-53.000000
9067293929,98.000000,-51.000000
9068294612,86.000000,-57.000000
9069295295,100.000000,-50.000000
9070286027,88.000000,-56.000000
9071289176,90.000000,-55.000000
9072302337,94.000000,-53.000000
