Timestamp (us),Temperature (degC)
8970005859,37.125000
8971004036,37.125000
8972002214,37.125000
8973000394,37.125000
8973998571,37.125000
8974996750,37.125000
8975994928,37.125000
8976993106,37.125000
8977991286,37.125000
8978989463,37.125000
8979987642,37.125000
8980985822,37.125000
8981984000,37.125000
8982982181,37.125000
8983980358,37.250000
8984978538,37.150002
8985976719,37.125000
8986974896,37.125000
8987973076,37.125000
8988971258,37.250000
8989969436,37.150002
8990967617,37.174999
8991965796,37.250000
8992963976,37.250000
8993962159,37.150002
8994960338,37.200001
8995958519,37.250000
8996956701,37.250000
8997954881,37.250000
8998953064,37.250000
8999951244,37.325001
9000949426,37.375000
9001947609,37.375000
9002945790,37.250000
9003943972,37.250000
9004942157,37.299999
9005940336,37.375000
9006938519,37.375000
9007936703,37.275002
9008934884,37.325001
9009933067,37.349998
9010931251,37.250000
9011929433,37.375000
9012927616,37.375000
9013925801,37.375000
9014923982,37.375000
9015922166,37.375000
9016920350,37.375000
9017918533,37.375000
9018916716,37.375000
9019914902,37.375000
9020913085,37.375000
9021911271,37.375000
9022909455,37.450001
9023907638,37.474998
9024905824,37.375000
9025904009,37.375000
9026902192,37.474998
9027900379,37.500000
9028898564,37.474998
9029896748,37.375000
9030894933,37.375000
9031893120,37.375000
9032891304,37.424999
9033889489,37.500000
9034887676,37.375000
9035885861,37.375000
9036884046,37.375000
9037882233,37.400002
9038880418,37.500000
9039878603,37.375000
9040876791,37.450001
9041874975,37.450001
9042873162,37.400002
9043871349,37.500000
9044869534,37.500000
9045867721,37.500000
9046865908,37.500000
9047864094,37.500000
9048862281,37.500000
9049860469,37.500000
9050858654,37.500000
9051856841,37.500000
9052855030,37.500000
9053853215,37.625000
9054851402,37.549999
9055849591,37.500000
9056847777,37.500000
9057845965,37.500000
9058844154,37.599998
9059842340,37.625000
9060840528,37.625000
9061838717,37.625000
9062836921,37.625000
9063835092,37.625000
9064833281,37.625000
9065831469,37.625000
9066829655,37.625000
9067827844,37.625000
9068826032,37.625000
9069824218,37.625000
9070822408,37.625000
9071820596,37.625000
9072818783,37.724998
