Timestamp (us),Percentage (%),Voltage (V),Charging Status
8969362621,95.810013,3.958100,0.000000
8970363153,95.820755,3.958208,0.000000
8971363684,95.780472,3.957804,0.000000
8972364214,95.796570,3.957966,0.000000
8973364746,95.785828,3.957859,0.000000
8974365276,95.785843,3.957858,0.000000
8975365809,95.804642,3.958046,0.000000
8976366343,95.763016,3.957630,0.000000
8977366873,95.780472,3.957804,0.000000
8978367404,95.771072,3.957711,0.000000
8979367936,95.748245,3.957483,0.000000
8980368468,95.772415,3.957724,0.000000
8981368999,95.752266,3.957523,0.000000
8982369529,95.754959,3.957550,0.000000
8983370065,95.757645,3.957576,0.000000
8984370597,95.763016,3.957630,0.000000
8985371128,95.758980,3.957590,0.000000
8986371662,95.724075,3.957241,0.000000
8987372193,95.748245,3.957483,0.000000
8988372724,95.756302,3.957563,0.000000
8989373256,95.732132,3.957321,0.000000
8990373792,95.737503,3.957375,0.000000
8991374324,95.732132,3.957321,0.000000
8992374855,95.729446,3.957294,0.000000
8993375395,95.711990,3.957120,0.000000
8994375925,95.691849,3.956918,0.000000
8995376459,95.707962,3.957080,0.000000
8996376992,95.732132,3.957321,0.000000
8997377526,95.710640,3.957106,0.000000
8998378057,95.689163,3.956892,0.000000
8999378592,95.674385,3.956744,0.000000
9000379122,95.706619,3.957066,0.000000
9001379654,95.685135,3.956851,0.000000
9002380185,95.670364,3.956704,0.000000
9003380719,95.673050,3.956731,0.000000
9004381253,95.690506,3.956905,0.000000
9005381785,95.689163,3.956892,0.000000
9006382318,95.671707,3.956717,0.000000
9007382850,95.642166,3.956422,0.000000
9008383381,95.655594,3.956556,0.000000
9009383912,95.624702,3.956247,0.000000
9010384445,95.652908,3.956529,0.000000
9011384975,95.646194,3.956462,0.000000
9012385506,95.635452,3.956355,0.000000
9013386037,95.632759,3.956327,0.000000
9014386568,95.658279,3.956583,0.000000
9015387100,95.619339,3.956193,0.000000
9016387633,95.647522,3.956475,0.000000
9017388165,95.615311,3.956153,0.000000
9018388696,95.611282,3.956113,0.000000
9019389227,95.616638,3.956167,0.000000
9020389757,95.596497,3.955965,0.000000
9021390291,95.608597,3.956086,0.000000
9022390821,95.605896,3.956059,0.000000
9023391352,95.592468,3.955925,0.000000
9024391884,95.611282,3.956113,0.000000
9025392414,95.588455,3.955884,0.000000
9026392944,95.560249,3.955603,0.000000
9027393484,95.570999,3.955710,0.000000
9028394015,95.576363,3.955764,0.000000
9029394549,95.558907,3.955589,0.000000
9030395080,95.581734,3.955817,0.000000
9031395614,95.577713,3.955777,0.000000
9032396145,95.560257,3.955602,0.000000
9033396677,95.566971,3.955670,0.000000
9034397210,95.554871,3.955549,0.000000
9035397741,95.537415,3.955374,0.000000
9036398272,95.546829,3.955468,0.000000
9037398805,95.537430,3.955374,0.000000
9038399336,95.558899,3.955589,0.000000
9039399867,95.540115,3.955401,0.000000
9040400398,95.532043,3.955321,0.000000
9041400930,95.526672,3.955267,0.000000
9042401462,95.501175,3.955012,0.000000
9043401994,95.522644,3.955226,0.000000
9044402530,95.542786,3.955428,0.000000
9045403060,95.518623,3.955186,0.000000
9046403594,95.503860,3.955039,0.000000
9047404127,95.495789,3.954958,0.000000
9048404661,95.489090,3.954891,0.000000
9049405195,95.501160,3.955012,0.000000
9050405726,95.485054,3.954850,0.000000
9051406256,95.482368,3.954824,0.000000
9052406790,95.506546,3.955065,0.000000
9053407321,95.486389,3.954864,0.000000
9054407852,95.498489,3.954985,0.000000
9055408384,95.499817,3.954998,0.000000
9056408915,95.475655,3.954756,0.000000
9057409449,95.485046,3.954850,0.000000
9058409980,95.468933,3.954690,0.000000
9059410511,95.467590,3.954676,0.000000
9060411042,95.472961,3.954730,0.000000
9061411573,95.452835,3.954528,0.000000
9062412104,95.435364,3.954354,0.000000
9063412634,95.458191,3.954582,0.000000
9064413165,95.443436,3.954434,0.000000
9065413699,95.421936,3.954219,0.000000
9066414234,95.423279,3.954233,0.000000
9067414765,95.423294,3.954233,0.000000
9068415295,95.421936,3.954219,0.000000
9069415827,95.403152,3.954031,0.000000
9070416359,95.427315,3.954273,0.000000
9071416893,95.425964,3.954259,0.000000
9072417424,95.420609,3.954206,0.000000
