Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969336208,0.054034,0.781954,-0.364118
8969356667,0.054034,0.781954,-0.364118
8969377126,0.054034,0.781954,-0.364118
8969397584,0.054034,0.781954,-0.364118
8969418041,0.054034,0.781954,-0.413118
8969438499,0.103034,0.781954,-0.413118
8969458957,0.005034,0.732954,-0.462118
8969479414,-0.043966,0.781954,-0.413118
8969499871,-0.043966,0.830954,-0.462118
8969520329,0.005034,0.781954,-0.413118
8969540786,0.005034,0.830954,-0.413118
8969561243,0.054034,0.781954,-0.462118
8969581702,0.054034,0.781954,-0.462118
8969602159,0.054034,0.781954,-0.413118
8969622627,-0.043966,0.830954,-0.413118
8969643076,-0.043966,0.781954,-0.413118
8969663534,-0.043966,0.830954,-0.364118
8969683991,0.054034,0.781954,-0.413118
8969704450,0.005034,0.732954,-0.413118
8969724908,0.005034,0.879954,-0.364118
8969745366,-0.043966,0.830954,-0.413118
8969765825,0.054034,0.830954,-0.364118
8969786283,0.005034,0.830954,-0.413118
8969806740,0.005034,0.732954,-0.413118
8969827198,-0.043966,0.732954,-0.413118
8969847656,0.054034,0.830954,-0.462118
8969868114,0.005034,0.781954,-0.413118
8969888573,0.005034,0.683954,-0.413118
8969909032,0.103034,0.781954,-0.413118
8969929492,0.103034,0.830954,-0.413118
8969949951,0.054034,0.781954,-0.364118
8969970408,-0.043966,0.781954,-0.315118
8969990866,0.103034,0.781954,-0.364118
8970011323,0.054034,0.781954,-0.413118
8970031781,0.005034,0.830954,-0.364118
8970052239,0.005034,0.830954,-0.462118
8970072699,0.103034,0.879954,-0.364118
8970093158,0.005034,0.879954,-0.315118
8970113617,-0.043966,0.781954,-0.413118
8970134075,0.054034,0.781954,-0.364118
8970154534,0.005034,0.781954,-0.462118
8970174993,0.054034,0.830954,-0.364118
8970195452,-0.092966,0.732954,-0.315118
8970215910,0.054034,0.830954,-0.364118
8970236368,0.054034,0.781954,-0.364118
8970256826,0.005034,0.830954,-0.364118
8970277284,0.005034,0.781954,-0.364118
8970297742,0.103034,0.781954,-0.413118
8970318201,0.005034,0.781954,-0.413118
8970338658,0.005034,0.830954,-0.364118
8970359117,0.005034,0.781954,-0.413118
8970379575,0.054034,0.830954,-0.413118
8970400033,-0.043966,0.830954,-0.462118
8970420492,0.054034,0.830954,-0.462118
8970440949,0.005034,0.879954,-0.413118
8970461407,0.005034,0.879954,-0.364118
8970481864,0.005034,0.781954,-0.364118
8970502322,-0.043966,0.830954,-0.364118
8970522781,-0.043966,0.830954,-0.364118
8970543239,-0.043966,0.879954,-0.364118
8970563698,-0.043966,0.781954,-0.413118
8970584156,0.005034,0.781954,-0.364118
8970604616,0.005034,0.781954,-0.413118
8970625074,0.054034,0.879954,-0.364118
8970645533,0.005034,0.781954,-0.364118
