Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969368050,-0.477132,-1.413006,0.173600
8969418612,-0.477058,-1.412987,0.173600
8969469212,-0.466452,-1.422195,0.173599
8969519809,-0.466625,-1.412994,0.182913
8969570407,-0.456227,-1.413089,0.201436
8969621005,-0.456229,-1.412930,0.183016
8969671597,-0.466663,-1.412924,0.173703
8969722192,-0.466765,-1.403704,0.183016
8969772788,-0.456158,-1.412912,0.183015
8969823378,-0.487559,-1.413157,0.182708
8969873978,-0.445517,-1.422031,0.173803
8969924572,-0.487246,-1.431648,0.173290
8969975164,-0.477166,-1.413094,0.182811
8970025762,-0.466558,-1.422302,0.182810
8970076359,-0.466629,-1.412836,0.164492
8970126960,-0.466663,-1.412924,0.173703
8970177557,-0.477123,-1.403679,0.173702
8970228146,-0.456195,-1.412842,0.173805
8970278739,-0.477166,-1.413094,0.182811
8970329333,-0.466730,-1.403616,0.173805
8970379932,-0.466663,-1.412924,0.173703
8970430531,-0.466557,-1.412817,0.164491
8970481135,-0.466701,-1.412855,0.164492
8970531729,-0.466379,-1.422176,0.173598
8970582318,-0.456334,-1.413038,0.192228
8970632918,-0.466417,-1.422107,0.164388
8970683515,-0.456124,-1.412823,0.173804
8970734110,-0.456053,-1.412804,0.173804
8970784706,-0.487740,-1.403798,0.173601
8970835301,-0.487559,-1.413157,0.182708
8970885894,-0.456195,-1.412842,0.173805
8970936489,-0.455950,-1.422024,0.164490
8970987075,-0.477240,-1.413113,0.182812
8971037666,-0.466591,-1.412905,0.173702
8971088264,-0.466524,-1.422214,0.173599
8971138862,-0.487634,-1.413176,0.182709
8971189448,-0.498166,-1.403950,0.182709
8971240040,-0.508885,-1.394849,0.191921
8971290634,-0.529856,-1.395101,0.200927
8971341226,-0.550882,-1.386045,0.210035
8971391823,-0.572198,-1.367896,0.237670
8971442402,-0.593570,-1.349675,0.256095
8971492988,-0.604349,-1.340909,0.302150
8971543577,-0.615199,-1.322677,0.329888
8971594156,-0.615373,-1.313475,0.339202
8971644736,-0.657041,-1.313273,0.283527
8971695325,-0.667340,-1.303269,0.200630
8971745914,-0.677539,-1.283606,0.080994
8971796504,-0.688155,-1.235576,-0.093599
8971847099,-0.656975,-1.158965,-0.304304
8971897694,-0.584623,-1.044973,-0.504981
8971948291,-0.513244,-0.875597,-0.668194
8971998881,-0.484048,-0.707171,-0.767361
8972049469,-0.507285,-0.549233,-0.784229
8972100068,-0.572150,-0.419933,-0.755762
8972150658,-0.605296,-0.308879,-0.736407
8972201245,-0.637396,-0.272319,-0.699457
8972251833,-0.657922,-0.290979,-0.709061
8972302419,-0.635778,-0.365134,-0.709666
8972353009,-0.644216,-0.504468,-0.720549
8972403593,-0.672931,-0.700413,-0.658554
8972454179,-0.691351,-0.896717,-0.550404
8972504772,-0.710356,-1.084882,-0.322410
8972555367,-0.719868,-1.217581,-0.056851
8972605953,-0.688800,-1.266186,0.191628
8972656549,-0.647480,-1.267522,0.367040
8972707144,-0.648870,-1.213449,0.542656
8972757735,-0.671257,-1.149825,0.672122
8972808323,-0.704114,-1.076387,0.737128
8972858919,-0.726017,-1.011778,0.765266
8972909511,-0.716246,-0.974893,0.802625
8972960102,-0.716491,-0.956226,0.793621
8973010696,-0.716146,-0.984016,0.784113
8973061279,-0.705090,-1.020749,0.746971
8973111865,-0.714203,-1.094530,0.681565
8973162446,-0.680961,-1.176640,0.551981
8973213027,-0.710977,-1.231209,0.403682
8973263622,-0.730843,-1.247918,0.191424
8973314206,-0.740977,-1.198900,-0.084481
8973364798,-0.710288,-1.084705,-0.340832
8973415394,-0.691212,-0.906007,-0.550507
8973465995,-0.703948,-0.719233,-0.659051
8973516587,-0.706527,-0.542559,-0.675507
8973567180,-0.709035,-0.384726,-0.664555
8973617779,-0.773786,-0.264807,-0.626982
8973668369,-0.774805,-0.209240,-0.607956
8973718954,-0.785053,-0.218706,-0.598935
8973769547,-0.742217,-0.283136,-0.626898
8973820140,-0.718838,-0.421967,-0.665054
8973870728,-0.737335,-0.598896,-0.639610
8973921315,-0.723867,-0.822647,-0.549883
8973971901,-0.721348,-1.038074,-0.368049
8974022483,-0.709302,-1.197948,-0.157860
8974073074,-0.677231,-1.283308,0.053367
8974123659,-0.668103,-1.276533,0.320678
8974174237,-0.648968,-1.213464,0.542664
8974224826,-0.661446,-1.122242,0.709388
8974275418,-0.652507,-1.039261,0.784107
8974326009,-0.706442,-0.947306,0.839894
8974376604,-0.739171,-0.873508,0.868061
8974427193,-0.729120,-0.845557,0.868474
8974477793,-0.739373,-0.855010,0.877464
8974528380,-0.749285,-0.882607,0.840208
8974578977,-0.716105,-0.974795,0.793401
8974629571,-0.725118,-1.067085,0.718605
8974680163,-0.712885,-1.158674,0.588732
8974730759,-0.700373,-1.230773,0.366942
8974781356,-0.730420,-1.266393,0.182006
8974831944,-0.751382,-1.217842,-0.057163
8974882538,-0.762934,-1.076267,-0.295187
8974933128,-0.733112,-0.916066,-0.504967
8974983717,-0.693689,-0.728803,-0.622243
8975034299,-0.696200,-0.551681,-0.684771
8975084884,-0.729660,-0.412756,-0.665087
8975135470,-0.741869,-0.301538,-0.645526
8975186061,-0.763598,-0.246146,-0.626672
8975236651,-0.753501,-0.246136,-0.617408
8975287236,-0.720834,-0.319858,-0.654773
8975337827,-0.697837,-0.440380,-0.665090
8975388415,-0.716298,-0.598467,-0.667037
8975439009,-0.724325,-0.794608,-0.568009
8975489597,-0.753283,-1.000819,-0.404797
8975540185,-0.730947,-1.151161,-0.212827
8975590771,-0.698896,-1.255403,0.025830
8975641357,-0.678054,-1.284932,0.219155
8975691945,-0.668899,-1.249637,0.422306
8975742531,-0.659950,-1.195335,0.579620
8975793124,-0.692988,-1.112946,0.681563
8975843716,-0.725748,-1.039492,0.746560
8975894305,-0.747937,-0.965692,0.784026
8975944889,-0.769525,-0.919575,0.802747
8975995479,-0.759544,-0.891801,0.821581
8976046075,-0.790982,-0.882492,0.793745
8976096672,-0.800461,-0.928571,0.747059
8976147262,-0.768008,-1.002219,0.700509
8976197847,-0.745396,-1.084855,0.616876
8976248443,-0.723035,-1.148820,0.524242
8976299029,-0.710941,-1.221727,0.385359
8976349616,-0.720485,-1.247852,0.191527
8976400204,-0.740937,-1.227741,0.016526
8976450784,-0.804428,-1.133821,-0.139630
8976501364,-0.858261,-1.003031,-0.258430
8976551948,-0.870465,-0.862543,-0.385939
8976602530,-0.872315,-0.722581,-0.448862
8976653109,-0.895328,-0.592342,-0.484489
8976703679,-0.885858,-0.499361,-0.483311
8976754255,-0.896979,-0.462196,-0.492224
8976804827,-0.886520,-0.452825,-0.492004
8976855409,-0.906889,-0.499436,-0.492740
8976905995,-0.906016,-0.564728,-0.465832
8976956579,-0.905015,-0.620725,-0.438795
8977007165,-0.882998,-0.704256,-0.430324
8977057756,-0.850264,-0.806377,-0.412745
8977108351,-0.881130,-0.872453,-0.330891
8977158936,-0.869474,-0.965799,-0.276558
8977209519,-0.805286,-1.058546,-0.240126
8977260104,-0.762255,-1.142341,-0.185376
8977310703,-0.740667,-1.207748,-0.130638
8977361293,-0.677374,-1.254235,-0.075277
