Timestamp (us),W Element,X Element,Y Element,Z Element
8969338022,0.539464,0.815361,-0.209974,-0.017896
8969340517,0.539461,0.815362,-0.209976,-0.017899
8969343013,0.539459,0.815362,-0.209980,-0.017904
8969345509,0.539456,0.815362,-0.209987,-0.017909
8969348005,0.539453,0.815362,-0.209993,-0.017912
8969350500,0.539451,0.815362,-0.209999,-0.017910
8969352996,0.539450,0.815361,-0.210006,-0.017907
8969355492,0.539446,0.815361,-0.210015,-0.017907
8969357989,0.539442,0.815362,-0.210023,-0.017912
8969360484,0.539436,0.815363,-0.210034,-0.017923
8969362980,0.539432,0.815362,-0.210048,-0.017941
8969365475,0.539427,0.815360,-0.210066,-0.017963
8969367971,0.539423,0.815357,-0.210086,-0.017986
8969370470,0.539419,0.815353,-0.210108,-0.018012
8969372966,0.539415,0.815349,-0.210131,-0.018039
8969375472,0.539412,0.815345,-0.210155,-0.018068
8969377978,0.539406,0.815341,-0.210182,-0.018099
8969380452,0.539398,0.815337,-0.210215,-0.018131
8969382947,0.539391,0.815332,-0.210250,-0.018169
8969385444,0.539383,0.815326,-0.210289,-0.018209
8969387940,0.539373,0.815321,-0.210331,-0.018248
8969390435,0.539361,0.815317,-0.210374,-0.018286
8969392931,0.539351,0.815311,-0.210418,-0.018325
8969395427,0.539340,0.815306,-0.210462,-0.018367
8969397923,0.539326,0.815303,-0.210507,-0.018410
8969400418,0.539311,0.815300,-0.210551,-0.018454
8969402914,0.539296,0.815298,-0.210596,-0.018496
8969405410,0.539281,0.815295,-0.210640,-0.018540
8969407906,0.539265,0.815293,-0.210683,-0.018583
8969410402,0.539249,0.815291,-0.210729,-0.018624
8969412898,0.539232,0.815291,-0.210773,-0.018661
8969415394,0.539214,0.815291,-0.210816,-0.018696
8969417889,0.539197,0.815290,-0.210856,-0.018727
8969420385,0.539183,0.815290,-0.210893,-0.018756
8969422881,0.539171,0.815289,-0.210924,-0.018782
8969425377,0.539158,0.815290,-0.210952,-0.018805
8969427872,0.539143,0.815292,-0.210979,-0.018824
8969430368,0.539128,0.815295,-0.211004,-0.018844
8969432864,0.539117,0.815297,-0.211024,-0.018864
8969435360,0.539106,0.815299,-0.211040,-0.018880
8969437856,0.539095,0.815303,-0.211055,-0.018891
8969440352,0.539087,0.815305,-0.211066,-0.018899
8969442848,0.539081,0.815306,-0.211075,-0.018902
8969445343,0.539078,0.815307,-0.211081,-0.018899
8969447839,0.539080,0.815306,-0.211081,-0.018890
8969450335,0.539081,0.815306,-0.211079,-0.018877
8969452831,0.539084,0.815305,-0.211075,-0.018862
8969455327,0.539090,0.815304,-0.211069,-0.018846
