Timestamp (us),Percentage (%),Power (dBm)
8969556057,76.000000,-62.000000
8970555302,76.000000,-62.000000
8971559422,78.000000,-61.000000
8972560250,86.000000,-57.000000
8973558581,76.000000,-62.000000
8974554441,88.000000,-56.000000
8975570215,80.000000,-60.000000
8976556080,78.000000,-61.000000
8977553544,80.000000,-60.000000
8978560212,80.000000,-60.000000
8979565614,80.000000,-60.000000
8980551881,80.000000,-60.000000
8981550090,82.000000,-59.000000
8982556223,84.000000,-58.000000
8983559351,84.000000,-58.000000
8984565183,76.000000,-62.000000
8985561023,82.000000,-59.000000
8986556284,76.000000,-62.000000
8987556287,80.000000,-60.000000
8988567657,82.000000,-59.000000
8989556313,72.000000,-64.000000
8990551397,76.000000,-62.000000
8991553493,76.000000,-62.000000
8992554305,72.000000,-64.000000
8993577619,86.000000,-57.000000
8994565938,78.000000,-61.000000
8995554287,64.000000,-68.000000
8996555112,76.000000,-62.000000
8997563443,86.000000,-57.000000
8998559280,60.000000,-70.000000
8999555116,84.000000,-58.000000
9000563406,78.000000,-61.000000
9001561737,80.000000,-60.000000
9002557599,78.000000,-61.000000
9003557521,78.000000,-61.000000
9004556505,78.000000,-61.000000
9005567108,78.000000,-61.000000
9006562501,78.000000,-61.000000
9007555887,82.000000,-59.000000
9008572311,80.000000,-60.000000
9009558364,72.000000,-64.000000
9010561702,76.000000,-62.000000
9011552523,74.000000,-63.000000
9012565856,78.000000,-61.000000
9013566670,80.000000,-60.000000
9014555001,82.000000,-59.000000
9015553332,78.000000,-61.000000
9016566637,78.000000,-61.000000
9017562469,76.000000,-62.000000
9018550816,74.000000,-63.000000
9019554138,84.000000,-58.000000
9020552467,88.000000,-56.000000
9021558314,84.000000,-58.000000
9022566616,96.000000,-52.000000
9023562433,100.000000,-49.000000
9024565753,88.000000,-56.000000
9025555092,82.000000,-59.000000
9026557511,74.000000,-63.000000
9027554891,86.000000,-57.000000
9028552011,80.000000,-60.000000
9029556825,82.000000,-59.000000
9030558257,74.000000,-63.000000
9031561549,76.000000,-62.000000
9032557412,80.000000,-60.000000
9033563215,80.000000,-60.000000
9034571382,76.000000,-62.000000
9035559037,80.000000,-60.000000
9036554836,72.000000,-64.000000
9037556947,74.000000,-63.000000
9038554849,78.000000,-61.000000
9039560683,72.000000,-64.000000
9040550796,74.000000,-63.000000
9041552529,74.000000,-63.000000
9042558182,70.000000,-65.000000
9043553985,74.000000,-63.000000
9044557336,84.000000,-58.000000
9045555635,70.000000,-65.000000
9046553965,84.000000,-58.000000
9047564775,72.000000,-64.000000
9048565599,78.000000,-61.000000
9049553085,78.000000,-61.000000
9050557296,72.000000,-64.000000
9051557107,80.000000,-60.000000
9052571395,88.000000,-56.000000
9053557279,88.000000,-56.000000
9054555577,80.000000,-60.000000
9055558914,84.000000,-58.000000
9056559728,94.000000,-53.000000
9057550562,98.000000,-51.000000
9058562081,100.000000,-50.000000
9059559700,86.000000,-57.000000
9060560548,82.000000,-59.000000
9061553877,82.000000,-59.000000
9062557184,78.000000,-61.000000
9063555751,74.000000,-63.000000
9064553840,80.000000,-60.000000
9065554681,76.000000,-62.000000
9066562977,82.000000,-59.000000
9067566314,78.000000,-61.000000
9068562147,78.000000,-61.000000
9069550478,82.000000,-59.000000
9070553797,80.000000,-60.000000
9071562111,82.000000,-59.000000
9072558909,88.000000,-56.000000
