Timestamp (us),Temperature (degC)
8970084275,40.625000
8971082603,40.625000
8972080934,40.625000
8973079263,40.625000
8974077593,40.625000
8975075924,40.625000
8976074253,40.625000
8977072583,40.625000
8978070914,40.724998
8979069242,40.674999
8980067572,40.625000
8981065904,40.625000
8982064233,40.625000
8983062564,40.625000
8984060893,40.625000
8985059223,40.625000
8986057554,40.625000
8987055884,40.625000
8988054215,40.625000
8989052544,40.625000
8990050875,40.625000
8991049204,40.625000
8992047534,40.625000
8993045866,40.625000
8994044195,40.625000
8995042527,40.625000
8996040855,40.625000
8997039187,40.625000
8998037515,40.625000
8999035845,40.625000
9000034176,40.625000
9001032505,40.625000
9002030837,40.625000
9003029165,40.625000
9004027496,40.625000
9005025825,40.625000
9006024154,40.625000
9007022486,40.625000
9008020814,40.625000
9009019145,40.500000
9010017474,40.599998
9011015804,40.625000
9012014135,40.625000
9013012464,40.625000
9014010795,40.625000
9015009123,40.625000
9016007453,40.650002
9017005804,40.750000
9018004114,40.625000
9019002445,40.625000
9020000773,40.625000
9020999105,40.625000
9021997433,40.625000
9022995762,40.625000
9023994094,40.625000
9024992422,40.625000
9025990753,40.625000
9026989082,40.500000
9027987413,40.599998
9028985741,40.575001
9029984071,40.525002
9030982402,40.625000
9031980731,40.625000
9032979072,40.625000
9033977391,40.625000
9034975722,40.625000
9035974050,40.625000
9036972380,40.625000
9037970712,40.625000
9038969040,40.625000
9039967371,40.625000
9040965699,40.625000
9041964031,40.625000
9042962359,40.625000
9043960689,40.625000
9044959017,40.625000
9045957347,40.625000
9046955677,40.575001
9047954006,40.525002
9048952337,40.625000
9049950664,40.625000
9050948995,40.625000
9051947323,40.674999
9052945653,40.750000
9053943983,40.625000
9054942311,40.625000
9055940641,40.625000
9056938969,40.625000
9057937300,40.625000
9058935627,40.625000
9059933958,40.625000
9060932285,40.625000
9061930616,40.625000
9062928943,40.625000
9063927274,40.625000
9064925601,40.625000
9065923932,40.625000
9066922259,40.625000
9067920589,40.625000
9068918919,40.625000
9069917246,40.625000
9070915577,40.625000
9071913905,40.625000
