Timestamp (us),Percentage (%),Voltage (V),Charging Status
8969895070,75.497574,3.754976,0.000000
8970895604,75.472061,3.754721,0.000000
8971896135,75.485489,3.754855,0.000000
8972896667,75.429092,3.754291,0.000000
8973897199,75.446533,3.754466,0.000000
8974897729,75.458626,3.754586,0.000000
8975898261,75.451904,3.754519,0.000000
8976898792,75.437149,3.754372,0.000000
8977899324,75.419693,3.754197,0.000000
8978899855,75.430428,3.754304,0.000000
8979900413,75.419693,3.754197,0.000000
8980900945,75.408943,3.754089,0.000000
8981902482,75.414314,3.754143,0.000000
8982903013,75.427750,3.754277,0.000000
8983903546,75.423714,3.754237,0.000000
8984904117,75.421036,3.754210,0.000000
8985904648,75.416992,3.754170,0.000000
8986905180,75.402229,3.754022,0.000000
8987905711,75.400894,3.754009,0.000000
8988906249,75.398193,3.753982,0.000000
8989906781,75.400894,3.754009,0.000000
8990907312,75.403580,3.754035,0.000000
8991907843,75.396858,3.753968,0.000000
8992908379,75.400879,3.754009,0.000000
8993908908,75.403564,3.754035,0.000000
8994909438,75.388794,3.753888,0.000000
8995909969,75.380753,3.753808,0.000000
8996910499,75.370003,3.753700,0.000000
8997911032,75.356583,3.753566,0.000000
8998911562,75.340454,3.753404,0.000000
8999912092,75.339127,3.753391,0.000000
9000912623,75.378067,3.753781,0.000000
9001913157,75.364624,3.753646,0.000000
9002913687,75.345840,3.753458,0.000000
9003914216,75.356567,3.753566,0.000000
9004914746,75.320328,3.753203,0.000000
9005915276,75.347176,3.753472,0.000000
9006915812,75.336426,3.753365,0.000000
9007916342,75.340462,3.753405,0.000000
9008916873,75.312256,3.753123,0.000000
9009917404,75.328369,3.753284,0.000000
9010917947,75.313599,3.753136,0.000000
9011918477,75.332397,3.753324,0.000000
9012919008,75.332397,3.753324,0.000000
9013919538,75.314941,3.753150,0.000000
9014920069,75.318970,3.753190,0.000000
9015920599,75.290771,3.752908,0.000000
9016921129,75.304207,3.753042,0.000000
9017921661,75.320312,3.753203,0.000000
9018922192,75.276001,3.752760,0.000000
9019922745,75.290787,3.752908,0.000000
9020923274,75.281387,3.752814,0.000000
9021923805,75.285400,3.752854,0.000000
9022924337,75.281380,3.752814,0.000000
9023924868,75.277344,3.752774,0.000000
9024925398,75.276001,3.752760,0.000000
9025925928,75.246460,3.752465,0.000000
9026926458,75.270630,3.752707,0.000000
9027926989,75.238403,3.752384,0.000000
9028927545,75.231697,3.752317,0.000000
9029928075,75.250488,3.752505,0.000000
9030928607,75.247803,3.752478,0.000000
9031929138,75.254517,3.752545,0.000000
9032929669,75.245125,3.752451,0.000000
9033930205,75.229004,3.752290,0.000000
9034930735,75.237061,3.752371,0.000000
9035931267,75.249146,3.752491,0.000000
9036931798,75.237061,3.752370,0.000000
9037932348,75.223640,3.752236,0.000000
9038932878,75.223640,3.752236,0.000000
9039933408,75.208862,3.752089,0.000000
9040933938,75.216919,3.752169,0.000000
9041934468,75.218262,3.752183,0.000000
9042934999,75.172607,3.751726,0.000000
9043935529,75.203499,3.752035,0.000000
9044936059,75.186035,3.751860,0.000000
9045936590,75.220947,3.752209,0.000000
9046937121,75.211548,3.752116,0.000000
9047937684,75.192749,3.751928,0.000000
9048938215,75.177979,3.751780,0.000000
9049938745,75.165894,3.751659,0.000000
9050939275,75.122940,3.751230,0.000000
9051939807,75.163208,3.751632,0.000000
9052940338,75.149780,3.751498,0.000000
9053940868,75.169922,3.751699,0.000000
9054941399,75.159180,3.751592,0.000000
9055941929,75.160530,3.751605,0.000000
9056942465,75.153809,3.751538,0.000000
9057946250,75.147095,3.751471,0.000000
9058946781,75.144417,3.751444,0.000000
9059947313,75.130981,3.751310,0.000000
9060947852,75.132324,3.751323,0.000000
9061948384,75.126953,3.751270,0.000000
9062948914,75.128296,3.751283,0.000000
9063949445,75.145752,3.751458,0.000000
9064949975,75.140381,3.751404,0.000000
9065950506,75.117561,3.751176,0.000000
9066951036,75.113525,3.751135,0.000000
9067951566,75.105469,3.751054,0.000000
9068952097,75.096069,3.750961,0.000000
9069952630,75.092041,3.750921,0.000000
9070953161,75.114868,3.751149,0.000000
9071953692,75.104126,3.751041,0.000000
