Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
8969311690,0.289051,-0.122671,-1.297498
8969331339,0.289051,-0.171671,-1.346498
8969350987,0.191051,-0.171671,-1.395498
8969370636,0.289051,-0.122671,-1.395498
8969390285,0.240051,-0.220671,-1.493498
8969409934,0.338051,-0.171671,-1.346498
8969429583,0.240051,-0.220671,-1.346498
8969449232,0.240051,-0.220671,-1.346498
8969468883,0.289051,-0.122671,-1.346498
8969488533,0.240051,-0.220671,-1.297498
8969508183,0.289051,-0.220671,-1.395498
8969527833,0.240051,-0.220671,-1.395498
8969547482,0.240051,-0.171671,-1.395498
8969567130,0.289051,-0.171671,-1.248498
8969586781,0.338051,-0.171671,-1.395498
8969606431,0.289051,-0.220671,-1.444498
8969626080,0.289051,-0.171671,-1.346498
8969645728,0.289051,-0.269671,-1.346498
8969665376,0.289051,-0.171671,-1.346498
8969685023,0.338051,-0.171671,-1.346498
8969704694,0.338051,-0.220671,-1.493498
8969724321,0.289051,-0.220671,-1.346498
8969743971,0.240051,-0.171671,-1.297498
8969763622,0.240051,-0.171671,-1.395498
8969783272,0.191051,-0.269671,-1.248498
8969802924,0.240051,-0.220671,-1.395498
8969822575,0.240051,-0.122671,-1.395498
8969842225,0.240051,-0.220671,-1.444498
8969861875,0.240051,-0.220671,-1.444498
8969881526,0.240051,-0.220671,-1.297498
8969901176,0.191051,-0.220671,-1.346498
8969920827,0.240051,-0.220671,-1.346498
8969940477,0.240051,-0.220671,-1.395498
8969960127,0.240051,-0.171671,-1.297498
8969979778,0.240051,-0.220671,-1.395498
8969999429,0.289051,-0.220671,-1.395498
8970019080,0.240051,-0.171671,-1.395498
8970038729,0.240051,-0.269671,-1.444498
8970058378,0.289051,-0.220671,-1.346498
8970078028,0.240051,-0.171671,-1.297498
8970097677,0.338051,-0.220671,-1.346498
8970117325,0.289051,-0.220671,-1.444498
8970136975,0.240051,-0.220671,-1.297498
8970156625,0.142051,-0.171671,-1.346498
8970176274,0.289051,-0.220671,-1.444498
8970195923,0.338051,-0.171671,-1.346498
8970215574,0.289051,-0.220671,-1.297498
8970235224,0.289051,-0.220671,-1.346498
8970254874,0.289051,-0.171671,-1.297498
8970274524,0.240051,-0.220671,-1.248498
8970294174,0.338051,-0.220671,-1.346498
8970313824,0.240051,-0.171671,-1.297498
8970333472,0.142051,-0.122671,-1.297498
8970353121,0.289051,-0.171671,-1.297498
8970372770,0.240051,-0.122671,-1.395498
8970392417,0.240051,-0.122671,-1.248498
8970412067,0.240051,-0.171671,-1.395498
8970431719,0.338051,-0.220671,-1.346498
8970451368,0.289051,-0.122671,-1.395498
8970471017,0.191051,-0.171671,-1.297498
8970490668,0.289051,-0.220671,-1.395498
8970510318,0.240051,-0.220671,-1.395498
8970529968,0.240051,-0.220671,-1.297498
8970549617,0.240051,-0.171671,-1.346498
