Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8969304185,-0.034836,0.070080,-0.116400,0.273149,-0.157454,-0.946804
8969306688,0.025799,0.008879,-0.115908,0.270953,-0.158160,-0.946105
8969309190,0.025549,-0.112686,-0.054545,0.271713,-0.158161,-0.949014
8969311694,-0.035208,-0.112106,0.005990,0.274612,-0.158196,-0.948253
8969314196,-0.035080,-0.051141,0.005636,0.273917,-0.155272,-0.948238
8969316699,-0.034944,0.009508,-0.055340,0.275353,-0.155292,-0.946763
8969319201,-0.034933,0.009505,-0.055322,0.274628,-0.156738,-0.948241
8969321704,0.025692,-0.051379,0.005773,0.275290,-0.161125,-0.946809
8969324207,-0.035055,-0.051114,0.005667,0.277525,-0.156047,-0.946745
8969326709,-0.035044,-0.051098,0.005666,0.279028,-0.153871,-0.948899
8969329212,-0.095657,0.010096,0.005208,0.276793,-0.159676,-0.949699
8969331715,-0.034771,0.070774,0.004958,0.274580,-0.161113,-0.948276
8969334217,-0.034635,0.131385,-0.056017,0.277470,-0.161150,-0.946785
8969336745,-0.034749,0.070711,0.004975,0.278891,-0.162629,-0.945322
8969339221,0.025876,0.009807,0.066051,0.276057,-0.158215,-0.947507
8969341724,0.025868,0.009804,0.066030,0.273902,-0.158184,-0.949720
8969344227,0.025985,0.070434,0.005035,0.275331,-0.159661,-0.948986
8969346730,0.026102,0.131045,-0.055940,0.276024,-0.159677,-0.946060
8969349232,0.025969,0.070370,0.005051,0.273836,-0.161108,-0.946825
8969351735,0.025844,0.009419,0.005402,0.273133,-0.158912,-0.946816
8969354238,0.025702,-0.050921,0.126996,0.270243,-0.158875,-0.948307
8969356740,0.086443,-0.051450,0.066438,0.270212,-0.161791,-0.948330
8969359243,0.147173,-0.052276,-0.054723,0.273126,-0.161096,-0.948292
8969361746,0.147127,-0.052260,-0.054706,0.275355,-0.157474,-0.948968
8969364249,0.086216,-0.112628,0.006181,0.276090,-0.157481,-0.949690
8969366751,0.147045,-0.051911,0.005931,0.276024,-0.160404,-0.946795
8969369254,0.147124,0.008738,-0.055045,0.277469,-0.159695,-0.945315
8969371757,0.086347,0.008687,-0.115753,0.278277,-0.155323,-0.948189
8969374259,0.086320,0.008685,-0.115717,0.277568,-0.156038,-0.950392
8969376762,0.086168,-0.051951,-0.054707,0.276800,-0.158220,-0.948958
8969379265,0.086131,-0.051638,0.005933,0.274603,-0.158198,-0.947523
8969381768,0.086211,0.009605,0.066201,0.271680,-0.158895,-0.946832
8969384270,0.086300,0.070532,0.065829,0.272406,-0.158177,-0.946089
8969386773,0.146906,0.009034,0.005642,0.274628,-0.158193,-0.949712
8969389276,0.146869,0.008735,-0.054982,0.276809,-0.158945,-0.950423
8969391778,0.146814,0.009029,0.005657,0.277542,-0.155316,-0.947468
8969394281,0.146874,0.070253,0.065926,0.274636,-0.157464,-0.949706
8969396784,0.207577,0.069685,0.005387,0.274605,-0.160380,-0.949729
8969399287,0.146781,0.069615,-0.055341,0.278988,-0.157516,-0.948928
8969401789,0.146619,0.008663,-0.054972,0.278979,-0.156791,-0.947464
8969404292,0.085699,-0.051427,0.066538,0.278220,-0.158971,-0.946760
8969406795,0.024816,-0.112092,0.066765,0.274620,-0.158195,-0.948982
8969409298,-0.035806,-0.051176,0.005666,0.273158,-0.158180,-0.948269
8969411800,0.024838,-0.112635,-0.054503,0.276057,-0.158942,-0.948243
8969414303,0.085579,-0.113144,-0.115004,0.274594,-0.156746,-0.945324
8969416805,0.146167,-0.173991,-0.053890,0.274593,-0.156018,-0.944588
8969419308,0.146228,-0.112709,0.006398,0.273044,-0.164023,-0.943939
8969421811,0.146298,-0.051744,0.006044,0.275281,-0.161126,-0.946080
8969424314,0.146484,0.070132,0.005338,0.278922,-0.159712,-0.945299
8969426816,0.085698,0.070358,0.005233,0.277436,-0.160430,-0.943132
8969429319,0.024941,0.070288,-0.055495,0.273207,-0.155987,-0.950440
8969431822,0.024817,0.009336,-0.055126,0.273224,-0.155984,-0.951899
8969434324,0.024693,-0.051597,-0.054757,0.273820,-0.161839,-0.946102
8969436827,0.085309,-0.112759,-0.054284,0.278163,-0.161166,-0.943859
8969439330,0.085273,-0.112427,0.006356,0.279640,-0.158995,-0.943826
8969441833,0.085228,-0.111798,0.127598,0.272406,-0.157449,-0.945353
8969444335,0.145941,-0.112011,0.127662,0.275346,-0.157476,-0.948239
8969446838,0.206644,-0.112521,0.067104,0.276784,-0.159678,-0.948970
8969449341,0.267221,-0.174258,-0.053706,0.277511,-0.160414,-0.949697
8969451843,0.327885,-0.174748,-0.114208,0.280417,-0.158266,-0.947459
8969454346,0.267159,-0.113515,-0.114628,0.279634,-0.162633,-0.946773
8969456849,0.206558,0.008926,-0.054777,0.275321,-0.158209,-0.946786
8969459352,0.145745,0.009468,0.005759,0.275371,-0.156016,-0.948957
8969461854,0.145708,0.009168,-0.054865,0.277543,-0.156770,-0.948939
8969464357,0.145778,0.070095,-0.055200,0.276009,-0.162589,-0.947542
8969466860,0.145723,0.070370,0.005439,0.279700,-0.160437,-0.950403
8969469363,0.145534,0.010308,0.187656,0.282599,-0.160473,-0.949641
8969471865,0.145363,-0.050328,0.248571,0.277469,-0.160423,-0.946050
8969474368,0.084471,-0.111290,0.188119,0.274539,-0.162576,-0.946100
8969476871,0.084695,0.010011,0.066112,0.273844,-0.160379,-0.946820
8969479373,0.145408,0.009759,0.066195,0.273134,-0.160367,-0.948286
8969481876,0.145478,0.070686,0.065822,0.274514,-0.163309,-0.944647
8969484379,0.145423,0.070961,0.126424,0.278922,-0.159712,-0.945299
8969486881,0.145503,0.131571,0.065410,0.276032,-0.158948,-0.946054
8969489384,0.084611,0.070552,0.005015,0.273886,-0.160370,-0.950467
8969491887,0.084593,0.070233,-0.055609,0.280370,-0.164095,-0.948965
8969494391,0.084567,0.070211,-0.055591,0.274588,-0.160384,-0.948270
8969496894,0.084549,0.069892,-0.116196,0.273110,-0.161099,-0.946833
8969499396,0.084407,0.008940,-0.115808,0.275315,-0.161119,-0.948998
8969501899,0.145013,-0.052538,-0.175938,0.274612,-0.158924,-0.948988
8969504402,0.144967,-0.052521,-0.175882,0.273860,-0.158921,-0.946808
