Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
8969326224,-0.779075,-0.352397,0.936283
8969377152,-0.779065,-0.352208,0.946266
8969428083,-0.779044,-0.352218,0.946039
8969479027,-0.778941,-0.343175,0.955475
8969529977,-0.778953,-0.334465,0.945977
8969580921,-0.779014,-0.343528,0.936081
8969631869,-0.787861,-0.343358,0.935980
8969682810,-0.779075,-0.352397,0.936283
8969733752,-0.770207,-0.352577,0.936159
8969784700,-0.770217,-0.352572,0.936271
8969835640,-0.779055,-0.352213,0.946153
8969886575,-0.770310,-0.361620,0.926714
8969937517,-0.805730,-0.360923,0.926650
8969988461,-0.787934,-0.352028,0.946392
8970039400,-0.787800,-0.334295,0.945875
8970090339,-0.779035,-0.352029,0.956023
8970141272,-0.787974,-0.360906,0.946366
8970192212,-0.787923,-0.352033,0.946278
8970243142,-0.788007,-0.360892,0.946708
8970294079,-0.779107,-0.360893,0.956339
8970345010,-0.796689,-0.334298,0.936128
8970395946,-0.788026,-0.361269,0.926738
8970446887,-0.788016,-0.361081,0.936721
8970497827,-0.787902,-0.352042,0.946050
8970548759,-0.787923,-0.352033,0.946278
8970599692,-0.779075,-0.352397,0.936283
8970650624,-0.779158,-0.361256,0.936710
8970701553,-0.779168,-0.361444,0.926726
8970752485,-0.779065,-0.352208,0.946266
8970803412,-0.779148,-0.361068,0.946696
8970854345,-0.787996,-0.352386,0.926869
8970905269,-0.779106,-0.361086,0.946241
8970956201,-0.778993,-0.343344,0.945951
8971007133,-0.779095,-0.352580,0.926413
8971058060,-0.778994,-0.343150,0.956051
8971108987,-0.787954,-0.352212,0.936519
8971159926,-0.796822,-0.352225,0.926547
8971210856,-0.779056,-0.352019,0.956253
8971261786,-0.779119,-0.352184,0.946836
8971312721,-0.787903,-0.351849,0.956149
8971363658,-0.779096,-0.352387,0.936508
8971414593,-0.779076,-0.352203,0.946380
8971465528,-0.779075,-0.352397,0.936283
8971516466,-0.796781,-0.351857,0.946290
8971567400,-0.779025,-0.351840,0.966009
8971618336,-0.787903,-0.351849,0.956149
8971669281,-0.778993,-0.343344,0.945951
8971720209,-0.779035,-0.343518,0.936306
8971771143,-0.787975,-0.352395,0.926647
8971822077,-0.787995,-0.361090,0.936496
8971873004,-0.788026,-0.361269,0.926738
8971923931,-0.796863,-0.360910,0.936620
8971974864,-0.788067,-0.369954,0.936810
8972025791,-0.796854,-0.360721,0.946605
8972076722,-0.796956,-0.369958,0.927062
8972127657,-0.779117,-0.361082,0.946354
8972178600,-0.779158,-0.361256,0.936710
8972229542,-0.779076,-0.352203,0.946380
8972280472,-0.787903,-0.351849,0.956149
8972331407,-0.787811,-0.334290,0.945988
8972382345,-0.778952,-0.334659,0.935879
8972433269,-0.787800,-0.334295,0.945875
8972484208,-0.796690,-0.342616,0.965947
8972535145,-0.778912,-0.334098,0.965722
8972586085,-0.787842,-0.342980,0.955948
8972637013,-0.779004,-0.343339,0.946065
8972687955,-0.778953,-0.334465,0.945977
8972738882,-0.787842,-0.334468,0.936229
8972789819,-0.787914,-0.351844,0.956264
8972840755,-0.787995,-0.361090,0.936496
8972891686,-0.770198,-0.352195,0.956241
8972942624,-0.779118,-0.352377,0.936733
8972993563,-0.779096,-0.352387,0.936508
8973044501,-0.796904,-0.361277,0.916878
8973095427,-0.787997,-0.360704,0.956697
8973146363,-0.787975,-0.360713,0.956466
8973197300,-0.788119,-0.370124,0.927273
8973248230,-0.779199,-0.361430,0.927060
8973299161,-0.787996,-0.360897,0.946594
8973350089,-0.796905,-0.361084,0.926972
8973401018,-0.788056,-0.369959,0.936698
8973451945,-0.779230,-0.370120,0.937024
8973502871,-0.787934,-0.352028,0.946392
8973553796,-0.779179,-0.369757,0.956656
8973604722,-0.788017,-0.360887,0.946822
8973655655,-0.779045,-0.352024,0.956138
8973706584,-0.779096,-0.352387,0.936508
8973757513,-0.787964,-0.352400,0.926536
8973808435,-0.779025,-0.351840,0.966009
8973859372,-0.778984,-0.343155,0.955936
8973910309,-0.778933,-0.334281,0.955849
8973961238,-0.787824,-0.325578,0.936477
8974012170,-0.787791,-0.334106,0.955861
8974063095,-0.770095,-0.334640,0.945965
8974114030,-0.779056,-0.352019,0.956253
8974164954,-0.787851,-0.343169,0.945962
8974215877,-0.779087,-0.352198,0.946494
8974266802,-0.779127,-0.352566,0.926746
8974317738,-0.779024,-0.343523,0.936194
8974368665,-0.770177,-0.343693,0.936294
8974419595,-0.779118,-0.352377,0.936733
8974521460,-0.787944,-0.352216,0.936407
8974572386,-0.787996,-0.360897,0.946594
8974623329,-0.787945,-0.352023,0.946506
8974674265,-0.788016,-0.361081,0.936721
8974725203,-0.788027,-0.361076,0.936834
8974776140,-0.788067,-0.369954,0.936810
8974827074,-0.796893,-0.361282,0.916768
8974878004,-0.779106,-0.352575,0.926524
8974928942,-0.796791,-0.352046,0.936306
8974979869,-0.787944,-0.352216,0.936407
8975030804,-0.779065,-0.352208,0.946266
8975081743,-0.788037,-0.369582,0.956668
8975132677,-0.787842,-0.342980,0.955948
8975183607,-0.796731,-0.342983,0.946202
8975234541,-0.787965,-0.352207,0.936632
8975285469,-0.779035,-0.343518,0.936306
8975336395,-0.787842,-0.342980,0.955948
8975387314,-0.787934,-0.352028,0.946392
8975438252,-0.787831,-0.334474,0.936116
8975489182,-0.787874,-0.342965,0.956293
8975540119,-0.787843,-0.334274,0.946330
8975591077,-0.787852,-0.342975,0.956063
8975641995,-0.787873,-0.343159,0.946190
8975692927,-0.779055,-0.352213,0.946153
8975743862,-0.779035,-0.343518,0.936306
8975794794,-0.779147,-0.361261,0.936597
8975845735,-0.796854,-0.360721,0.946605
8975896678,-0.787975,-0.352395,0.926647
8975947612,-0.788047,-0.361260,0.926960
8975998546,-0.779209,-0.370129,0.936799
8976049476,-0.788046,-0.361453,0.916866
8976100406,-0.779168,-0.361444,0.926726
8976151344,-0.787995,-0.361090,0.936496
8976202282,-0.788016,-0.361081,0.936721
8976253213,-0.779159,-0.352552,0.927080
8976304146,-0.779190,-0.361242,0.937047
8976355081,-0.779251,-0.370304,0.927150
8976406014,-0.779147,-0.361261,0.936597
8976456949,-0.787954,-0.352212,0.936519
8976507876,-0.788078,-0.369950,0.936923
8976558807,-0.779209,-0.370129,0.936799
8976609739,-0.779169,-0.361251,0.936822
8976660669,-0.779147,-0.361261,0.936597
8976711606,-0.787882,-0.343348,0.936205
8976762539,-0.787934,-0.352028,0.946392
8976813471,-0.778962,-0.334654,0.935992
8976864405,-0.787904,-0.343338,0.936430
8976915342,-0.787822,-0.334285,0.946102
8976966281,-0.787925,-0.351839,0.956380
8977017228,-0.770116,-0.334630,0.946193
8977068173,-0.787914,-0.343333,0.936543
8977119120,-0.787894,-0.343149,0.946418
8977170068,-0.779076,-0.352203,0.946380
8977221003,-0.787985,-0.360901,0.946480
8977271939,-0.779076,-0.352203,0.946380
8977322877,-0.779169,-0.361251,0.936822
8977373813,-0.788028,-0.360883,0.946935
8977424744,-0.787985,-0.360901,0.946480
8977475677,-0.788016,-0.361081,0.936721
8977526616,-0.779229,-0.370313,0.926928
8977577551,-0.788036,-0.361264,0.926849
8977628482,-0.787975,-0.352395,0.926647
8977679418,-0.788098,-0.370133,0.927051
8977730358,-0.788047,-0.369770,0.946682
8977781292,-0.788027,-0.361076,0.936834
8977832228,-0.796894,-0.361089,0.926860
8977883161,-0.779097,-0.352193,0.946608
8977934097,-0.779220,-0.370125,0.936911
