Timestamp (us),W Element,X Element,Y Element,Z Element
8969304185,0.020623,-0.913516,0.373993,-0.159486
8969306688,0.020624,-0.913518,0.373989,-0.159485
8969309190,0.020627,-0.913520,0.373986,-0.159482
8969311694,0.020628,-0.913521,0.373984,-0.159479
8969314196,0.020628,-0.913522,0.373982,-0.159477
8969316699,0.020627,-0.913523,0.373980,-0.159477
8969319201,0.020626,-0.913524,0.373977,-0.159476
8969321704,0.020629,-0.913525,0.373975,-0.159476
8969324207,0.020629,-0.913526,0.373973,-0.159475
8969326709,0.020627,-0.913527,0.373971,-0.159474
8969329212,0.020627,-0.913527,0.373970,-0.159474
8969331715,0.020627,-0.913528,0.373968,-0.159476
8969334217,0.020627,-0.913528,0.373966,-0.159479
8969336745,0.020628,-0.913528,0.373964,-0.159482
8969339221,0.020629,-0.913528,0.373963,-0.159483
8969341724,0.020631,-0.913529,0.373963,-0.159483
8969344227,0.020632,-0.913529,0.373961,-0.159484
8969346730,0.020633,-0.913530,0.373958,-0.159488
8969349232,0.020635,-0.913530,0.373957,-0.159489
8969351735,0.020637,-0.913531,0.373955,-0.159489
8969354238,0.020640,-0.913531,0.373956,-0.159487
8969356740,0.020645,-0.913531,0.373955,-0.159485
8969359243,0.020650,-0.913532,0.373952,-0.159485
8969361746,0.020654,-0.913534,0.373949,-0.159485
8969364249,0.020657,-0.913535,0.373946,-0.159483
8969366751,0.020662,-0.913535,0.373944,-0.159484
8969369254,0.020666,-0.913536,0.373941,-0.159487
8969371757,0.020667,-0.913538,0.373936,-0.159488
8969374259,0.020667,-0.913539,0.373931,-0.159489
8969376762,0.020670,-0.913541,0.373928,-0.159490
8969379265,0.020673,-0.913542,0.373925,-0.159489
8969381768,0.020677,-0.913543,0.373923,-0.159489
8969384270,0.020680,-0.913544,0.373921,-0.159490
8969386773,0.020684,-0.913545,0.373917,-0.159491
8969389276,0.020688,-0.913546,0.373912,-0.159493
8969391778,0.020690,-0.913548,0.373908,-0.159494
8969394281,0.020694,-0.913548,0.373906,-0.159496
8969396784,0.020699,-0.913549,0.373902,-0.159499
8969399287,0.020702,-0.913550,0.373897,-0.159503
8969401789,0.020705,-0.913552,0.373892,-0.159505
8969404292,0.020708,-0.913553,0.373890,-0.159506
8969406795,0.020711,-0.913554,0.373888,-0.159504
8969409298,0.020712,-0.913555,0.373885,-0.159501
8969411800,0.020714,-0.913558,0.373880,-0.159500
8969414303,0.020717,-0.913560,0.373875,-0.159498
8969416805,0.020722,-0.913563,0.373870,-0.159496
8969419308,0.020729,-0.913564,0.373866,-0.159495
8969421811,0.020735,-0.913565,0.373863,-0.159496
8969424314,0.020738,-0.913566,0.373859,-0.159500
8969426816,0.020741,-0.913566,0.373856,-0.159503
8969429319,0.020741,-0.913568,0.373851,-0.159504
8969431822,0.020742,-0.913570,0.373847,-0.159503
8969434324,0.020745,-0.913572,0.373843,-0.159502
8969436827,0.020749,-0.913574,0.373838,-0.159502
8969439330,0.020753,-0.913575,0.373834,-0.159503
8969441833,0.020757,-0.913576,0.373833,-0.159500
8969444335,0.020762,-0.913576,0.373832,-0.159499
8969446838,0.020768,-0.913577,0.373830,-0.159499
8969449341,0.020776,-0.913579,0.373824,-0.159498
8969451843,0.020784,-0.913582,0.373817,-0.159499
8969454346,0.020792,-0.913584,0.373811,-0.159501
8969456849,0.020797,-0.913586,0.373806,-0.159503
8969459352,0.020800,-0.913587,0.373802,-0.159504
8969461854,0.020803,-0.913589,0.373797,-0.159506
8969464357,0.020807,-0.913590,0.373793,-0.159509
8969466860,0.020811,-0.913590,0.373789,-0.159513
8969469363,0.020815,-0.913590,0.373789,-0.159517
8969471865,0.020821,-0.913589,0.373790,-0.159518
8969474368,0.020827,-0.913589,0.373791,-0.159517
8969476871,0.020830,-0.913589,0.373788,-0.159518
8969479373,0.020835,-0.913589,0.373788,-0.159519
