Timestamp (us),Temperature (degC)
8969429319,29.750000
8970430404,29.750000
8971431490,29.750000
8972432576,29.750000
8973433662,29.750000
8974434747,29.750000
8975435832,29.750000
8976436917,29.625000
8977438003,29.725000
8978439089,29.750000
8979440175,29.775000
8980441262,29.875000
8981442348,29.875000
8982444440,29.799999
8983445524,29.750000
8984446611,29.750000
8985447698,29.875000
8986448785,29.875000
8987449873,29.875000
8988450960,29.850000
8989452047,29.750000
8990453132,29.875000
8991454219,29.775000
8992455306,29.799999
8993456394,29.875000
8994457483,29.875000
8995458570,29.750000
8996459657,29.750000
8997460744,29.799999
8998461832,29.875000
8999462920,29.875000
9000464009,29.875000
9001465097,29.875000
9002466184,29.875000
9003467272,29.875000
9004468360,29.875000
9005469448,29.875000
9006470537,29.799999
9007471627,29.750000
9008472715,29.750000
9009473804,29.875000
9010474893,29.875000
9011475981,29.875000
9012477070,29.875000
9013478159,29.875000
9014479248,29.875000
9015480339,29.875000
9016481428,29.875000
9017482518,29.875000
9018483605,29.875000
9019484695,29.875000
9020485783,29.875000
9021486872,29.875000
9022487963,29.875000
9023489052,30.000000
9024490140,30.000000
9025491230,30.000000
9026492319,30.000000
9027493409,30.000000
9028494499,29.875000
9029495590,29.975000
9030496678,30.000000
9031497767,30.000000
9032498857,30.000000
9033499948,29.875000
9034501043,29.875000
9035502128,29.924999
9036503216,30.000000
9037504306,30.000000
9038505397,30.000000
9039506487,30.000000
9040507578,30.000000
9041508669,30.000000
9042509758,30.000000
9043510848,30.000000
9044511939,30.000000
9045513031,30.000000
9046514123,30.000000
9047515215,30.000000
9048516305,30.000000
9049517396,30.000000
9050518488,30.000000
9051519581,30.000000
9052520673,30.000000
9053521764,30.000000
9054522856,30.000000
9055523948,30.000000
9056525041,30.000000
9057526135,30.000000
9058530482,30.000000
9059531573,30.000000
9060532665,30.000000
9061533758,30.000000
9062534850,30.000000
9063535945,30.049999
9064537038,30.125000
9065538129,30.125000
9066539223,30.000000
9067540318,30.000000
9068541411,30.000000
9069542504,30.000000
9070543597,30.000000
9071544691,30.000000
9072545786,30.075001
