Timestamp (us),Percentage (%),Voltage (V),Charging Status
9316868834,82.962158,3.829622,0.000000
9317869367,82.943359,3.829433,0.000000
9318869901,82.927246,3.829273,0.000000
9319870434,82.925903,3.829259,0.000000
9320870964,82.929932,3.829299,0.000000
9321871496,82.940666,3.829407,0.000000
9322872031,82.917847,3.829179,0.000000
9323872565,82.928596,3.829286,0.000000
9324873137,82.907104,3.829071,0.000000
9325873669,82.919189,3.829192,0.000000
9326874203,82.927246,3.829273,0.000000
9327874733,82.909790,3.829098,0.000000
9328875264,82.913818,3.829138,0.000000
9329875794,82.904419,3.829044,0.000000
9330876328,82.919189,3.829192,0.000000
9331876861,82.911133,3.829112,0.000000
9332877392,82.885620,3.828856,0.000000
9333877925,82.908447,3.829084,0.000000
9334878458,82.893677,3.828937,0.000000
9335878993,82.905762,3.829057,0.000000
9336879523,82.880249,3.828803,0.000000
9337880054,82.888306,3.828883,0.000000
9338880588,82.856071,3.828561,0.000000
9339881120,82.858765,3.828587,0.000000
9340881650,82.865479,3.828655,0.000000
9341882184,82.865479,3.828655,0.000000
9342882717,82.852051,3.828521,0.000000
9343883248,82.843994,3.828440,0.000000
9344883779,82.850708,3.828507,0.000000
9345884312,82.837280,3.828372,0.000000
9346884858,82.831909,3.828319,0.000000
9347885389,82.826538,3.828265,0.000000
9348885920,82.826530,3.828265,0.000000
9349886454,82.829224,3.828292,0.000000
9350886987,82.825195,3.828252,0.000000
9351887521,82.814445,3.828145,0.000000
9352888054,82.819809,3.828198,0.000000
9353888590,82.825188,3.828252,0.000000
9354889124,82.821167,3.828212,0.000000
9355889655,82.810432,3.828104,0.000000
9356890186,82.821167,3.828212,0.000000
9357890734,82.803711,3.828037,0.000000
9358891267,82.811768,3.828118,0.000000
9359891801,82.786255,3.827863,0.000000
9360892332,82.803696,3.828037,0.000000
9361892867,82.795654,3.827956,0.000000
9362893401,82.780884,3.827809,0.000000
9363893932,82.780876,3.827809,0.000000
9364894469,82.764755,3.827648,0.000000
9365895043,82.767441,3.827674,0.000000
9366895578,82.775513,3.827755,0.000000
9367896111,82.778198,3.827782,0.000000
9368896644,82.770134,3.827702,0.000000
9369897176,82.756699,3.827567,0.000000
9370897710,82.747307,3.827473,0.000000
9371898242,82.751343,3.827513,0.000000
9372898777,82.760742,3.827607,0.000000
9373899308,82.731194,3.827312,0.000000
9374899840,82.728516,3.827285,0.000000
9375900382,82.720444,3.827204,0.000000
9376900930,82.728516,3.827285,0.000000
9377901461,82.705696,3.827057,0.000000
9378901992,82.701660,3.827016,0.000000
9379902525,82.703003,3.827030,0.000000
9380903056,82.712402,3.827124,0.000000
9381903586,82.713737,3.827137,0.000000
9382904118,82.724487,3.827245,0.000000
9383904649,82.705673,3.827057,0.000000
9384905179,82.680176,3.826802,0.000000
9385905710,82.685539,3.826855,0.000000
9386906243,82.705688,3.827057,0.000000
9387906817,82.692261,3.826923,0.000000
9388907348,82.692261,3.826923,0.000000
9389907879,82.676147,3.826762,0.000000
9390908410,82.664062,3.826641,0.000000
9391908941,82.677483,3.826775,0.000000
9392909475,82.672119,3.826721,0.000000
9393910006,82.665390,3.826654,0.000000
9394910537,82.665405,3.826654,0.000000
9395911069,82.660034,3.826600,0.000000
9396911602,82.631828,3.826318,0.000000
9397912138,82.634521,3.826345,0.000000
9398912706,82.635864,3.826358,0.000000
9399913236,82.625122,3.826251,0.000000
9400913770,82.651978,3.826520,0.000000
9401914301,82.602295,3.826023,0.000000
9402914835,82.614380,3.826144,0.000000
9403915371,82.633179,3.826332,0.000000
9404915905,82.631836,3.826318,0.000000
9405916437,82.600937,3.826009,0.000000
9406916980,82.630493,3.826305,0.000000
9407917511,82.610352,3.826104,0.000000
9408918043,82.602295,3.826023,0.000000
9409918608,82.599617,3.825996,0.000000
9410919140,82.600937,3.826010,0.000000
9411919673,82.595581,3.825956,0.000000
9412920204,82.587509,3.825875,0.000000
9413920739,82.579468,3.825795,0.000000
9414921269,82.603638,3.826036,0.000000
9415921800,82.576782,3.825768,0.000000
