Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316119964,-0.140634,0.870460,-0.529036
9316140577,-0.091634,0.968460,-0.529036
9316161191,-0.140634,0.870460,-0.529036
9316181805,-0.140634,0.821460,-0.627036
9316202418,-0.140634,0.870460,-0.480036
9316223032,-0.042634,0.821460,-0.529036
9316243655,-0.091634,0.870460,-0.627036
9316264259,-0.189634,0.919460,-0.529036
9316284874,-0.091634,0.870460,-0.480036
9316305490,-0.140634,0.919460,-0.480036
9316326139,-0.140634,0.919460,-0.529036
9316346718,-0.091634,0.821460,-0.578036
9316367331,-0.189634,0.870460,-0.529036
9316387944,-0.189634,0.870460,-0.480036
9316408557,-0.140634,0.821460,-0.578036
9316429169,-0.091634,0.870460,-0.480036
9316449783,-0.091634,0.870460,-0.627036
9316470397,-0.091634,0.870460,-0.480036
9316491010,-0.091634,0.968460,-0.480036
9316511625,-0.091634,0.870460,-0.529036
9316532239,-0.140634,0.870460,-0.529036
9316552850,-0.189634,0.968460,-0.431036
9316573461,-0.140634,0.919460,-0.480036
9316594073,-0.091634,0.919460,-0.529036
9316614686,-0.189634,0.968460,-0.529036
9316635301,-0.189634,0.919460,-0.627036
9316655916,-0.140634,0.870460,-0.578036
9316676531,-0.140634,0.870460,-0.480036
9316697146,-0.042634,0.919460,-0.529036
9316717761,-0.091634,0.870460,-0.431036
9316738375,-0.091634,0.870460,-0.529036
9316758989,-0.140634,0.870460,-0.529036
9316779603,-0.140634,0.919460,-0.480036
9316800217,-0.140634,0.919460,-0.578036
9316820832,-0.238634,0.968460,-0.529036
9316841447,-0.091634,0.919460,-0.480036
9316862062,-0.091634,0.919460,-0.529036
9316882677,-0.091634,0.919460,-0.627036
9316903292,-0.140634,0.821460,-0.578036
9316923907,-0.140634,0.919460,-0.578036
9316944521,-0.140634,0.968460,-0.529036
9316965135,-0.140634,0.919460,-0.578036
9316985749,-0.091634,0.821460,-0.578036
9317006363,-0.189634,0.919460,-0.529036
9317026978,-0.091634,0.968460,-0.578036
9317047593,-0.042634,0.919460,-0.529036
9317068208,-0.042634,0.968460,-0.578036
9317088823,-0.091634,0.870460,-0.529036
9317109440,-0.140634,0.870460,-0.480036
9317130055,-0.140634,0.870460,-0.529036
9317150670,-0.140634,0.919460,-0.431036
9317171286,-0.042634,0.870460,-0.431036
9317191902,-0.091634,0.968460,-0.578036
9317212518,-0.091634,0.919460,-0.578036
9317233132,-0.091634,0.919460,-0.578036
9317253747,-0.140634,0.919460,-0.480036
9317274363,-0.091634,0.870460,-0.578036
9317294979,-0.091634,0.870460,-0.676036
9317315595,-0.140634,0.919460,-0.578036
9317336211,-0.140634,0.870460,-0.529036
9317356827,-0.189634,0.919460,-0.480036
9317377443,-0.140634,0.968460,-0.627036
9317398060,-0.189634,0.870460,-0.627036
9317418676,0.006366,0.919460,-0.676036
9317439292,-0.091634,0.870460,-0.676036
9317459907,-0.042634,0.772460,-0.627036
9317480524,-0.091634,0.821460,-0.529036
9317501141,-0.091634,0.772460,-0.676036
9317521759,-0.042634,0.919460,-0.627036
9317542372,0.006366,0.919460,-0.676036
9317562986,0.006366,0.919460,-0.529036
9317583604,0.055366,0.870460,-0.529036
9317604221,-0.140634,0.968460,-0.578036
9317624838,0.006366,0.870460,-0.382036
9317645456,0.006366,0.919460,-0.480036
9317666073,0.104366,0.919460,-0.480036
9317686692,-0.042634,0.968460,-0.480036
9317707309,0.006366,0.919460,-0.431036
9317727925,-0.091634,0.919460,-0.431036
9317748541,-0.091634,1.017460,-0.431036
9317769157,-0.042634,0.919460,-0.529036
9317789773,-0.091634,0.919460,-0.529036
9317810390,-0.042634,0.919460,-0.480036
9317831006,-0.042634,0.919460,-0.529036
9317851621,-0.042634,0.919460,-0.578036
9317872237,-0.091634,0.919460,-0.529036
9317892853,0.006366,0.870460,-0.382036
9317913468,-0.042634,0.821460,-0.480036
9317934086,-0.042634,0.821460,-0.382036
9317954703,-0.091634,0.919460,-0.382036
9317975321,-0.091634,0.968460,-0.333036
9317995938,-0.042634,0.870460,-0.284036
9318016555,-0.042634,0.968460,-0.480036
9318037174,-0.140634,0.968460,-0.333036
9318057791,-0.140634,0.919460,-0.235036
9318078407,-0.091634,0.821460,-0.529036
9318099024,-0.091634,0.968460,-0.431036
9318119641,-0.140634,0.919460,-0.382036
9318140258,-0.238634,0.968460,-0.431036
9318160887,-0.238634,0.919460,-0.578036
9318181493,-0.091634,0.919460,-0.627036
9318202110,-0.091634,0.821460,-0.725036
9318222726,-0.091634,0.821460,-0.676036
9318243378,-0.189634,0.821460,-0.921036
9318263960,-0.091634,0.870460,-0.823036
9318284578,-0.091634,0.821460,-0.774036
9318305196,-0.140634,0.968460,-0.774036
9318325812,-0.238634,0.870460,-0.774036
9318346429,-0.238634,0.821460,-0.774036
9318367046,-0.091634,0.723460,-0.823036
9318387662,-0.091634,0.723460,-0.725036
9318408281,-0.140634,0.723460,-0.725036
9318428895,-0.140634,0.772460,-0.676036
9318449512,-0.140634,0.674460,-0.676036
9318470129,-0.189634,0.821460,-0.725036
9318490745,-0.189634,0.723460,-0.725036
9318511362,-0.091634,0.772460,-0.676036
9318531980,-0.189634,0.723460,-0.872036
9318552597,-0.189634,0.723460,-0.872036
9318573213,-0.238634,0.772460,-0.725036
9318593830,-0.189634,0.772460,-0.921036
9318614448,-0.091634,0.674460,-0.823036
9318635067,-0.091634,0.674460,-0.921036
9318655685,-0.140634,0.772460,-0.921036
9318676302,-0.091634,0.723460,-0.921036
9318696920,-0.189634,0.674460,-0.970036
9318717537,-0.140634,0.625460,-0.970036
9318738154,-0.238634,0.772460,-0.872036
9318758772,-0.238634,0.919460,-0.970036
9318779390,-0.189634,0.919460,-0.970036
9318800007,0.055366,0.821460,-0.921036
9318820625,-0.140634,0.772460,-0.578036
9318841241,-0.140634,0.968460,-0.627036
9318861856,-0.091634,1.017460,-0.480036
9318882469,-0.042634,0.968460,-0.529036
9318903082,-0.042634,0.968460,-0.431036
9318923694,-0.091634,0.968460,-0.431036
9318944307,0.055366,1.017460,-0.382036
9318964920,0.055366,0.968460,-0.431036
9318985531,0.006366,0.919460,-0.480036
9319006143,-0.042634,0.968460,-0.480036
9319026755,0.006366,0.968460,-0.480036
9319047367,-0.042634,0.821460,-0.431036
9319067979,-0.091634,0.870460,-0.431036
9319088589,0.006366,0.870460,-0.529036
9319109201,0.006366,0.919460,-0.529036
9319129813,-0.140634,0.919460,-0.529036
9319150428,-0.140634,0.870460,-0.529036
9319171044,-0.091634,0.870460,-0.529036
9319191656,-0.140634,0.968460,-0.529036
9319212268,-0.091634,0.919460,-0.480036
9319232880,-0.042634,1.017460,-0.529036
9319253492,-0.042634,0.968460,-0.480036
9319274105,-0.042634,0.870460,-0.480036
9319294718,-0.042634,0.870460,-0.480036
9319315329,0.006366,0.968460,-0.529036
9319335942,0.055366,1.017460,-0.431036
9319356555,0.055366,0.919460,-0.382036
9319377168,-0.091634,0.968460,-0.235036
9319397780,-0.140634,0.968460,-0.382036
9319418392,-0.042634,1.017460,-0.382036
9319439007,-0.140634,1.017460,-0.333036
9319459622,-0.189634,1.017460,-0.382036
9319480238,-0.140634,1.017460,-0.382036
9319500854,0.006366,1.066460,-0.431036
9319521470,-0.042634,0.919460,-0.333036
9319542087,-0.091634,0.919460,-0.480036
9319562700,-0.091634,0.821460,-0.627036
9319583314,-0.042634,0.870460,-0.627036
9319603927,-0.091634,0.870460,-0.627036
9319624539,-0.042634,0.821460,-0.872036
9319645151,-0.189634,0.772460,-0.872036
9319665762,-0.042634,0.772460,-0.823036
9319686376,-0.042634,0.772460,-1.117036
9319706992,-0.140634,0.772460,-1.019036
9319727607,-0.238634,0.821460,-0.872036
9319748221,-0.140634,0.821460,-0.774036
9319768838,-0.140634,0.772460,-0.823036
9319789452,-0.189634,0.723460,-0.774036
9319810068,-0.091634,0.723460,-0.725036
9319830685,-0.189634,0.772460,-0.676036
9319851298,-0.140634,0.723460,-0.676036
9319871914,-0.140634,0.821460,-0.676036
9319892530,-0.042634,0.821460,-0.578036
9319913150,-0.042634,0.772460,-0.676036
9319933761,-0.189634,0.772460,-0.725036
9319954376,-0.189634,0.870460,-0.774036
9319974992,-0.140634,0.821460,-0.725036
9319995638,-0.091634,0.821460,-0.725036
9320016224,-0.091634,0.723460,-0.774036
9320036839,-0.140634,0.723460,-0.823036
9320057456,-0.140634,0.772460,-0.921036
9320078071,-0.189634,0.870460,-0.774036
9320098687,-0.189634,0.821460,-0.872036
9320119302,-0.140634,0.772460,-0.921036
9320139916,-0.140634,0.821460,-0.872036
9320160531,-0.140634,0.919460,-0.823036
9320181148,-0.042634,1.017460,-0.725036
9320201764,0.055366,0.870460,-0.627036
9320222381,-0.140634,0.821460,-0.382036
9320242997,-0.091634,1.115460,-0.382036
9320263614,0.006366,1.066460,-0.480036
9320284231,-0.091634,1.066460,-0.333036
9320304848,0.006366,0.968460,-0.284036
9320325464,-0.042634,1.017460,-0.431036
9320346081,0.006366,0.919460,-0.333036
9320366698,0.055366,0.919460,-0.333036
9320387314,0.055366,0.821460,-0.578036
9320407929,0.055366,0.821460,-0.480036
9320428545,-0.091634,0.968460,-0.431036
9320449163,-0.042634,0.919460,-0.578036
9320469780,-0.042634,0.919460,-0.431036
9320490398,-0.091634,0.919460,-0.382036
9320511015,-0.091634,0.772460,-0.529036
9320531632,0.006366,0.919460,-0.578036
9320552250,0.006366,0.821460,-0.529036
9320572867,-0.042634,0.870460,-0.529036
9320593485,-0.091634,0.919460,-0.529036
9320614103,-0.042634,0.968460,-0.529036
9320634721,-0.091634,0.821460,-0.529036
9320655338,-0.091634,0.919460,-0.578036
9320675956,-0.091634,1.017460,-0.480036
9320696574,-0.042634,0.919460,-0.431036
9320717191,0.006366,0.870460,-0.333036
9320737808,-0.091634,0.870460,-0.431036
9320758426,-0.140634,0.968460,-0.480036
9320779043,-0.042634,0.968460,-0.333036
9320799659,-0.042634,1.017460,-0.382036
9320820277,-0.140634,0.968460,-0.284036
9320840892,-0.042634,0.821460,-0.382036
9320861507,-0.091634,0.870460,-0.382036
9320882120,-0.042634,0.968460,-0.284036
9320902734,-0.140634,0.919460,-0.333036
9320923347,-0.091634,0.919460,-0.480036
9320943964,-0.042634,0.870460,-0.480036
9320964581,-0.140634,1.017460,-0.480036
9320985198,0.006366,0.821460,-0.676036
9321005816,-0.042634,0.723460,-0.774036
9321026433,-0.140634,0.821460,-0.823036
9321047050,-0.189634,0.821460,-0.872036
9321067668,-0.140634,0.821460,-0.823036
9321088286,-0.042634,0.870460,-0.823036
9321108902,-0.140634,0.870460,-0.774036
9321129519,-0.189634,0.821460,-0.774036
9321150137,-0.091634,0.772460,-0.725036
9321170754,-0.140634,0.772460,-0.774036
9321191372,-0.189634,0.821460,-0.725036
9321211990,-0.140634,0.821460,-0.725036
9321232607,-0.189634,0.968460,-0.578036
9321253225,-0.140634,0.821460,-0.529036
9321273844,-0.238634,0.772460,-0.529036
9321294461,-0.140634,0.772460,-0.627036
9321315079,-0.140634,0.772460,-0.676036
9321335695,-0.091634,0.821460,-0.725036
9321356311,-0.140634,0.821460,-0.725036
9321376927,-0.091634,0.723460,-0.627036
9321397543,-0.091634,0.772460,-0.774036
9321418159,-0.091634,0.821460,-0.676036
9321438774,-0.091634,0.870460,-0.676036
9321459390,-0.042634,0.870460,-0.627036
9321480005,-0.042634,0.821460,-0.578036
9321500618,-0.140634,0.968460,-0.676036
9321521231,-0.140634,0.870460,-0.627036
9321541846,-0.091634,0.772460,-0.725036
9321562464,0.006366,0.870460,-0.627036
9321583080,0.006366,1.066460,-0.529036
9321603696,0.055366,1.115460,-0.431036
9321624314,0.006366,1.017460,-0.284036
9321644931,-0.140634,0.919460,-0.382036
9321665548,-0.140634,0.870460,-0.431036
9321686164,-0.091634,0.919460,-0.578036
9321706781,0.006366,0.968460,-0.627036
9321727399,0.104366,0.821460,-0.480036
9321748014,0.055366,0.674460,-0.431036
9321768628,-0.091634,0.821460,-0.627036
9321789241,-0.042634,0.968460,-0.529036
9321809854,0.055366,0.968460,-0.431036
9321830468,0.006366,0.919460,-0.480036
9321851082,0.055366,0.821460,-0.480036
9321871695,0.006366,0.821460,-0.480036
9321892308,-0.091634,0.919460,-0.578036
9321912922,-0.042634,0.919460,-0.431036
9321933537,-0.091634,0.919460,-0.529036
9321954151,0.006366,0.870460,-0.529036
9321974764,-0.042634,0.919460,-0.627036
9321995379,-0.042634,0.919460,-0.578036
9322015993,0.006366,0.821460,-0.529036
9322036607,-0.091634,0.870460,-0.480036
9322057220,-0.042634,0.870460,-0.627036
9322077856,-0.091634,0.821460,-0.529036
9322098449,-0.140634,0.870460,-0.578036
9322119065,-0.091634,0.870460,-0.627036
9322139683,-0.042634,0.870460,-0.529036
9322160299,-0.091634,0.870460,-0.627036
9322180917,-0.091634,0.919460,-0.627036
9322201532,0.006366,0.870460,-0.578036
9322222149,-0.091634,0.772460,-0.627036
9322242771,-0.140634,1.017460,-0.480036
9322263382,-0.140634,0.968460,-0.578036
9322283999,-0.091634,0.919460,-0.480036
9322304615,-0.042634,0.919460,-0.578036
9322325233,0.006366,0.919460,-0.578036
9322345849,-0.091634,0.919460,-0.578036
9322366466,-0.091634,0.821460,-0.627036
9322387083,-0.140634,0.870460,-0.627036
9322407698,-0.042634,0.821460,-0.676036
9322428312,0.104366,0.821460,-0.627036
9322448924,0.006366,0.870460,-0.676036
9322469537,0.055366,0.772460,-0.774036
9322490149,0.055366,0.870460,-0.823036
9322510765,-0.042634,0.968460,-0.774036
9322531382,-0.140634,0.919460,-0.774036
9322551997,-0.042634,0.772460,-0.627036
9322572612,-0.140634,0.821460,-0.627036
9322593227,-0.238634,0.772460,-0.627036
9322613843,-0.287634,0.919460,-0.676036
9322634459,-0.140634,0.919460,-0.627036
9322655076,-0.140634,0.870460,-0.578036
9322675693,-0.091634,0.870460,-0.676036
9322696310,0.006366,0.821460,-0.725036
9322716926,-0.091634,0.919460,-0.627036
9322737542,-0.140634,0.919460,-0.627036
9322758158,-0.091634,0.919460,-0.529036
9322778773,0.006366,0.968460,-0.529036
9322799388,0.006366,0.870460,-0.529036
9322820003,-0.140634,1.017460,-0.431036
9322840618,-0.140634,1.115460,-0.431036
9322861236,-0.140634,1.017460,-0.627036
9322881852,-0.091634,0.919460,-0.627036
9322902467,-0.140634,0.821460,-0.578036
9322923082,-0.140634,0.968460,-0.529036
9322943698,-0.189634,1.017460,-0.627036
9322964314,-0.091634,1.017460,-0.480036
9322984930,-0.042634,0.919460,-0.627036
9323005546,-0.140634,0.919460,-0.725036
9323026162,-0.091634,0.919460,-0.578036
9323046778,-0.042634,0.821460,-0.578036
9323067395,-0.042634,0.919460,-0.725036
9323088012,0.006366,0.870460,-0.823036
9323108628,-0.042634,0.870460,-0.872036
9323129245,-0.091634,0.772460,-0.725036
9323149860,0.006366,0.723460,-0.627036
9323170477,-0.140634,0.821460,-0.823036
9323191093,-0.287634,0.870460,-0.823036
9323211710,-0.189634,0.772460,-0.823036
9323232326,-0.091634,0.772460,-0.872036
9323252943,-0.042634,0.772460,-0.872036
9323273560,-0.140634,0.723460,-0.823036
9323294177,-0.189634,0.821460,-0.823036
9323314794,-0.189634,0.723460,-0.872036
9323335411,-0.091634,0.674460,-0.725036
9323356027,-0.189634,0.821460,-0.774036
9323376642,-0.140634,0.723460,-0.774036
9323397259,-0.091634,0.674460,-0.872036
9323417874,-0.091634,0.870460,-0.774036
9323438488,-0.140634,0.968460,-0.676036
9323459102,-0.238634,0.968460,-0.921036
9323479716,-0.189634,0.821460,-0.872036
9323500329,-0.238634,0.674460,-0.921036
9323520942,-0.042634,0.723460,-0.872036
9323541554,-0.189634,0.821460,-0.725036
9323562167,-0.238634,0.821460,-0.823036
9323582780,-0.189634,0.674460,-0.872036
9323603392,-0.091634,0.674460,-0.872036
9323624008,-0.189634,0.870460,-0.774036
9323644625,-0.238634,0.723460,-0.872036
9323665242,-0.238634,0.821460,-0.872036
9323685857,-0.091634,0.723460,-0.823036
9323706470,-0.287634,0.821460,-0.823036
9323727081,-0.238634,0.870460,-0.872036
9323747693,-0.189634,0.674460,-0.970036
9323768305,-0.238634,0.674460,-0.872036
9323788917,-0.238634,0.723460,-0.774036
9323809530,-0.189634,0.821460,-0.872036
9323830144,0.055366,0.821460,-0.921036
9323850760,0.006366,0.674460,-0.872036
9323871377,-0.189634,0.723460,-0.725036
9323891993,-0.091634,1.017460,-0.774036
9323912610,0.055366,0.919460,-0.823036
9323933226,0.006366,0.772460,-0.676036
9323953842,-0.042634,0.772460,-0.725036
9323974456,0.153366,0.870460,-0.774036
9323995090,0.104366,0.821460,-0.872036
9324015688,0.006366,0.772460,-0.774036
9324036303,-0.091634,0.821460,-0.823036
9324056918,0.006366,0.723460,-0.774036
9324077532,-0.091634,0.772460,-0.823036
9324098148,-0.042634,0.821460,-0.823036
9324118763,-0.140634,0.821460,-0.725036
9324139378,-0.042634,0.821460,-0.578036
9324159994,-0.042634,0.821460,-0.823036
9324180609,-0.091634,0.723460,-0.774036
9324201225,-0.042634,0.772460,-0.970036
9324221842,-0.140634,0.821460,-0.774036
9324242457,-0.140634,0.821460,-0.774036
9324263073,-0.140634,0.772460,-0.774036
9324283687,-0.091634,0.821460,-0.725036
9324304300,-0.140634,0.723460,-0.921036
9324324915,-0.140634,0.870460,-0.725036
9324345528,-0.091634,0.821460,-0.774036
9324366140,-0.042634,0.723460,-0.823036
9324386752,-0.091634,0.772460,-0.725036
9324407365,-0.140634,0.772460,-0.823036
9324427977,-0.189634,0.772460,-0.872036
9324448591,-0.140634,0.772460,-0.823036
9324469207,-0.140634,0.821460,-0.774036
9324489823,-0.189634,0.772460,-0.872036
9324510439,-0.189634,0.821460,-0.774036
9324531052,-0.189634,0.772460,-0.872036
9324551665,-0.140634,0.821460,-0.872036
9324572276,-0.189634,0.821460,-0.774036
9324592888,-0.042634,0.821460,-0.774036
9324613503,-0.189634,0.870460,-0.823036
9324634119,-0.140634,0.772460,-0.970036
9324654735,-0.042634,0.772460,-0.970036
9324675350,-0.091634,0.772460,-0.823036
