Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316106092,-0.547736,-2.149542,-2.016434,-0.071299,0.959856,-0.209610
9316108592,-0.547506,-2.210687,-2.016457,-0.073499,0.962015,-0.210332
9316111091,-0.486173,-2.332980,-1.955415,-0.074275,0.967089,-0.213967
9316113591,-0.363983,-2.455469,-1.772212,-0.075017,0.969264,-0.211782
9316116090,-0.180674,-2.638912,-1.589018,-0.072872,0.973642,-0.209605
9316118590,0.063080,-2.699680,-1.466837,-0.070744,0.980201,-0.205972
9316121090,0.367738,-2.760063,-1.405716,-0.067122,0.982418,-0.200161
9316123589,0.733054,-2.759109,-1.344557,-0.071492,0.983102,-0.203787
9316126089,1.098387,-2.757962,-1.344472,-0.075884,0.985964,-0.208868
9316128589,1.402585,-2.696054,-1.283306,-0.071527,0.986002,-0.209608
9316131088,1.767671,-2.633955,-1.222125,-0.071563,0.990360,-0.208880
9316133588,2.071425,-2.449563,-1.221986,-0.078106,0.989569,-0.216138
9316136088,2.375392,-2.326510,-1.160796,-0.081696,0.984452,-0.217584
9316138587,2.496694,-2.204030,-1.099649,-0.077409,0.992479,-0.218322
9316141087,2.617963,-2.081937,-0.916355,-0.078123,0.990290,-0.222686
9316143587,2.739232,-1.959844,-0.733061,-0.083894,0.984422,-0.229219
9316146086,2.921160,-1.776414,-0.549730,-0.084635,0.985138,-0.234310
9316148586,3.042248,-1.592595,-0.549634,-0.083138,0.980066,-0.234315
9316151086,3.102200,-1.348015,-0.488455,-0.087490,0.978571,-0.238669
9316153585,3.100787,-0.981529,-0.366172,-0.086014,0.976408,-0.235762
9316156085,3.099128,-0.554091,-0.182793,-0.088913,0.975656,-0.235755
9316158585,3.097977,-0.248364,-0.182679,-0.090337,0.972740,-0.233568
9316161084,3.097287,-0.064927,-0.182611,-0.089591,0.970569,-0.232843
9316163584,3.036152,-0.004166,-0.121529,-0.088865,0.969845,-0.237210
9316166084,2.913914,0.117742,-0.121512,-0.088132,0.969855,-0.232847
9316168583,2.791676,0.239651,-0.121495,-0.090377,0.977097,-0.234295
9316171083,2.608565,0.361562,-0.182565,-0.092524,0.973447,-0.234290
9316173583,2.608319,0.422514,-0.121469,-0.085998,0.974958,-0.233580
9316176082,2.486311,0.483277,-0.121474,-0.080207,0.977187,-0.234323
9316178582,2.425177,0.544038,-0.060392,-0.078717,0.972112,-0.238693
9316181082,2.303629,0.482510,-0.060443,-0.074344,0.969969,-0.241615
9316183581,2.243399,0.298496,0.061621,-0.072165,0.970718,-0.237983
9316186081,2.183185,0.114675,0.122612,-0.069989,0.970006,-0.243809
9316188581,2.183645,-0.007616,0.122567,-0.069972,0.967825,-0.245265
9316191080,2.123217,-0.130098,0.122507,-0.069965,0.967100,-0.244537
9316193580,2.001884,-0.252965,0.183507,-0.068483,0.962750,-0.250362
9316196080,1.941455,-0.375447,0.183447,-0.072156,0.966344,-0.256173
9316198579,1.820138,-0.498120,0.183373,-0.069986,0.967817,-0.253996
9316201079,1.759035,-0.436973,0.122308,-0.066348,0.967853,-0.250368
9316203578,1.515480,-0.437737,0.122252,-0.069206,0.962016,-0.251816
9316206078,1.333242,-0.560989,0.244311,-0.070677,0.963452,-0.255449
9316208578,1.090345,-0.745576,0.366333,-0.063459,0.968599,-0.256924
9316211078,0.847250,-0.868632,0.366231,-0.057583,0.962118,-0.251847
9316213577,0.664798,-0.930544,0.427239,-0.064074,0.956248,-0.254013
9316216076,0.543235,-0.992266,0.488261,-0.064142,0.964238,-0.253284
9316218576,0.360981,-1.115710,0.671394,-0.067777,0.964934,-0.251092
9316221076,0.239418,-1.177432,0.732416,-0.061910,0.959908,-0.243832
9316223576,0.117870,-1.238959,0.732365,-0.064099,0.960613,-0.246009
9316226076,-0.003907,-1.239342,0.732337,-0.068441,0.958395,-0.247452
9316228575,-0.186129,-1.362399,0.793322,-0.062681,0.964256,-0.248195
9316231075,-0.307495,-1.485653,0.976469,-0.068444,0.959123,-0.245270
9316233574,-0.367495,-1.730813,1.098510,-0.073510,0.957629,-0.241618
9316236074,-0.367050,-1.853297,1.159538,-0.067752,0.963489,-0.243088
9316238574,-0.306162,-1.853106,1.159552,-0.069231,0.967110,-0.240174
9316241073,-0.366836,-1.914636,1.220589,-0.073580,0.964888,-0.245983
9316243573,-0.244844,-1.975593,1.281668,-0.077263,0.970666,-0.245972
9316246073,-0.305289,-2.098268,1.342682,-0.077271,0.972121,-0.243062
9316248573,-0.244368,-2.097690,1.220549,-0.074302,0.964884,-0.243071
9316251072,-0.244598,-2.036545,1.220572,-0.075795,0.968497,-0.248887
9316253572,-0.245075,-1.914447,1.281690,-0.077275,0.972848,-0.241607
9316256071,-0.306440,-1.792541,1.342795,-0.075071,0.969962,-0.242341
9316258571,-0.307114,-1.608911,1.281790,-0.079463,0.972824,-0.247422
9316261071,-0.307344,-1.547765,1.281813,-0.080850,0.964820,-0.249601
9316263570,-0.247392,-1.303186,1.342991,-0.079352,0.960479,-0.245240
9316266087,-0.186963,-1.180704,1.343051,-0.082251,0.959728,-0.244505
9316268570,-0.187654,-0.997267,1.343119,-0.077905,0.961219,-0.244516
9316271069,-0.187868,-0.935928,1.282068,-0.072038,0.954733,-0.245260
9316273569,-0.248757,-0.936119,1.282054,-0.072058,0.956181,-0.250353
9316276068,-0.248741,-0.935926,1.220981,-0.072061,0.956909,-0.248170
9316278568,-0.309630,-0.936117,1.220967,-0.070575,0.953292,-0.246719
9316281068,-0.309169,-1.058408,1.220921,-0.072043,0.955460,-0.244533
9316283568,-0.369860,-1.120131,1.343031,-0.068428,0.956942,-0.247452
9316286067,-0.430304,-1.242807,1.404045,-0.069879,0.956931,-0.245993
9316288567,-0.491407,-1.181659,1.342980,-0.067686,0.955498,-0.245272
9316291067,-0.430733,-1.120129,1.281944,-0.069116,0.953308,-0.243085
9316293566,-0.369812,-1.119551,1.159811,-0.069114,0.952579,-0.245996
9316296066,-0.430701,-1.119742,1.159797,-0.064719,0.948260,-0.246736
9316298566,-0.491606,-1.120127,1.220856,-0.066202,0.951879,-0.246004
9316301065,-0.552510,-1.120512,1.281915,-0.069819,0.950396,-0.244539
9316303565,-0.491391,-1.181466,1.281907,-0.067617,0.947508,-0.246000
9316306065,-0.490915,-1.303563,1.220788,-0.066886,0.946788,-0.246730
9316308564,-0.490899,-1.303370,1.159715,-0.070567,0.952567,-0.245992
9316311064,-0.490883,-1.303177,1.098641,-0.074921,0.952531,-0.243070
9316313564,-0.552693,-1.058786,1.098718,-0.072742,0.952550,-0.243076
9316316063,-0.614272,-0.875541,1.098772,-0.069814,0.950399,-0.240901
9316318563,-0.676081,-0.631150,1.098849,-0.069108,0.953313,-0.237992
9316321062,-0.676049,-0.630763,0.976702,-0.071327,0.957650,-0.239441
9316323562,-0.614914,-0.691524,0.915620,-0.068415,0.957680,-0.235084
9316326062,-0.492891,-0.752094,0.854552,-0.065479,0.953343,-0.240185
9316328562,-0.493137,-0.691142,0.915648,-0.062567,0.951913,-0.243831
9316331061,-0.493367,-0.629996,0.915671,-0.063313,0.953355,-0.248194
9316333561,-0.554470,-0.568849,0.854606,-0.064840,0.962058,-0.247462
9316336060,-0.676001,-0.630183,0.793482,-0.058284,0.960667,-0.243842
9316338560,-0.676232,-0.569038,0.793505,-0.053888,0.956348,-0.243854
9316341060,-0.553978,-0.690753,0.732414,-0.057545,0.958491,-0.247482
9316343559,-0.431708,-0.812275,0.610250,-0.054652,0.959969,-0.247489
9316346059,-0.309240,-0.995329,0.610210,-0.056128,0.962862,-0.246758
9316348559,-0.309010,-1.056474,0.610187,-0.056121,0.962136,-0.246030
9316351058,-0.247907,-1.117622,0.671252,-0.054698,0.965052,-0.248944
9316353558,-0.187264,-1.056479,0.732362,-0.056845,0.962131,-0.244573
9316356057,-0.187264,-1.056479,0.732362,-0.056110,0.960683,-0.246758
9316358557,-0.187478,-0.995140,0.671312,-0.051745,0.959265,-0.251135
9316361057,-0.187216,-1.055899,0.549142,-0.056111,0.961412,-0.243847
9316363557,-0.126788,-0.933416,0.549202,-0.060452,0.959194,-0.244564
9316366056,-0.065899,-0.933225,0.549216,-0.059763,0.962829,-0.248203
9316368556,-0.005256,-0.872082,0.610326,-0.056905,0.967936,-0.250393
9316371056,-0.005455,-0.810550,0.488202,-0.056183,0.967940,-0.253305
9316373555,-0.005653,-0.749017,0.366078,-0.059070,0.966465,-0.249660
9316376055,-0.006557,-0.504242,0.305096,-0.056893,0.967943,-0.243117
9316378554,-0.006772,-0.442903,0.244045,-0.059044,0.964290,-0.245295
9316381054,0.053887,-0.381567,0.244082,-0.059781,0.965738,-0.243837
9316383554,0.115236,-0.503666,0.244051,-0.061233,0.965726,-0.243106
9316386053,0.115220,-0.503860,0.305124,-0.061210,0.962819,-0.244561
9316388553,0.114990,-0.442714,0.305147,-0.062658,0.962809,-0.241647
9316391053,0.114990,-0.442714,0.305147,-0.062673,0.964260,-0.243102
9316393552,0.054101,-0.442905,0.305133,-0.065604,0.967140,-0.243094
9316396052,-0.006772,-0.442903,0.244045,-0.059804,0.968644,-0.242382
9316398552,-0.007232,-0.320612,0.244091,-0.064898,0.969324,-0.243823
9316401051,0.053673,-0.320228,0.183031,-0.067052,0.967129,-0.240180
9316403551,0.114315,-0.259085,0.244142,-0.067080,0.970033,-0.241635
9316406051,0.175450,-0.319845,0.183060,-0.069277,0.972193,-0.240901
9316408550,0.175220,-0.258700,0.183082,-0.067078,0.970764,-0.236541
9316411050,0.175220,-0.258700,0.183082,-0.062029,0.975168,-0.235100
9316413550,0.053181,-0.198324,0.305224,-0.062024,0.973711,-0.240193
9316416049,-0.068629,-0.199093,0.427342,-0.063462,0.972247,-0.238734
9316418549,-0.190192,-0.260814,0.488364,-0.061290,0.972992,-0.239467
9316421048,-0.190422,-0.199668,0.488387,-0.060548,0.971547,-0.237287
9316423548,-0.068875,-0.138141,0.488438,-0.061983,0.969355,-0.238010
9316426048,-0.130224,-0.016041,0.488470,-0.064168,0.970062,-0.238004
9316428548,-0.130930,0.167202,0.549611,-0.069248,0.969290,-0.238718
9316431047,-0.252922,0.228159,0.488532,-0.065633,0.970772,-0.241638
9316433547,-0.252922,0.228159,0.488532,-0.062738,0.971522,-0.244556
9316436047,-0.253136,0.289498,0.427482,-0.066392,0.974397,-0.242364
9316438546,-0.192938,0.473125,0.427564,-0.065635,0.971501,-0.238728
9316441046,-0.193613,0.656755,0.366559,-0.064933,0.974413,-0.238002
9316443546,-0.194041,0.779433,0.244457,-0.064226,0.975868,-0.242369
9316446045,-0.133136,0.779817,0.183398,-0.070009,0.972184,-0.244537
9316448545,-0.072033,0.718670,0.244463,-0.067811,0.970024,-0.244543
9316451045,-0.071803,0.657524,0.244440,-0.064917,0.971503,-0.243823
9316453544,-0.071787,0.657718,0.183367,-0.064269,0.980953,-0.241641
9316456044,-0.011144,0.718861,0.244477,-0.062115,0.983877,-0.241647
9316458544,-0.011605,0.841152,0.244522,-0.059899,0.979538,-0.242381
9316461043,0.048578,1.024586,0.305678,-0.063487,0.975152,-0.238734
9316463542,0.169911,1.147453,0.244679,-0.063490,0.975150,-0.240189
9316466042,0.291458,1.208980,0.244730,-0.062048,0.976617,-0.239465
9316468542,0.291228,1.270126,0.244752,-0.065675,0.976588,-0.235817
9316471042,0.290982,1.331078,0.305848,-0.059867,0.977367,-0.234378
9316473541,0.290966,1.330885,0.366922,-0.057686,0.977387,-0.232928
9316476041,0.413220,1.209169,0.305831,-0.059861,0.976640,-0.234378
9316478541,0.535704,1.026309,0.244718,-0.059154,0.978826,-0.234379
