Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9316117692,0.062507,-0.907699,0.451805
9316167144,0.062508,-0.898859,0.473158
9316216590,0.062528,-0.898673,0.462500
9316266043,0.062478,-0.907863,0.462388
9316315485,0.071494,-0.908171,0.473062
9316364924,0.062577,-0.898323,0.441263
9316414373,0.062557,-0.898509,0.451917
9316463820,0.071518,-0.907995,0.462444
9316513267,0.071593,-0.889791,0.473288
9316562710,0.053388,-0.916920,0.462219
9316612145,0.062503,-0.907688,0.451769
9316661588,0.062473,-0.907852,0.462350
9316711041,0.053488,-0.898540,0.462444
9316760474,0.053484,-0.889690,0.483754
9316809921,0.062473,-0.907852,0.462350
9316859359,0.062582,-0.889494,0.462650
9316908803,0.062503,-0.907688,0.451769
9316958250,0.053537,-0.889351,0.462557
9317007692,0.053533,-0.880501,0.483867
9317057137,0.062523,-0.898662,0.462463
9317106587,0.062548,-0.898487,0.451846
9317156041,0.062449,-0.908027,0.472968
9317205490,0.062449,-0.908027,0.472968
9317254930,0.071543,-0.898981,0.473175
9317304366,0.053537,-0.889351,0.462557
9317353816,0.044373,-0.907773,0.472894
9317403260,0.053463,-0.889876,0.494413
9317452702,0.035462,-0.880257,0.483836
9317502144,0.026392,-0.889128,0.473008
9317551586,0.008262,-0.898053,0.472783
9317601025,-0.000803,-0.906935,0.461995
9317650470,-0.000778,-0.906760,0.451377
9317699916,-0.009893,-0.924831,0.440476
9317749351,-0.000782,-0.924427,0.408647
9317798787,-0.009897,-0.933659,0.419095
9317848234,-0.000903,-0.942993,0.419069
9317897681,-0.000751,-0.924275,0.398085
9317947126,0.017127,-0.952448,0.419069
9317996564,0.017176,-0.952098,0.397831
9318046011,0.044273,-0.943831,0.429968
9318095454,0.044401,-0.934127,0.398253
9318144903,0.044447,-0.907247,0.441038
9318194347,0.053587,-0.880161,0.462670
9318243784,0.062628,-0.871454,0.484076
9318293233,0.062658,-0.844771,0.537556
9318342676,0.071918,-0.799120,0.548747
9318392113,0.080934,-0.790588,0.580772
9318441549,0.081063,-0.763202,0.591785
9318490990,0.090124,-0.754312,0.602517
9318540423,0.080910,-0.781924,0.612741
9318589861,0.081009,-0.772384,0.591616
9318639298,0.090074,-0.763502,0.602404
9318688732,0.080989,-0.772568,0.602293
9318738186,0.089924,-0.799910,0.580715
9318787607,0.080894,-0.808636,0.559412
9318837037,0.044652,-0.835140,0.526937
9318886484,0.026447,-0.853430,0.537219
9318935926,-0.000678,-0.861862,0.515653
9318985360,-0.000703,-0.879716,0.483571
9319034803,-0.000778,-0.889081,0.494077
9319084246,0.017327,-0.898010,0.462220
9319133693,0.026371,-0.898154,0.462314
9319183136,0.035332,-0.916480,0.451488
9319232578,0.026342,-0.907157,0.451545
9319282016,0.026313,-0.925000,0.419432
9319331460,0.044376,-0.925463,0.430226
9319380898,0.035307,-0.934334,0.419406
9319430344,0.044351,-0.934478,0.419493
9319479790,0.044401,-0.925288,0.419606
9319529228,0.053393,-0.916931,0.462256
9319578661,0.053538,-0.880511,0.483907
9319628095,0.062583,-0.871815,0.505357
9319677533,0.071744,-0.835704,0.537677
9319726972,0.071824,-0.808669,0.569924
9319776409,0.080989,-0.781407,0.580939
9319825848,0.062858,-0.790332,0.580714
9319875288,0.071964,-0.772243,0.591504
9319924726,0.071969,-0.772251,0.591560
9319974170,0.071977,-0.789947,0.548959
9320023600,0.071824,-0.808669,0.569924
9320073029,0.089968,-0.808390,0.538079
9320122462,0.071793,-0.826514,0.537790
9320171900,0.080808,-0.835661,0.527114
9320221335,0.044498,-0.871539,0.505202
9320270775,0.017381,-0.871152,0.505077
9320320211,-0.000799,-0.889267,0.504739
9320369652,-0.018883,-0.897830,0.483234
9320419097,-0.009843,-0.906802,0.461939
9320468541,-0.000797,-0.906957,0.462070
9320517983,-0.000899,-0.925326,0.461807
9320567427,0.008261,-0.915732,0.430082
9320616870,0.026320,-0.925023,0.419494
9320666318,0.035406,-0.915954,0.419632
9320715764,0.035357,-0.925144,0.419519
9320765197,0.035208,-0.943874,0.440531
9320814630,0.035357,-0.925144,0.419519
9320864061,0.035336,-0.925331,0.430170
9320913496,0.035336,-0.916491,0.451524
9320962936,0.035362,-0.898637,0.483610
9321012371,0.053568,-0.862668,0.516034
9321061813,0.053688,-0.844103,0.505596
9321111256,0.053614,-0.835789,0.558802
9321160697,0.062758,-0.826391,0.537782
9321210134,0.062733,-0.826566,0.548402
9321259562,0.062659,-0.835931,0.558910
9321308994,0.062754,-0.817542,0.559084
9321358428,0.053688,-0.826424,0.548297
9321407851,0.062753,-0.826381,0.537734
9321457279,0.053618,-0.844638,0.537500
9321506708,0.053588,-0.853643,0.526721
9321556138,0.035512,-0.862227,0.505302
9321605575,0.017356,-0.880167,0.494344
9321655012,-0.009743,-0.879583,0.483515
9321704440,-0.018883,-0.897830,0.483234
9321753872,-0.036936,-0.897401,0.472542
9321803309,-0.036914,-0.897215,0.461884
9321852744,-0.045927,-0.896918,0.451245
9321902180,-0.036986,-0.906591,0.472429
9321951616,-0.046029,-0.906447,0.472334
9322001056,-0.036964,-0.906405,0.461771
9322050494,-0.018955,-0.907207,0.493781
9322099932,-0.018883,-0.897830,0.483234
9322149372,-0.027926,-0.897687,0.483137
9322198806,-0.018809,-0.888465,0.472728
9322248240,-0.027923,-0.888858,0.504528
9322297667,-0.009765,-0.879769,0.494176
9322347107,-0.018830,-0.879812,0.504740
9322396541,-0.000721,-0.871073,0.515630
9322445977,-0.009715,-0.861740,0.515642
9322495412,-0.009742,-0.861905,0.526216
9322544855,-0.000650,-0.861697,0.505078
9322594298,0.017406,-0.862137,0.515810
