Timestamp (us),W Element,X Element,Y Element,Z Element
9316106092,-0.033926,0.001252,-0.786873,-0.616378
9316108592,-0.033996,0.001263,-0.786858,-0.616393
9316111091,-0.034067,0.001271,-0.786844,-0.616407
9316113591,-0.034138,0.001275,-0.786831,-0.616419
9316116090,-0.034209,0.001273,-0.786820,-0.616429
9316118590,-0.034279,0.001267,-0.786811,-0.616437
9316121090,-0.034347,0.001258,-0.786805,-0.616441
9316123589,-0.034416,0.001249,-0.786805,-0.616438
9316126089,-0.034486,0.001241,-0.786810,-0.616427
9316128589,-0.034552,0.001231,-0.786820,-0.616411
9316131088,-0.034617,0.001221,-0.786834,-0.616390
9316133588,-0.034680,0.001215,-0.786854,-0.616360
9316136088,-0.034741,0.001211,-0.786879,-0.616325
9316138587,-0.034797,0.001205,-0.786905,-0.616289
9316141087,-0.034849,0.001199,-0.786934,-0.616249
9316143587,-0.034898,0.001192,-0.786966,-0.616205
9316146086,-0.034942,0.001185,-0.787002,-0.616156
9316148586,-0.034981,0.001181,-0.787041,-0.616105
9316151086,-0.035017,0.001179,-0.787081,-0.616052
9316153585,-0.035045,0.001180,-0.787120,-0.615999
9316156085,-0.035063,0.001184,-0.787161,-0.615947
9316158585,-0.035077,0.001193,-0.787201,-0.615895
9316161084,-0.035088,0.001205,-0.787241,-0.615843
9316163584,-0.035096,0.001215,-0.787281,-0.615791
9316166084,-0.035102,0.001228,-0.787319,-0.615743
9316168583,-0.035106,0.001243,-0.787355,-0.615696
9316171083,-0.035109,0.001262,-0.787388,-0.615653
9316173583,-0.035108,0.001279,-0.787422,-0.615610
9316176082,-0.035105,0.001295,-0.787454,-0.615569
9316178582,-0.035099,0.001311,-0.787487,-0.615528
9316181082,-0.035094,0.001325,-0.787518,-0.615488
9316183581,-0.035089,0.001335,-0.787548,-0.615450
9316186081,-0.035085,0.001340,-0.787578,-0.615411
9316188581,-0.035084,0.001344,-0.787609,-0.615372
9316191080,-0.035085,0.001346,-0.787638,-0.615335
9316193580,-0.035087,0.001345,-0.787667,-0.615297
9316196080,-0.035092,0.001343,-0.787697,-0.615259
9316198579,-0.035098,0.001340,-0.787724,-0.615224
9316201079,-0.035103,0.001337,-0.787749,-0.615191
9316203578,-0.035109,0.001336,-0.787772,-0.615162
9316206078,-0.035115,0.001331,-0.787793,-0.615134
9316208578,-0.035121,0.001320,-0.787811,-0.615111
9316211078,-0.035128,0.001306,-0.787825,-0.615094
9316213577,-0.035137,0.001292,-0.787836,-0.615078
9316216076,-0.035146,0.001276,-0.787846,-0.615065
9316218576,-0.035156,0.001256,-0.787852,-0.615056
9316221076,-0.035165,0.001233,-0.787856,-0.615051
9316223576,-0.035175,0.001209,-0.787858,-0.615048
9316226076,-0.035187,0.001187,-0.787859,-0.615046
9316228575,-0.035198,0.001160,-0.787858,-0.615047
9316231075,-0.035211,0.001131,-0.787854,-0.615052
9316233574,-0.035228,0.001097,-0.787848,-0.615058
9316236074,-0.035244,0.001059,-0.787843,-0.615064
9316238574,-0.035261,0.001022,-0.787837,-0.615070
9316241073,-0.035279,0.000983,-0.787832,-0.615076
9316243573,-0.035299,0.000944,-0.787828,-0.615080
9316246073,-0.035320,0.000901,-0.787823,-0.615085
9316248573,-0.035341,0.000861,-0.787819,-0.615090
9316251072,-0.035362,0.000821,-0.787816,-0.615092
9316253572,-0.035381,0.000782,-0.787811,-0.615097
9316256071,-0.035396,0.000743,-0.787806,-0.615103
9316258571,-0.035409,0.000709,-0.787801,-0.615108
9316261071,-0.035423,0.000676,-0.787798,-0.615111
9316263570,-0.035431,0.000645,-0.787795,-0.615115
9316266087,-0.035437,0.000617,-0.787793,-0.615117
9316268570,-0.035439,0.000591,-0.787791,-0.615119
9316271069,-0.035439,0.000565,-0.787790,-0.615121
9316273569,-0.035439,0.000539,-0.787789,-0.615123
9316276068,-0.035440,0.000514,-0.787787,-0.615125
9316278568,-0.035440,0.000488,-0.787784,-0.615129
9316281068,-0.035443,0.000462,-0.787781,-0.615133
9316283568,-0.035445,0.000431,-0.787777,-0.615137
9316286067,-0.035448,0.000399,-0.787772,-0.615143
9316288567,-0.035450,0.000367,-0.787767,-0.615151
9316291067,-0.035453,0.000338,-0.787761,-0.615157
9316293566,-0.035457,0.000311,-0.787758,-0.615162
9316296066,-0.035460,0.000283,-0.787754,-0.615167
9316298566,-0.035462,0.000254,-0.787748,-0.615173
9316301065,-0.035465,0.000226,-0.787742,-0.615181
9316303565,-0.035469,0.000195,-0.787737,-0.615188
9316306065,-0.035475,0.000164,-0.787732,-0.615194
9316308564,-0.035483,0.000135,-0.787726,-0.615200
9316311064,-0.035493,0.000108,-0.787720,-0.615207
9316313564,-0.035498,0.000084,-0.787713,-0.615216
9316316063,-0.035508,0.000051,-0.787706,-0.615225
9316318563,-0.035513,0.000021,-0.787696,-0.615237
9316321062,-0.035521,-0.000006,-0.787687,-0.615248
9316323562,-0.035529,-0.000034,-0.787678,-0.615260
9316326062,-0.035538,-0.000062,-0.787672,-0.615267
9316328562,-0.035545,-0.000092,-0.787666,-0.615274
9316331061,-0.035551,-0.000120,-0.787662,-0.615279
9316333561,-0.035557,-0.000146,-0.787656,-0.615286
9316336060,-0.035563,-0.000173,-0.787647,-0.615297
9316338560,-0.035566,-0.000201,-0.787639,-0.615307
9316341060,-0.035574,-0.000228,-0.787634,-0.615314
9316343559,-0.035585,-0.000255,-0.787630,-0.615318
9316346059,-0.035599,-0.000285,-0.787626,-0.615322
9316348559,-0.035614,-0.000316,-0.787623,-0.615325
9316351058,-0.035628,-0.000349,-0.787621,-0.615327
9316353558,-0.035642,-0.000382,-0.787619,-0.615328
9316356057,-0.035656,-0.000414,-0.787618,-0.615329
9316358557,-0.035667,-0.000446,-0.787618,-0.615329
9316361057,-0.035683,-0.000476,-0.787616,-0.615330
9316363557,-0.035699,-0.000503,-0.787615,-0.615331
9316366056,-0.035707,-0.000522,-0.787615,-0.615329
9316368556,-0.035712,-0.000542,-0.787617,-0.615327
9316371056,-0.035718,-0.000559,-0.787619,-0.615324
9316373555,-0.035726,-0.000572,-0.787621,-0.615321
9316376055,-0.035729,-0.000582,-0.787621,-0.615321
9316378554,-0.035733,-0.000589,-0.787622,-0.615319
9316381054,-0.035736,-0.000596,-0.787623,-0.615317
9316383554,-0.035741,-0.000604,-0.787625,-0.615314
9316386053,-0.035746,-0.000612,-0.787628,-0.615311
9316388553,-0.035750,-0.000620,-0.787630,-0.615308
9316391053,-0.035754,-0.000627,-0.787632,-0.615305
9316393552,-0.035759,-0.000634,-0.787633,-0.615304
9316396052,-0.035763,-0.000642,-0.787633,-0.615303
9316398552,-0.035767,-0.000646,-0.787633,-0.615303
9316401051,-0.035771,-0.000649,-0.787634,-0.615302
9316403551,-0.035774,-0.000652,-0.787636,-0.615299
9316406051,-0.035780,-0.000654,-0.787638,-0.615296
9316408550,-0.035784,-0.000656,-0.787639,-0.615295
9316411050,-0.035786,-0.000660,-0.787639,-0.615294
9316413550,-0.035786,-0.000664,-0.787640,-0.615293
9316416049,-0.035783,-0.000670,-0.787638,-0.615295
9316418549,-0.035781,-0.000677,-0.787635,-0.615300
9316421048,-0.035777,-0.000684,-0.787631,-0.615304
9316423548,-0.035773,-0.000690,-0.787630,-0.615307
9316426048,-0.035767,-0.000694,-0.787628,-0.615310
9316428548,-0.035759,-0.000696,-0.787625,-0.615313
9316431047,-0.035749,-0.000696,-0.787623,-0.615317
9316433547,-0.035739,-0.000697,-0.787620,-0.615321
9316436047,-0.035729,-0.000695,-0.787617,-0.615325
9316438546,-0.035716,-0.000691,-0.787614,-0.615330
9316441046,-0.035701,-0.000683,-0.787612,-0.615334
9316443546,-0.035684,-0.000672,-0.787610,-0.615338
9316446045,-0.035671,-0.000659,-0.787609,-0.615339
9316448545,-0.035657,-0.000648,-0.787610,-0.615339
9316451045,-0.035643,-0.000639,-0.787610,-0.615340
9316453544,-0.035630,-0.000629,-0.787609,-0.615341
9316456044,-0.035614,-0.000620,-0.787609,-0.615342
9316458544,-0.035596,-0.000609,-0.787610,-0.615343
9316461043,-0.035574,-0.000597,-0.787610,-0.615343
9316463542,-0.035552,-0.000582,-0.787613,-0.615341
9316466042,-0.035536,-0.000576,-0.787617,-0.615336
9316468542,-0.035520,-0.000569,-0.787621,-0.615333
9316471042,-0.035501,-0.000564,-0.787624,-0.615330
9316473541,-0.035480,-0.000560,-0.787627,-0.615328
9316476041,-0.035463,-0.000557,-0.787632,-0.615322
9316478541,-0.035449,-0.000555,-0.787638,-0.615315
9316481040,-0.035436,-0.000553,-0.787645,-0.615306
9316483540,-0.035422,-0.000551,-0.787656,-0.615294
9316486040,-0.035407,-0.000550,-0.787666,-0.615281
9316488540,-0.035391,-0.000551,-0.787679,-0.615266
9316491043,-0.035379,-0.000557,-0.787692,-0.615250
9316493539,-0.035370,-0.000566,-0.787704,-0.615235
9316496038,-0.035363,-0.000576,-0.787717,-0.615218
9316498538,-0.035357,-0.000587,-0.787732,-0.615200
9316501038,-0.035351,-0.000595,-0.787747,-0.615181
9316503537,-0.035346,-0.000601,-0.787764,-0.615159
9316506037,-0.035340,-0.000606,-0.787782,-0.615137
9316508537,-0.035333,-0.000613,-0.787798,-0.615116
9316511036,-0.035325,-0.000622,-0.787814,-0.615097
9316513536,-0.035318,-0.000630,-0.787827,-0.615080
9316516036,-0.035311,-0.000636,-0.787840,-0.615065
9316518535,-0.035301,-0.000640,-0.787854,-0.615047
9316521035,-0.035289,-0.000644,-0.787868,-0.615030
9316523534,-0.035277,-0.000649,-0.787882,-0.615013
9316526034,-0.035263,-0.000655,-0.787896,-0.614995
9316528534,-0.035246,-0.000658,-0.787912,-0.614976
9316531034,-0.035223,-0.000660,-0.787928,-0.614957
9316533533,-0.035200,-0.000662,-0.787943,-0.614939
9316536033,-0.035179,-0.000665,-0.787958,-0.614921
9316538533,-0.035159,-0.000669,-0.787973,-0.614903
9316541032,-0.035141,-0.000675,-0.787987,-0.614886
9316543532,-0.035123,-0.000682,-0.788001,-0.614869
9316546031,-0.035103,-0.000690,-0.788016,-0.614851
9316548531,-0.035081,-0.000698,-0.788032,-0.614832
9316551031,-0.035060,-0.000708,-0.788049,-0.614811
9316553530,-0.035043,-0.000717,-0.788066,-0.614790
9316556030,-0.035030,-0.000725,-0.788083,-0.614769
9316558530,-0.035022,-0.000732,-0.788101,-0.614746
9316561030,-0.035014,-0.000739,-0.788120,-0.614723
9316563529,-0.034986,-0.000719,-0.788139,-0.614700
9316566029,-0.034958,-0.000700,-0.788161,-0.614672
9316568528,-0.034932,-0.000681,-0.788184,-0.614645
9316571028,-0.034907,-0.000661,-0.788206,-0.614618
9316573528,-0.034882,-0.000640,-0.788230,-0.614589
9316576027,-0.034857,-0.000618,-0.788253,-0.614561
9316578527,-0.034830,-0.000596,-0.788276,-0.614533
9316581027,-0.034802,-0.000576,-0.788299,-0.614505
9316583526,-0.034774,-0.000555,-0.788322,-0.614477
9316586026,-0.034747,-0.000535,-0.788344,-0.614451
9316588526,-0.034721,-0.000515,-0.788364,-0.614427
9316591026,-0.034693,-0.000496,-0.788384,-0.614402
9316593525,-0.034665,-0.000476,-0.788404,-0.614378
9316596025,-0.034639,-0.000453,-0.788423,-0.614355
9316598524,-0.034611,-0.000432,-0.788442,-0.614332
9316601024,-0.034584,-0.000411,-0.788463,-0.614307
9316603523,-0.034559,-0.000392,-0.788484,-0.614281
9316606023,-0.034536,-0.000372,-0.788503,-0.614258
9316608523,-0.034516,-0.000352,-0.788522,-0.614235
9316611023,-0.034496,-0.000335,-0.788543,-0.614209
9316613522,-0.034489,-0.000334,-0.788565,-0.614182
9316616022,-0.034484,-0.000336,-0.788584,-0.614157
9316618521,-0.034481,-0.000339,-0.788603,-0.614133
9316621021,-0.034479,-0.000340,-0.788621,-0.614111
9316623521,-0.034476,-0.000342,-0.788638,-0.614089
9316626020,-0.034476,-0.000342,-0.788654,-0.614068
9316628520,-0.034476,-0.000342,-0.788668,-0.614050
9316631020,-0.034475,-0.000343,-0.788682,-0.614032
9316633519,-0.034475,-0.000344,-0.788695,-0.614015
9316636019,-0.034477,-0.000345,-0.788709,-0.613997
9316638519,-0.034480,-0.000350,-0.788725,-0.613976
9316641018,-0.034483,-0.000357,-0.788741,-0.613956
9316643518,-0.034487,-0.000366,-0.788757,-0.613935
9316646018,-0.034492,-0.000375,-0.788772,-0.613915
9316648517,-0.034494,-0.000388,-0.788788,-0.613895
