Timestamp (us),Percentage (%),Power (dBm)
9316791115,74.000000,-63.000000
9317798877,78.000000,-61.000000
9318793340,72.000000,-64.000000
9319800701,76.000000,-62.000000
9320795581,80.000000,-60.000000
9321789324,80.000000,-60.000000
9322792126,82.000000,-59.000000
9323800153,90.000000,-55.000000
9324799119,76.000000,-62.000000
9325792382,80.000000,-60.000000
9326799773,84.000000,-58.000000
9327794606,78.000000,-61.000000
9328791971,90.000000,-55.000000
9329787833,88.000000,-56.000000
9330791696,84.000000,-58.000000
9331796576,98.000000,-51.000000
9332786426,90.000000,-55.000000
9333788816,86.000000,-57.000000
9334791151,92.000000,-54.000000
9335796027,100.000000,-48.000000
9336793380,80.000000,-60.000000
9337788272,78.000000,-61.000000
9338796803,76.000000,-62.000000
9339789687,80.000000,-60.000000
9340790334,70.000000,-65.000000
9341790198,76.000000,-62.000000
9342796158,70.000000,-65.000000
9343800657,76.000000,-62.000000
9344794788,72.000000,-64.000000
9345794653,74.000000,-63.000000
9346787016,82.000000,-59.000000
9347791880,70.000000,-65.000000
9348813802,72.000000,-64.000000
9349786639,66.000000,-67.000000
9350803971,76.000000,-62.000000
9351791337,76.000000,-62.000000
9352791203,72.000000,-64.000000
9353793566,90.000000,-55.000000
9354803428,96.000000,-52.000000
9355798292,96.000000,-52.000000
9356793160,84.000000,-58.000000
9357791002,98.000000,-51.000000
9358794798,86.000000,-57.000000
9359797768,82.000000,-59.000000
9360800117,92.000000,-54.000000
9361795742,98.000000,-51.000000
9362789856,72.000000,-64.000000
9363789711,70.000000,-65.000000
9364799592,76.000000,-62.000000
9365791940,70.000000,-65.000000
9366789048,76.000000,-62.000000
9367791687,84.000000,-58.000000
9368804034,82.000000,-59.000000
9369801397,78.000000,-61.000000
9370793501,82.000000,-59.000000
9371788958,74.000000,-63.000000
9372798504,76.000000,-62.000000
9373790021,78.000000,-61.000000
9374800739,76.000000,-62.000000
9375793090,64.000000,-68.000000
9376792955,80.000000,-60.000000
9377807818,68.000000,-66.000000
9378790189,76.000000,-62.000000
9379795050,80.000000,-60.000000
9380792561,90.000000,-55.000000
9381799780,94.000000,-53.000000
9382797148,92.000000,-54.000000
9383792012,88.000000,-56.000000
9384789377,90.000000,-55.000000
9385799243,82.000000,-59.000000
9386791609,100.000000,-49.000000
9387803638,96.000000,-52.000000
9388806337,76.000000,-62.000000
9389801205,70.000000,-65.000000
9390803569,80.000000,-60.000000
9391793452,78.000000,-61.000000
9392803301,66.000000,-67.000000
9393793169,70.000000,-65.000000
9394790704,76.000000,-62.000000
9395797035,72.000000,-64.000000
9396802765,68.000000,-66.000000
9397802659,80.000000,-60.000000
9398794997,72.000000,-64.000000
9399792363,72.000000,-64.000000
9400797231,82.000000,-59.000000
9401787098,80.000000,-60.000000
9402796977,70.000000,-65.000000
9403794344,76.000000,-62.000000
9404805480,82.000000,-59.000000
9405804058,64.000000,-68.000000
9406789607,74.000000,-63.000000
9407796294,82.000000,-59.000000
9408801176,92.000000,-54.000000
9409796043,90.000000,-55.000000
9410798392,92.000000,-54.000000
9411795761,86.000000,-57.000000
9412789749,82.000000,-59.000000
9413792993,88.000000,-56.000000
9414790367,98.000000,-51.000000
9415795228,76.000000,-62.000000
