Timestamp (us),Percentage (%),Voltage (V),Charging Status
9316856973,80.236282,3.802363,0.000000
9317857508,80.201370,3.802014,0.000000
9318858039,80.263145,3.802631,0.000000
9319858570,80.229568,3.802296,0.000000
9320859104,80.222855,3.802228,0.000000
9321859637,80.170486,3.801705,0.000000
9322860170,80.226891,3.802269,0.000000
9323860702,80.214798,3.802148,0.000000
9324861245,80.193314,3.801933,0.000000
9325861778,80.225540,3.802255,0.000000
9326862311,80.197342,3.801973,0.000000
9327862843,80.205399,3.802054,0.000000
9328863412,80.179886,3.801799,0.000000
9329863948,80.153030,3.801530,0.000000
9330864479,80.182571,3.801826,0.000000
9331865010,80.173180,3.801732,0.000000
9332865543,80.200027,3.802001,0.000000
9333866074,80.181229,3.801812,0.000000
9334866610,80.206741,3.802067,0.000000
9335867141,80.216141,3.802161,0.000000
9336867672,80.193314,3.801933,0.000000
9337868202,80.161087,3.801611,0.000000
9338868733,80.200035,3.802001,0.000000
9339869267,80.240311,3.802403,0.000000
9340869798,80.234940,3.802350,0.000000
9341870333,80.174515,3.801745,0.000000
9342870866,80.189285,3.801893,0.000000
9343871398,80.208084,3.802081,0.000000
9344871934,80.190636,3.801906,0.000000
9345872468,80.224197,3.802242,0.000000
9346873002,80.173172,3.801732,0.000000
9347873533,80.120804,3.801208,0.000000
9348874074,80.165123,3.801651,0.000000
9349874606,80.122147,3.801221,0.000000
9350875139,80.165115,3.801651,0.000000
9351875675,80.127518,3.801275,0.000000
9352876211,80.120804,3.801208,0.000000
9353876743,80.124832,3.801249,0.000000
9354877278,80.111412,3.801114,0.000000
9355877812,80.135574,3.801356,0.000000
9356878343,80.116776,3.801168,0.000000
9357878877,80.096642,3.800966,0.000000
9358879411,80.116776,3.801168,0.000000
9359879946,80.079178,3.800792,0.000000
9360880517,80.116776,3.801168,0.000000
9361881052,80.122154,3.801222,0.000000
9362881588,80.096634,3.800967,0.000000
9363882118,80.142288,3.801423,0.000000
9364882653,80.123489,3.801235,0.000000
9365883183,80.095291,3.800953,0.000000
9366883713,80.134232,3.801342,0.000000
9367884250,80.118126,3.801181,0.000000
9368884783,80.097977,3.800980,0.000000
9369885316,80.099327,3.800993,0.000000
9370885848,80.100670,3.801007,0.000000
9371886381,80.075150,3.800751,0.000000
9372886916,80.092606,3.800926,0.000000
9373887446,80.085892,3.800859,0.000000
9374887977,80.063065,3.800631,0.000000
9375888511,80.022781,3.800228,0.000000
9376889041,80.044266,3.800442,0.000000
9377889572,80.049644,3.800496,0.000000
9378890103,80.079178,3.800792,0.000000
9379890635,80.025467,3.800255,0.000000
9380891195,80.022781,3.800228,0.000000
9381891725,80.041580,3.800416,0.000000
9382892256,80.026810,3.800268,0.000000
9383892787,80.033531,3.800335,0.000000
9384893318,79.994583,3.799946,0.000000
9385893851,79.991898,3.799919,0.000000
9386894385,80.025467,3.800254,0.000000
9387894916,80.001297,3.800013,0.000000
9388895450,80.028160,3.800282,0.000000
9389895986,80.030838,3.800309,0.000000
9390896517,79.993240,3.799932,0.000000
9391897049,80.018753,3.800188,0.000000
9392897580,80.021439,3.800214,0.000000
9393898129,80.026810,3.800268,0.000000
9394898660,80.026810,3.800268,0.000000
9395899191,79.975784,3.799758,0.000000
9396899723,79.995926,3.799959,0.000000
9397900256,80.018753,3.800188,0.000000
9398900790,79.995926,3.799960,0.000000
9399901367,79.998611,3.799986,0.000000
9400901907,79.948929,3.799489,0.000000
9401902437,79.939529,3.799395,0.000000
9402902969,79.930130,3.799301,0.000000
9403903500,79.940872,3.799409,0.000000
9404904031,80.001297,3.800013,0.000000
9405904562,79.962357,3.799623,0.000000
9406905121,79.940872,3.799409,0.000000
9407905652,79.950279,3.799503,0.000000
9408906183,79.891190,3.798912,0.000000
9409906714,79.909988,3.799100,0.000000
9410907246,79.919388,3.799194,0.000000
9411907776,79.896561,3.798966,0.000000
9412908308,79.919388,3.799194,0.000000
9413908876,79.918045,3.799181,0.000000
9414909406,79.955643,3.799556,0.000000
9415909938,79.940872,3.799409,0.000000
