Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316133957,-0.005808,0.888749,-0.394792
9316154777,-0.103808,1.035749,-0.296792
9316175597,-0.054807,0.937749,-0.296792
9316196416,-0.054807,0.888749,-0.345792
9316217236,-0.005808,0.839749,-0.394792
9316238053,-0.103808,0.937749,-0.345792
9316258870,-0.103808,0.986749,-0.296792
9316279689,0.043193,0.888749,-0.296792
9316300511,-0.054807,0.937749,-0.345792
9316321332,-0.152808,1.035749,-0.394792
9316342153,-0.054807,0.986749,-0.247792
9316362974,-0.054807,0.937749,-0.394792
9316383795,-0.054807,0.937749,-0.345792
9316404617,-0.054807,0.937749,-0.247792
9316425437,-0.103808,1.035749,-0.198792
9316446257,-0.054807,0.986749,-0.296792
9316467078,-0.005808,0.937749,-0.394792
9316487899,0.043193,0.937749,-0.296792
9316508721,-0.005808,0.937749,-0.394792
9316529542,-0.005808,0.937749,-0.296792
9316550361,-0.054807,0.888749,-0.296792
9316571182,-0.005808,0.937749,-0.296792
9316592003,-0.054807,0.937749,-0.296792
9316612822,-0.005808,0.937749,-0.345792
9316633643,-0.054807,0.937749,-0.345792
9316654463,-0.103808,0.937749,-0.296792
9316675282,-0.054807,0.937749,-0.296792
9316696098,-0.103808,0.986749,-0.345792
9316716916,-0.054807,0.937749,-0.345792
9316737735,-0.005808,0.888749,-0.345792
9316758554,-0.054807,0.937749,-0.345792
9316779373,-0.054807,0.888749,-0.296792
9316800193,-0.054807,0.986749,-0.345792
9316821012,0.043193,0.986749,-0.345792
9316841833,-0.005808,0.986749,-0.296792
9316862653,-0.054807,0.937749,-0.345792
9316883474,-0.005808,0.839749,-0.345792
9316904294,-0.054807,0.937749,-0.345792
9316925114,-0.103808,0.937749,-0.345792
9316945937,-0.152808,0.986749,-0.345792
9316966754,-0.005808,0.937749,-0.296792
9316987575,-0.054807,0.937749,-0.345792
9317008395,-0.103808,1.035749,-0.345792
9317029215,0.043193,0.888749,-0.296792
9317050032,0.043193,0.986749,-0.247792
9317070848,-0.005808,0.888749,-0.394792
9317091666,-0.152808,0.986749,-0.296792
9317112485,-0.005808,0.937749,-0.296792
9317133304,-0.054807,0.937749,-0.345792
9317154123,-0.005808,0.888749,-0.394792
9317174943,-0.103808,1.035749,-0.345792
9317195764,-0.054807,0.937749,-0.247792
9317216583,-0.054807,0.937749,-0.345792
9317237401,0.043193,0.937749,-0.247792
9317258217,-0.054807,0.888749,-0.296792
9317279034,-0.005808,0.888749,-0.345792
9317299850,-0.103808,0.937749,-0.443792
9317320670,-0.054807,0.986749,-0.247792
9317341488,-0.103808,0.986749,-0.296792
