Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316119250,-0.098545,-0.310825,0.003157,-0.011510,0.989346,-0.023109
9316121752,-0.098597,-0.310568,0.063861,-0.012210,0.990809,-0.025291
9316124254,-0.098440,-0.371765,-0.057443,-0.013693,0.988639,-0.023855
9316126757,-0.159232,-0.310615,-0.118264,-0.012256,0.985726,-0.024580
9316129259,-0.159222,-0.371494,-0.118101,-0.014364,0.989389,-0.031127
9316131761,-0.037281,-0.371808,-0.118050,-0.012174,0.992269,-0.028921
9316134264,0.145280,-0.432837,0.064251,-0.011471,0.992978,-0.024552
9316136766,0.267083,-0.371996,0.124824,-0.012893,0.995173,-0.026736
9316139268,0.266957,-0.310744,0.185364,-0.010759,0.992243,-0.023095
9316141771,0.084201,-0.310318,0.063874,-0.010768,0.992963,-0.020912
9316144273,-0.037717,-0.309790,0.063840,-0.011466,0.992256,-0.026008
9316146775,-0.159637,-0.370239,0.063932,-0.012869,0.998800,-0.025998
9316149278,-0.159424,-0.248328,0.002954,-0.010712,0.998049,-0.023076
9316151780,-0.220117,-0.065263,-0.058139,-0.013578,0.997365,-0.030369
9316154282,-0.220048,-0.065243,-0.058120,-0.013621,0.998797,-0.022368
9316156785,-0.219979,-0.065222,-0.058102,-0.012899,0.998789,-0.021636
9316159287,-0.280895,-0.125964,-0.057964,-0.009968,0.999497,-0.023793
9316161789,-0.220067,-0.186798,0.063598,-0.012146,0.999516,-0.024536
9316164292,-0.159052,-0.186955,0.063585,-0.012159,1.000959,-0.020897
9316166794,-0.037193,-0.187168,0.124285,-0.011364,1.007491,-0.023051
9316169296,0.084833,-0.126721,0.063428,-0.018618,1.008281,-0.025283
9316171798,0.084844,0.056407,0.123734,-0.015016,1.003173,-0.026000
9316174301,0.023954,0.056446,0.062983,-0.011419,0.998786,-0.025260
9316176803,-0.036959,0.117620,0.062830,-0.012148,0.997344,-0.026724
9316179305,0.023998,0.117368,0.062817,-0.012174,0.996611,-0.023819
9316181807,0.084897,0.056139,0.062930,-0.012921,0.996610,-0.020916
9316184310,0.084830,-0.004855,0.063037,-0.007077,0.996572,-0.024508
9316186812,0.084640,-0.126648,0.123976,-0.012146,0.998792,-0.025265
9316189319,0.084571,-0.065473,0.184516,-0.012161,0.998787,-0.023085
9316191817,0.084624,0.056501,0.184205,-0.007812,0.998022,-0.021601
9316194319,0.023735,0.056540,0.123435,-0.010732,0.993700,-0.025271
9316196821,0.023690,-0.126567,0.063070,-0.012151,0.998791,-0.024538
9316199323,0.084674,-0.309990,-0.057975,-0.013621,0.998797,-0.022368
9316201826,0.145716,-0.249290,-0.118782,-0.015827,0.995911,-0.022394
9316204328,0.206616,-0.249427,-0.118738,-0.017279,0.998819,-0.019487
9316206831,0.206343,-0.187895,0.063290,-0.009282,0.998028,-0.019431
9316209333,0.145166,-0.187304,0.184674,-0.004154,0.998724,-0.023753
9316211835,0.023106,-0.247632,0.245434,-0.004164,0.998720,-0.022299
9316214337,-0.098710,-0.247283,0.184638,-0.003461,0.995087,-0.023032
9316216840,-0.098433,-0.125569,0.062916,-0.004899,0.996552,-0.023765
9316219342,-0.037210,-0.004109,-0.058761,-0.010746,0.994418,-0.022361
9316221844,0.023787,0.056654,-0.058862,-0.014376,0.996622,-0.020927
9316224347,0.023737,0.117771,0.001736,-0.007086,0.997292,-0.022325
9316226849,0.084512,-0.004276,0.062700,-0.008526,0.997309,-0.024517
9316229351,0.084406,-0.126228,0.062933,-0.012164,0.996615,-0.025272
9316231854,0.084299,-0.248141,0.063166,-0.008567,0.995847,-0.020160
9316234356,0.084230,-0.186928,0.123726,-0.007063,0.995853,-0.027418
9316236860,-0.037608,-0.064485,0.123420,-0.008522,1.000205,-0.021600
9316239362,-0.098337,-0.003591,0.001837,-0.007139,0.994378,-0.017973
9316241864,-0.037317,-0.064940,-0.058736,-0.010003,0.995142,-0.023807
9316244367,0.023600,-0.126112,-0.058584,-0.007091,0.997290,-0.021598
