Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9316139160,-0.068542,-1.185961,1.056326
9316189280,-0.086466,-1.168056,1.046721
9316239445,-0.068457,-1.177124,1.066455
9316289546,-0.077410,-1.177039,1.066114
9316339675,-0.077493,-1.185906,1.056352
9316389807,-0.077407,-1.177083,1.066665
9316439941,-0.086443,-1.185865,1.056561
9316490078,-0.077471,-1.177043,1.056692
9316540215,-0.077491,-1.185935,1.056717
9316590357,-0.077383,-1.194907,1.076687
9316640494,-0.077469,-1.177072,1.057057
9316690628,-0.077409,-1.177054,1.066297
9316740767,-0.077469,-1.177072,1.057057
9316790900,-0.077429,-1.185946,1.066322
9316841042,-0.086507,-1.185825,1.046589
9316891177,-0.077472,-1.177028,1.056510
9316941319,-0.077554,-1.185910,1.046925
9316991460,-0.086359,-1.177013,1.066507
9317041596,-0.086486,-1.176948,1.046746
9317091734,-0.077473,-1.177014,1.056328
9317141872,-0.077362,-1.186030,1.076847
9317192009,-0.086360,-1.176999,1.066324
9317242146,-0.077410,-1.177039,1.066114
9317292278,-0.086403,-1.168095,1.056694
9317342415,-0.086486,-1.176948,1.046746
9317392554,-0.095309,-1.176987,1.066901
9317442694,-0.077492,-1.185920,1.056534
9317492837,-0.086379,-1.185905,1.066532
9317542975,-0.077473,-1.177014,1.056328
9317593116,-0.077407,-1.177083,1.066665
9317643252,-0.077426,-1.185990,1.066873
9317693393,-0.077430,-1.185931,1.066138
9317743532,-0.077472,-1.177028,1.056510
9317793669,-0.077474,-1.176999,1.056145
9317843802,-0.077429,-1.185946,1.066322
9317893938,-0.077450,-1.168165,1.056850
9317944077,-0.086360,-1.176999,1.066324
9317994211,-0.077391,-1.168148,1.066089
9318044347,-0.086489,-1.176904,1.046203
9318094487,-0.086442,-1.185880,1.056743
9318144624,-0.086361,-1.176984,1.066140
9318194762,-0.086425,-1.176944,1.056171
9318244895,-0.086466,-1.168056,1.046721
9318295029,-0.086404,-1.168067,1.056329
9318345162,-0.086423,-1.176973,1.056536
9318395302,-0.104262,-1.176903,1.066559
9318445439,-0.095312,-1.176929,1.066166
9318495572,-0.086615,-1.176854,1.026622
9318545706,-0.095356,-1.168011,1.056355
9318595835,-0.095268,-1.185875,1.076344
9318645962,-0.086424,-1.176959,1.056354
9318696089,-0.095418,-1.168000,1.046747
9318746219,-0.086360,-1.176999,1.066324
9318796347,-0.095504,-1.176809,1.036260
9318846476,-0.086444,-1.185851,1.056378
9318896607,-0.077534,-1.177017,1.046901
9318946730,-0.077513,-1.194798,1.056376
9318996846,-0.095376,-1.176889,1.056197
9319046969,-0.086442,-1.185880,1.056743
9319097094,-0.086379,-1.185905,1.066532
9319147220,-0.086448,-1.159149,1.046516
9319197345,-0.086551,-1.176893,1.036593
9319247476,-0.095439,-1.176863,1.046410
9319297604,-0.086443,-1.185865,1.056561
9319347736,-0.086445,-1.185836,1.056196
9319397865,-0.095439,-1.176863,1.046410
9319447999,-0.095376,-1.176903,1.056380
9319498127,-0.086489,-1.176904,1.046203
9319548256,-0.095459,-1.185755,1.046434
9319598382,-0.104367,-1.194632,1.056455
9319648510,-0.095504,-1.176809,1.036260
9319698635,-0.095439,-1.176863,1.046410
9319748756,-0.104455,-1.176768,1.036466
9319798881,-0.095419,-1.167986,1.046566
9319849005,-0.095289,-1.168094,1.066876
9319899128,-0.104390,-1.176823,1.046617
9319949248,-0.104389,-1.176837,1.046798
9319999369,-0.095376,-1.176903,1.056380
9320049494,-0.095356,-1.168011,1.056355
9320099618,-0.086507,-1.185825,1.046589
