Timestamp (us),W Element,X Element,Y Element,Z Element
9316119250,-0.026077,-0.033697,0.715148,0.697848
9316121752,-0.026073,-0.033692,0.715147,0.697849
9316124254,-0.026065,-0.033689,0.715145,0.697851
9316126757,-0.026058,-0.033687,0.715143,0.697854
9316129259,-0.026050,-0.033684,0.715142,0.697855
9316131761,-0.026042,-0.033681,0.715143,0.697855
9316134264,-0.026036,-0.033675,0.715145,0.697853
9316136766,-0.026031,-0.033668,0.715150,0.697848
9316139268,-0.026027,-0.033659,0.715154,0.697844
9316141771,-0.026021,-0.033652,0.715155,0.697844
9316144273,-0.026015,-0.033645,0.715155,0.697845
9316146775,-0.026008,-0.033638,0.715153,0.697847
9316149278,-0.026002,-0.033632,0.715151,0.697850
9316151780,-0.025998,-0.033631,0.715149,0.697853
9316154282,-0.025993,-0.033630,0.715145,0.697857
9316156785,-0.025989,-0.033629,0.715141,0.697861
9316159287,-0.025985,-0.033626,0.715137,0.697866
9316161789,-0.025980,-0.033621,0.715133,0.697870
9316164292,-0.025976,-0.033616,0.715130,0.697873
9316166794,-0.025973,-0.033610,0.715129,0.697875
9316169296,-0.025968,-0.033608,0.715131,0.697873
9316171798,-0.025968,-0.033607,0.715133,0.697872
9316174301,-0.025968,-0.033605,0.715133,0.697871
9316176803,-0.025968,-0.033605,0.715133,0.697871
9316179305,-0.025969,-0.033605,0.715134,0.697871
9316181807,-0.025968,-0.033604,0.715134,0.697870
9316184310,-0.025968,-0.033600,0.715135,0.697869
9316186812,-0.025965,-0.033595,0.715137,0.697868
9316189319,-0.025970,-0.033595,0.715138,0.697867
9316191817,-0.025977,-0.033596,0.715138,0.697866
9316194319,-0.025982,-0.033598,0.715139,0.697865
9316196821,-0.025984,-0.033599,0.715139,0.697865
9316199323,-0.025980,-0.033600,0.715140,0.697864
9316201826,-0.025976,-0.033602,0.715141,0.697863
9316204328,-0.025971,-0.033606,0.715143,0.697861
9316206831,-0.025972,-0.033605,0.715145,0.697859
9316209333,-0.025976,-0.033601,0.715147,0.697857
9316211835,-0.025981,-0.033595,0.715147,0.697857
9316214337,-0.025985,-0.033590,0.715145,0.697859
9316216840,-0.025988,-0.033589,0.715144,0.697861
9316219342,-0.025990,-0.033593,0.715142,0.697862
9316221844,-0.025992,-0.033599,0.715141,0.697862
9316224347,-0.025997,-0.033603,0.715141,0.697862
9316226849,-0.026001,-0.033605,0.715142,0.697861
9316229351,-0.026003,-0.033606,0.715144,0.697859
9316231854,-0.026003,-0.033604,0.715144,0.697859
9316234356,-0.026006,-0.033601,0.715146,0.697857
9316236860,-0.026010,-0.033601,0.715144,0.697858
9316239362,-0.026014,-0.033604,0.715141,0.697861
9316241864,-0.026010,-0.033602,0.715140,0.697862
9316244367,-0.026006,-0.033598,0.715140,0.697863
9316246869,-0.026001,-0.033593,0.715141,0.697863
9316249371,-0.025995,-0.033589,0.715141,0.697863
9316251873,-0.025987,-0.033586,0.715141,0.697864
9316254376,-0.025981,-0.033583,0.715141,0.697864
9316256878,-0.025977,-0.033577,0.715140,0.697865
9316259380,-0.025972,-0.033570,0.715138,0.697868
9316261883,-0.025966,-0.033563,0.715137,0.697870
9316264385,-0.025958,-0.033556,0.715138,0.697869
9316266887,-0.025948,-0.033551,0.715140,0.697868
9316269390,-0.025941,-0.033544,0.715142,0.697866
9316271892,-0.025939,-0.033537,0.715147,0.697862
9316274394,-0.025938,-0.033531,0.715150,0.697859
9316276897,-0.025937,-0.033526,0.715151,0.697857
9316279399,-0.025935,-0.033525,0.715152,0.697856
9316281901,-0.025933,-0.033528,0.715152,0.697857
9316284403,-0.025931,-0.033530,0.715153,0.697855
9316286906,-0.025926,-0.033532,0.715154,0.697855
9316289408,-0.025918,-0.033530,0.715153,0.697856
9316291910,-0.025915,-0.033528,0.715151,0.697859
9316294413,-0.025915,-0.033526,0.715150,0.697859
9316296915,-0.025917,-0.033521,0.715151,0.697859
9316299417,-0.025920,-0.033519,0.715151,0.697859
9316301919,-0.025921,-0.033518,0.715152,0.697858
9316304422,-0.025920,-0.033518,0.715150,0.697859
9316306924,-0.025917,-0.033519,0.715148,0.697862
9316309427,-0.025912,-0.033517,0.715146,0.697864
9316311929,-0.025908,-0.033510,0.715147,0.697864
9316314431,-0.025904,-0.033501,0.715148,0.697863
9316316933,-0.025900,-0.033495,0.715148,0.697864
9316319436,-0.025898,-0.033494,0.715148,0.697864
9316321938,-0.025900,-0.033495,0.715148,0.697864
9316324440,-0.025900,-0.033495,0.715151,0.697861
9316326943,-0.025898,-0.033495,0.715153,0.697859
9316329445,-0.025895,-0.033492,0.715154,0.697858
9316331947,-0.025891,-0.033489,0.715155,0.697857
9316334449,-0.025887,-0.033487,0.715156,0.697857
9316336952,-0.025883,-0.033480,0.715156,0.697857
9316339454,-0.025879,-0.033472,0.715159,0.697855
9316341956,-0.025873,-0.033466,0.715162,0.697852
9316344459,-0.025869,-0.033462,0.715165,0.697849
9316346961,-0.025866,-0.033459,0.715166,0.697849
9316349463,-0.025867,-0.033457,0.715163,0.697852
9316351966,-0.025867,-0.033457,0.715160,0.697855
9316354470,-0.025865,-0.033458,0.715157,0.697857
9316356970,-0.025861,-0.033459,0.715157,0.697858
9316359473,-0.025858,-0.033458,0.715157,0.697858
9316361975,-0.025857,-0.033456,0.715158,0.697856
9316364477,-0.025858,-0.033453,0.715158,0.697857
9316366979,-0.025857,-0.033450,0.715158,0.697857
9316369482,-0.025856,-0.033445,0.715156,0.697859
9316371984,-0.025854,-0.033442,0.715156,0.697860
9316374487,-0.025854,-0.033440,0.715157,0.697859
9316376988,-0.025852,-0.033440,0.715157,0.697859
9316379491,-0.025850,-0.033437,0.715158,0.697858
9316381993,-0.025847,-0.033434,0.715158,0.697859
9316384496,-0.025843,-0.033430,0.715156,0.697861
9316386998,-0.025840,-0.033425,0.715154,0.697863
9316389500,-0.025839,-0.033422,0.715153,0.697865
9316392003,-0.025839,-0.033425,0.715152,0.697865
9316394505,-0.025840,-0.033430,0.715151,0.697865
9316397007,-0.025843,-0.033432,0.715151,0.697865
9316399509,-0.025845,-0.033431,0.715151,0.697866
9316402012,-0.025845,-0.033426,0.715151,0.697866
9316404514,-0.025845,-0.033421,0.715151,0.697867
9316407016,-0.025845,-0.033419,0.715152,0.697866
9316409519,-0.025846,-0.033418,0.715152,0.697865
9316412021,-0.025848,-0.033421,0.715151,0.697866
9316414523,-0.025849,-0.033425,0.715149,0.697868
9316417026,-0.025847,-0.033429,0.715147,0.697870
9316419528,-0.025847,-0.033430,0.715146,0.697871
9316422030,-0.025848,-0.033428,0.715143,0.697874
9316424532,-0.025851,-0.033426,0.715141,0.697876
9316427035,-0.025855,-0.033424,0.715140,0.697877
9316429537,-0.025858,-0.033426,0.715139,0.697877
9316432057,-0.025860,-0.033429,0.715139,0.697878
9316434543,-0.025861,-0.033433,0.715139,0.697877
9316437043,-0.025860,-0.033436,0.715139,0.697877
9316439545,-0.025861,-0.033440,0.715138,0.697878
9316442047,-0.025865,-0.033445,0.715136,0.697880
9316444550,-0.025870,-0.033451,0.715132,0.697883
9316447052,-0.025875,-0.033453,0.715128,0.697887
9316449554,-0.025880,-0.033456,0.715127,0.697888
9316452056,-0.025885,-0.033459,0.715126,0.697888
9316454559,-0.025888,-0.033463,0.715127,0.697887
9316457061,-0.025893,-0.033468,0.715128,0.697886
9316459563,-0.025900,-0.033474,0.715130,0.697884
9316462066,-0.025909,-0.033481,0.715130,0.697882
9316464568,-0.025917,-0.033488,0.715131,0.697881
9316467070,-0.025924,-0.033493,0.715130,0.697882
9316469573,-0.025930,-0.033498,0.715129,0.697882
9316472075,-0.025936,-0.033502,0.715128,0.697883
9316474577,-0.025941,-0.033505,0.715126,0.697884
9316477080,-0.025944,-0.033506,0.715125,0.697886
9316479582,-0.025948,-0.033504,0.715124,0.697886
9316482084,-0.025951,-0.033502,0.715125,0.697885
9316484586,-0.025955,-0.033502,0.715128,0.697882
9316487089,-0.025957,-0.033504,0.715132,0.697878
9316489591,-0.025961,-0.033508,0.715136,0.697873
9316492093,-0.025963,-0.033511,0.715141,0.697868
9316494596,-0.025966,-0.033517,0.715143,0.697865
9316497098,-0.025970,-0.033521,0.715143,0.697865
9316499600,-0.025973,-0.033527,0.715141,0.697867
9316502103,-0.025977,-0.033531,0.715138,0.697869
9316504605,-0.025982,-0.033535,0.715137,0.697870
9316507107,-0.025988,-0.033539,0.715137,0.697870
9316509609,-0.025992,-0.033543,0.715139,0.697867
9316512112,-0.025994,-0.033548,0.715140,0.697866
9316514614,-0.025994,-0.033553,0.715141,0.697865
9316517116,-0.025996,-0.033558,0.715143,0.697863
9316519618,-0.026001,-0.033562,0.715145,0.697859
9316522121,-0.026007,-0.033565,0.715147,0.697858
9316524623,-0.026011,-0.033570,0.715147,0.697856
9316527126,-0.026013,-0.033573,0.715146,0.697857
9316529628,-0.026014,-0.033575,0.715145,0.697859
9316532130,-0.026014,-0.033576,0.715145,0.697858
9316534633,-0.026015,-0.033576,0.715146,0.697857
9316537135,-0.026017,-0.033575,0.715147,0.697856
9316539637,-0.026021,-0.033574,0.715147,0.697857
9316542139,-0.026024,-0.033575,0.715145,0.697858
9316544641,-0.026026,-0.033578,0.715145,0.697858
9316547144,-0.026026,-0.033578,0.715148,0.697855
9316549647,-0.026025,-0.033574,0.715150,0.697853
