Timestamp (us),Percentage (%),Power (dBm)
9316878222,82.000000,-59.000000
9317882829,84.000000,-58.000000
9318879440,78.000000,-61.000000
9319887854,94.000000,-53.000000
9320886273,82.000000,-59.000000
9321878286,82.000000,-59.000000
9322880626,64.000000,-68.000000
9323879020,78.000000,-61.000000
9324884942,74.000000,-63.000000
9325883363,84.000000,-58.000000
9326879285,80.000000,-60.000000
9327890212,88.000000,-56.000000
9328883629,80.000000,-60.000000
9329889557,90.000000,-55.000000
9330877968,92.000000,-54.000000
9331880753,92.000000,-54.000000
9332879845,98.000000,-51.000000
9333883238,96.000000,-52.000000
9334885860,100.000000,-50.000000
9335890091,92.000000,-54.000000
9336886008,98.000000,-51.000000
9337889453,88.000000,-56.000000
9338882851,88.000000,-56.000000
9339888809,94.000000,-53.000000
9340897086,92.000000,-54.000000
9341888152,92.000000,-54.000000
9342884041,92.000000,-54.000000
9343878570,82.000000,-59.000000
9344878580,90.000000,-55.000000
9345876802,88.000000,-56.000000
9346884404,88.000000,-56.000000
9347888657,78.000000,-61.000000
9348882754,72.000000,-64.000000
9349878645,84.000000,-58.000000
9350878667,76.000000,-62.000000
9351879868,82.000000,-59.000000
9352885449,82.000000,-59.000000
9353886705,88.000000,-56.000000
9354877631,80.000000,-60.000000
9355886032,92.000000,-54.000000
9356879449,88.000000,-56.000000
9357877898,94.000000,-53.000000
9358881322,94.000000,-53.000000
9359887222,100.000000,-48.000000
9360878134,94.000000,-53.000000
9361881588,96.000000,-52.000000
9362884983,96.000000,-52.000000
9363883431,80.000000,-60.000000
9364881823,92.000000,-54.000000
9365882744,84.000000,-58.000000
9366886207,88.000000,-56.000000
9367884323,94.000000,-53.000000
9368884856,96.000000,-52.000000
9369888962,84.000000,-58.000000
9370879874,80.000000,-60.000000
9371890775,90.000000,-55.000000
9372885714,90.000000,-55.000000
9373878951,82.000000,-59.000000
9374888558,68.000000,-66.000000
9375886949,84.000000,-58.000000
9376880392,92.000000,-54.000000
9377886285,80.000000,-60.000000
9378887204,74.000000,-63.000000
9379885621,84.000000,-58.000000
9380889059,92.000000,-54.000000
9381879983,94.000000,-53.000000
9382879067,94.000000,-53.000000
9383889297,98.000000,-51.000000
9384882752,96.000000,-52.000000
9385886130,98.000000,-51.000000
9386884547,96.000000,-52.000000
9387880491,94.000000,-53.000000
9388879144,92.000000,-54.000000
9389879156,80.000000,-60.000000
9390878210,94.000000,-53.000000
9391886634,86.000000,-57.000000
9392882556,88.000000,-56.000000
9393888836,84.000000,-58.000000
9394889416,96.000000,-52.000000
9395880325,92.000000,-54.000000
9396881228,98.000000,-51.000000
9397884668,92.000000,-54.000000
9398884104,88.000000,-56.000000
9399879284,84.000000,-58.000000
9400879297,84.000000,-58.000000
9401880824,86.000000,-57.000000
9402881738,78.000000,-61.000000
9403882624,84.000000,-58.000000
9404886043,88.000000,-56.000000
9405882199,68.000000,-66.000000
9406885049,76.000000,-62.000000
9407876311,82.000000,-59.000000
9408879730,92.000000,-54.000000
9409890624,94.000000,-53.000000
9410889037,98.000000,-51.000000
9411889952,96.000000,-52.000000
9412890868,100.000000,-50.000000
9413879289,92.000000,-54.000000
9414882690,88.000000,-56.000000
9415887832,94.000000,-53.000000
