Timestamp (us),Temperature (degC)
9316432057,34.625000
9317432960,34.625000
9318433882,34.625000
9319434804,34.625000
9320435727,34.700001
9321436649,34.750000
9322437571,34.750000
9323438494,34.750000
9324439416,34.650002
9325440339,34.700001
9326441261,34.724998
9327442184,34.625000
9328443106,34.625000
9329444030,34.625000
9330444954,34.674999
9331445877,34.750000
9332446799,34.750000
9333447722,34.750000
9334448645,34.674999
9335449568,34.674999
9336450491,34.750000
9337451413,34.750000
9338452337,34.750000
9339453260,34.750000
9340454183,34.750000
9341455106,34.750000
9342456030,34.750000
9343456953,34.750000
9344457877,34.750000
9345458800,34.750000
9346459723,34.750000
9347460647,34.750000
9348461570,34.750000
9349462494,34.750000
9350463417,34.750000
9351464338,34.750000
9352465262,34.750000
9353466184,34.750000
9354467108,34.724998
9355468030,34.625000
9356468953,34.625000
9357469875,34.625000
9358470798,34.625000
9359471721,34.625000
9360472643,34.625000
9361473566,34.724998
9362474489,34.674999
9363475411,34.625000
9364476333,34.625000
9365477255,34.625000
9366478176,34.625000
9367479098,34.625000
9368480019,34.625000
9369480940,34.625000
9370481861,34.625000
9371482782,34.625000
9372483702,34.625000
9373484623,34.625000
9374485543,34.625000
9375486463,34.625000
9376487384,34.625000
9377488303,34.625000
9378489223,34.625000
9379490142,34.500000
9380491061,34.500000
9381491979,34.500000
9382492898,34.525002
9383493816,34.625000
9384494735,34.500000
9385495654,34.500000
9386496573,34.549999
9387497491,34.599998
9388498410,34.500000
9389499328,34.500000
9390500246,34.500000
9391501164,34.500000
9392502082,34.500000
9393502999,34.375000
9394503916,34.375000
9395504834,34.375000
9396505751,34.400002
9397506669,34.500000
9398507586,34.500000
9399508502,34.424999
9400509420,34.375000
9401510337,34.375000
9402511254,34.375000
9403512170,34.375000
9404513086,34.375000
9405514002,34.375000
9406514918,34.375000
9407515834,34.375000
9408516750,34.375000
9409517665,34.375000
9410518580,34.375000
9411519496,34.375000
9412520411,34.375000
9413521327,34.375000
9414522242,34.375000
9415523158,34.375000
9416524074,34.375000
