Timestamp (us),Percentage (%),Voltage (V),Charging Status
9317113590,99.459732,3.994597,0.000000
9318114148,99.435562,3.994355,0.000000
9319114678,99.431519,3.994315,0.000000
9320115212,99.444962,3.994450,0.000000
9321115743,99.422119,3.994221,0.000000
9322116274,99.414078,3.994141,0.000000
9323116805,99.423477,3.994235,0.000000
9324117336,99.416763,3.994168,0.000000
9325117868,99.427505,3.994275,0.000000
9326118402,99.395264,3.993953,0.000000
9327118936,99.403336,3.994033,0.000000
9328119469,99.396622,3.993966,0.000000
9329120002,99.399292,3.993993,0.000000
9330120533,99.399307,3.993993,0.000000
9331121064,99.385864,3.993859,0.000000
9332121599,99.388550,3.993886,0.000000
9333122130,99.381851,3.993818,0.000000
9334122661,99.368416,3.993684,0.000000
9335123193,99.359009,3.993590,0.000000
9336123725,99.359024,3.993590,0.000000
9337124257,99.334839,3.993348,0.000000
9338124792,99.344238,3.993443,0.000000
9339125323,99.341553,3.993415,0.000000
9340125854,99.330826,3.993308,0.000000
9341126385,99.357681,3.993577,0.000000
9342126919,99.337532,3.993375,0.000000
9343127452,99.325439,3.993254,0.000000
9344128012,99.328125,3.993281,0.000000
9345128546,99.317383,3.993174,0.000000
9346129082,99.332161,3.993322,0.000000
9347129615,99.348282,3.993483,0.000000
9348130146,99.332169,3.993322,0.000000
9349130677,99.337524,3.993375,0.000000
9350131209,99.297249,3.992973,0.000000
9351131740,99.314697,3.993147,0.000000
9352132273,99.294556,3.992945,0.000000
9353132804,99.305298,3.993053,0.000000
9354133378,99.301270,3.993013,0.000000
9355133909,99.295898,3.992959,0.000000
9356134442,99.295914,3.992959,0.000000
9357134976,99.285164,3.992852,0.000000
9358135507,99.274429,3.992744,0.000000
9359136041,99.278442,3.992785,0.000000
9360136572,99.274414,3.992744,0.000000
9361137104,99.254272,3.992543,0.000000
9362137636,99.252937,3.992529,0.000000
9363138166,99.232788,3.992328,0.000000
9364138733,99.250244,3.992503,0.000000
9365139266,99.255615,3.992556,0.000000
9366139838,99.256958,3.992570,0.000000
9367140371,99.266357,3.992664,0.000000
9368140903,99.200569,3.992006,0.000000
9369141434,99.231461,3.992315,0.000000
9370141967,99.222061,3.992221,0.000000
9371142497,99.220703,3.992207,0.000000
9372143028,99.239517,3.992395,0.000000
9373143559,99.224731,3.992247,0.000000
9374144092,99.239502,3.992395,0.000000
9375144664,99.234131,3.992341,0.000000
9376145199,99.235474,3.992355,0.000000
9377145736,99.224731,3.992247,0.000000
9378146269,99.215332,3.992153,0.000000
9379146804,99.189819,3.991898,0.000000
9380147338,99.200562,3.992006,0.000000
9381147871,99.193848,3.991938,0.000000
9382148405,99.211319,3.992113,0.000000
9383148938,99.185791,3.991858,0.000000
9384149470,99.187134,3.991871,0.000000
9385150011,99.157608,3.991576,0.000000
9386150542,99.175049,3.991750,0.000000
9387151074,99.173706,3.991737,0.000000
9388151606,99.158936,3.991589,0.000000
9389152139,99.153564,3.991536,0.000000
9390152672,99.146851,3.991468,0.000000
9391153205,99.138809,3.991388,0.000000
9392153735,99.169678,3.991697,0.000000
9393154269,99.122688,3.991227,0.000000
9394154802,99.124023,3.991240,0.000000
9395155347,99.128052,3.991281,0.000000
9396155879,99.140137,3.991401,0.000000
9397156446,99.118652,3.991187,0.000000
9398156979,99.134781,3.991348,0.000000
9399157512,99.126724,3.991267,0.000000
9400158043,99.110596,3.991106,0.000000
9401158573,99.124023,3.991240,0.000000
9402159103,99.118652,3.991187,0.000000
9403159634,99.103889,3.991039,0.000000
9404160164,99.110596,3.991106,0.000000
9405160695,99.121338,3.991214,0.000000
9406161230,99.095825,3.990958,0.000000
9407161761,99.095825,3.990958,0.000000
9408162299,99.094490,3.990945,0.000000
9409162831,99.101204,3.991012,0.000000
9410163362,99.071655,3.990717,0.000000
9411163892,99.077026,3.990770,0.000000
9412164423,99.079712,3.990797,0.000000
9413164956,99.089111,3.990891,0.000000
9414165490,99.071655,3.990716,0.000000
9415166021,99.031372,3.990314,0.000000
9416166552,99.044800,3.990448,0.000000
