Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316124104,-0.081444,0.921085,-0.075202
9316144755,0.016556,0.823085,-0.075202
9316165405,0.065556,0.872085,-0.075202
9316186055,0.016556,0.823085,-0.075202
9316206705,-0.081444,0.872085,-0.075202
9316227355,-0.032444,0.872085,-0.173202
9316248005,-0.130444,0.921085,-0.173202
9316268655,-0.032444,0.823085,-0.124202
9316289303,-0.081444,0.872085,-0.124202
9316309952,0.016556,0.774085,-0.173202
9316330601,-0.081444,0.872085,-0.075202
9316351252,-0.130444,0.921085,-0.124202
9316371901,-0.032444,0.872085,-0.124202
9316392551,-0.032444,0.823085,-0.124202
9316413201,-0.081444,0.872085,-0.075202
9316433851,-0.032444,0.921085,-0.124202
9316454501,0.016556,0.872085,-0.124202
9316475171,-0.081444,0.823085,-0.222202
9316495800,-0.130444,0.872085,-0.173202
9316516450,-0.081444,0.970085,-0.124202
9316537099,-0.081444,0.872085,-0.075202
9316557749,-0.032444,0.823085,-0.075202
9316578398,-0.032444,0.872085,-0.026202
9316599048,-0.081444,0.823085,-0.075202
9316619698,-0.032444,0.872085,-0.173202
9316640347,-0.081444,0.823085,-0.124202
9316660996,-0.081444,0.823085,-0.124202
9316681646,-0.130444,0.872085,-0.222202
9316702296,-0.032444,0.872085,-0.173202
9316722945,-0.032444,0.921085,-0.124202
9316743595,-0.081444,0.872085,-0.124202
9316764244,-0.081444,0.872085,-0.173202
9316784895,-0.032444,0.823085,-0.222202
9316805546,0.016556,0.823085,-0.173202
9316826197,-0.081444,0.823085,-0.124202
9316846848,-0.032444,0.872085,-0.173202
9316867499,-0.081444,0.872085,-0.124202
9316888149,-0.130444,0.921085,-0.271202
9316908798,-0.081444,0.823085,-0.124202
9316929448,-0.032444,0.823085,-0.173202
9316950098,-0.032444,0.774085,-0.173202
9316970747,-0.081444,0.872085,-0.173202
9316991397,-0.130444,0.921085,-0.222202
9317012047,-0.032444,0.921085,-0.271202
9317032697,-0.081444,0.823085,-0.173202
9317053347,-0.081444,0.872085,-0.173202
9317073996,-0.130444,0.921085,-0.222202
9317094646,0.016556,0.823085,-0.173202
9317115295,0.016556,0.921085,-0.173202
9317135945,-0.081444,0.921085,-0.173202
9317156596,-0.081444,0.872085,-0.124202
9317177245,-0.081444,0.921085,-0.124202
9317197895,-0.081444,0.872085,-0.124202
9317218544,-0.130444,0.921085,-0.173202
9317239193,-0.081444,0.872085,-0.173202
9317259843,-0.081444,0.921085,-0.124202
9317280493,-0.081444,0.872085,-0.222202
9317301142,-0.032444,0.872085,-0.173202
9317321831,-0.032444,0.872085,-0.222202
9317342443,-0.081444,0.774085,-0.173202
9317363094,-0.179444,0.921085,-0.222202
9317383744,0.016556,0.872085,-0.369202
9317404394,-0.032444,0.774085,-0.173202
9317425043,-0.032444,0.872085,-0.026202
9317445692,0.016556,0.921085,-0.075202
9317466342,0.065556,0.921085,-0.124202
9317486991,0.016556,0.921085,-0.222202
9317507640,0.016556,0.872085,-0.173202
9317528289,-0.032444,1.019085,-0.173202
9317548939,-0.032444,0.823085,-0.124202
9317569589,-0.032444,0.921085,-0.075202
9317590239,-0.032444,0.921085,-0.173202
9317610891,-0.081444,0.970085,-0.026202
9317631541,0.016556,0.921085,-0.026202
9317652192,-0.081444,0.774085,-0.075202
9317672842,-0.032444,0.774085,-0.026202
9317693492,-0.032444,0.921085,-0.026202
9317714143,-0.032444,0.823085,-0.075202
9317734793,0.016556,0.872085,-0.173202
9317755442,0.016556,0.725085,-0.075202
9317776092,0.016556,0.823085,-0.124202
9317796743,-0.032444,0.921085,0.022798
9317817393,-0.032444,0.921085,-0.075202
9317838042,-0.081444,0.921085,-0.026202
9317858692,-0.081444,0.872085,-0.075202
9317879341,-0.032444,0.774085,0.022798
9317899992,0.016556,0.872085,-0.075202
9317920642,0.016556,0.823085,-0.026202
9317941292,0.016556,0.823085,-0.026202
9317961943,-0.032444,0.774085,-0.026202
9317982593,0.016556,0.774085,-0.026202
9318003244,0.016556,0.823085,-0.075202
9318023894,-0.081444,0.872085,0.022798
9318044544,-0.081444,0.823085,-0.124202
9318065195,0.065556,0.823085,-0.124202
9318085846,0.016556,0.823085,0.071798
9318106496,-0.081444,0.921085,-0.075202
9318127145,-0.081444,0.921085,-0.075202
9318147795,-0.081444,0.921085,-0.124202
9318168446,-0.130444,1.019085,-0.124202
9318189098,-0.081444,0.970085,-0.173202
9318209747,-0.130444,0.872085,-0.271202
9318230397,-0.081444,0.921085,-0.222202
9318251046,-0.032444,0.970085,-0.271202
9318271696,-0.130444,0.970085,-0.320202
9318292346,-0.179444,0.970085,-0.320202
9318312995,-0.032444,0.921085,-0.271202
9318333643,0.016556,0.970085,-0.222202
9318354291,-0.130444,0.872085,-0.222202
9318374939,-0.081444,0.823085,-0.320202
9318395589,-0.228444,0.872085,-0.222202
9318416238,-0.130444,0.872085,-0.222202
9318436886,-0.081444,0.823085,-0.173202
9318457536,-0.032444,0.823085,-0.222202
9318478185,0.016556,0.774085,-0.271202
9318498834,-0.032444,0.823085,-0.222202
9318519484,-0.032444,0.823085,-0.271202
9318540134,-0.081444,0.823085,-0.173202
9318560784,-0.130444,0.872085,-0.271202
9318581433,-0.081444,0.872085,-0.320202
9318602083,0.016556,0.823085,-0.320202
9318622732,-0.081444,0.970085,-0.369202
9318643381,-0.032444,0.921085,-0.369202
9318664030,-0.130444,0.872085,-0.467202
9318684678,-0.032444,0.921085,-0.369202
9318705328,0.016556,0.921085,-0.418202
9318725977,-0.032444,0.921085,-0.369202
9318746626,-0.032444,0.872085,-0.467202
9318767278,0.016556,0.872085,-0.369202
9318787930,-0.032444,0.970085,-0.271202
9318808581,0.163556,0.970085,-0.271202
9318829233,-0.032444,1.019085,-0.222202
9318849885,-0.032444,1.019085,-0.173202
9318870537,-0.032444,0.970085,-0.026202
9318891189,0.016556,0.921085,0.022798
9318911841,0.016556,0.872085,-0.026202
9318932494,0.016556,0.823085,-0.026202
9318953146,0.016556,0.725085,-0.026202
9318973797,-0.081444,0.823085,-0.075202
9318994448,-0.032444,0.872085,-0.124202
9319015101,-0.032444,0.872085,-0.075202
9319035753,-0.032444,0.774085,-0.026202
9319056405,-0.032444,0.774085,-0.075202
9319077056,0.016556,0.872085,-0.173202
9319097708,0.065556,0.774085,-0.222202
9319118360,0.065556,0.823085,-0.173202
9319139012,-0.032444,0.823085,-0.173202
9319159663,0.016556,0.970085,-0.124202
9319180314,-0.032444,0.970085,-0.173202
9319200966,-0.032444,0.872085,-0.124202
9319221618,-0.032444,0.872085,-0.173202
9319242271,0.016556,0.823085,-0.124202
9319262923,-0.032444,0.872085,-0.124202
9319283573,0.016556,0.872085,-0.222202
9319304225,0.016556,0.872085,-0.124202
9319324876,-0.032444,0.872085,-0.124202
9319345527,0.016556,0.725085,-0.075202
9319366177,-0.032444,0.774085,-0.026202
9319386827,-0.032444,0.872085,-0.026202
9319407476,0.114556,0.823085,-0.075202
9319428127,-0.081444,0.823085,-0.124202
9319448776,-0.081444,0.823085,0.022798
9319469426,0.016556,0.970085,-0.124202
9319490077,0.065556,0.872085,-0.124202
9319510728,0.016556,0.872085,-0.124202
9319531379,-0.081444,0.921085,-0.173202
9319552031,-0.130444,1.019085,-0.222202
9319572682,0.016556,0.872085,-0.369202
9319593332,-0.032444,0.872085,-0.173202
9319613983,-0.032444,0.970085,-0.320202
9319634635,0.016556,1.019085,-0.516202
9319655286,-0.130444,1.019085,-0.418202
9319675937,-0.081444,1.019085,-0.369202
9319696587,-0.081444,0.970085,-0.467202
9319717238,-0.081444,1.019085,-0.369202
9319737889,-0.081444,0.921085,-0.369202
9319758539,-0.130444,0.970085,-0.369202
9319779190,-0.130444,0.872085,-0.173202
9319799840,-0.081444,0.872085,-0.271202
9319820491,-0.130444,0.921085,-0.320202
