Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316120445,0.706865,-1.342392,-1.260985,-0.004806,0.953123,0.159459
9316122943,1.072651,-1.160501,-1.199981,-0.003325,0.954570,0.158032
9316125440,1.499253,-0.917810,-1.078403,-0.001158,0.955269,0.160242
9316127938,1.925836,-0.735915,-0.956492,-0.003326,0.956741,0.160229
9316130435,2.230126,-0.371223,-0.714637,-0.007657,0.961860,0.161673
9316132933,2.412821,-0.006540,-0.594595,-0.006931,0.964749,0.164610
9316135430,2.656503,0.358042,-0.474334,-0.006200,0.969813,0.169017
9316137928,2.839519,0.540129,-0.474673,-0.007733,0.970519,0.177726
9316140425,3.022100,0.540038,-0.352642,-0.007117,0.967572,0.186432
9316142937,3.205021,0.418146,-0.351324,-0.004974,0.972607,0.195214
9316145419,3.265893,0.053272,-0.349117,-0.002035,0.980559,0.199667
9316147916,3.204923,-0.493894,-0.407040,0.000192,0.986351,0.200462
9316150414,3.021584,-1.101447,-0.343692,-0.002018,0.987806,0.204809
9316152911,2.776899,-1.647895,-0.159518,-0.004229,0.989261,0.209156
9316155409,2.471323,-1.890264,0.022780,-0.006355,0.990750,0.204784
9316157907,2.287966,-1.950551,0.143833,-0.009892,0.991545,0.195303
9316160404,2.165634,-1.889346,0.264441,-0.014150,0.993796,0.186552
9316162901,2.104137,-1.706545,0.445293,-0.016941,0.998212,0.178560
9316165399,2.042621,-1.584541,0.626476,-0.016948,0.997485,0.178555
9316167897,1.981275,-1.523437,0.747302,-0.019891,0.996772,0.181424
9316170394,1.859398,-1.219258,0.745208,-0.021332,0.998238,0.181419
9316172892,1.615340,-0.975570,0.803697,-0.018380,0.996782,0.175627
9316175389,1.493084,-0.671183,0.922979,-0.016879,1.000409,0.174217
9316177887,1.309747,-0.670674,1.043700,-0.016873,1.002583,0.175687
9316180384,1.248722,-0.792165,1.044144,-0.015364,1.004765,0.172086
9316182882,1.187849,-1.035352,0.984564,-0.015343,1.004773,0.169906
9316185379,1.126786,-1.278435,0.985672,-0.015432,1.000393,0.174960
9316187878,1.187923,-1.400231,0.925865,-0.016223,1.000374,0.181491
9316190374,1.309688,-1.461122,0.987321,-0.015517,1.001084,0.184412
9316192872,1.553633,-1.461523,0.988194,-0.012540,1.004706,0.180838
9316195369,1.797332,-1.644206,1.050750,-0.010305,1.009053,0.179442
9316197867,2.041371,-1.948689,0.992593,-0.009599,1.007591,0.180165
9316200364,2.224633,-2.192381,0.873198,-0.009597,1.004695,0.177237
9316202862,2.224783,-2.314077,0.813173,-0.010256,1.009073,0.174355
9316205359,1.980819,-2.374472,0.812631,-0.008721,1.015609,0.172241
9316207857,1.614882,-2.434667,0.811652,-0.007225,1.016337,0.168629
9316210354,1.126612,-2.433658,0.931281,-0.005714,1.014899,0.161368
9316212852,0.577584,-2.311062,0.989341,-0.006404,1.012748,0.155530
9316215350,0.028594,-2.066874,1.046738,-0.005723,1.007655,0.155499
9316217847,-0.581344,-1.700994,1.103254,-0.007862,1.006966,0.150383
9316220345,-1.069140,-1.396215,1.099850,-0.010728,1.007008,0.145991
9316222842,-1.374033,-1.274123,1.098095,-0.007846,1.004077,0.146001
9316225340,-1.495381,-1.091849,0.914600,-0.004340,0.997477,0.153257
9316227837,-1.372992,-0.970666,0.792997,-0.006625,0.993834,0.160472
9316230335,-1.129027,-0.910271,0.793539,-0.008121,0.992382,0.163352
9316232832,-0.763071,-0.789280,0.794186,-0.007489,0.987269,0.168407
9316235329,-0.336147,-0.729185,0.795383,-0.007584,0.981439,0.172723
9316237827,0.213279,-0.791194,0.615616,-0.009079,0.979263,0.174870
9316240325,0.823483,-0.913995,0.497086,-0.009073,0.979990,0.174876
9316242822,1.433478,-1.097488,0.439576,-0.009801,0.981444,0.176332
9316245320,1.860307,-1.341371,0.442430,-0.011989,0.981460,0.177035
9316247817,2.104213,-1.463363,0.443967,-0.011962,0.983643,0.176325
9316250315,2.225978,-1.524254,0.505423,-0.011976,0.982189,0.176314
9316252812,2.286964,-1.524355,0.505641,-0.013408,0.981486,0.173386
9316255310,2.286756,-1.585046,0.566661,-0.011220,0.981470,0.172683
9316257807,2.347704,-1.706737,0.567542,-0.009733,0.985091,0.172727
9316260305,2.286737,-1.645842,0.566992,-0.013361,0.985849,0.172692
9316262802,2.286548,-1.645737,0.627680,-0.015543,0.985868,0.172669
9316265300,2.164575,-1.645537,0.627244,-0.011180,0.985830,0.172716
9316267797,2.103589,-1.645437,0.627025,-0.009718,0.984373,0.170541
9316270295,2.042811,-1.584646,0.565787,-0.011103,0.985861,0.164723
9316272793,1.920876,-1.462854,0.564688,-0.008942,0.984386,0.165463
9316275290,1.798733,-1.401754,0.624608,-0.006788,0.982908,0.166929
9316277787,1.615396,-1.401245,0.745329,-0.006040,0.983635,0.165489
9316280285,1.493253,-1.340144,0.805249,-0.008276,0.981459,0.169082
9316282782,1.432096,-1.279144,0.865387,-0.006086,0.978548,0.165450
9316285280,1.371110,-1.279044,0.865169,-0.004597,0.978549,0.161833
9316287777,1.309953,-1.218044,0.925307,-0.004597,0.978549,0.161833
9316290275,1.309594,-1.157040,1.046352,-0.005345,0.978547,0.164005
9316292773,1.370750,-1.218040,0.986213,-0.004514,0.981478,0.156042
9316295270,1.309537,-1.339427,1.047346,-0.003764,0.979309,0.151673
9316297768,1.187526,-1.460818,1.047572,-0.003777,0.977132,0.150930
9316300265,1.004377,-1.460413,1.107605,-0.004530,0.973507,0.150168
9316302763,0.882386,-1.521009,1.107500,-0.002294,0.976406,0.147307
9316305260,0.760583,-1.581709,1.046707,-0.001573,0.974226,0.145845
9316307758,0.638610,-1.581509,1.046270,-0.004446,0.974989,0.142912
9316310255,0.638251,-1.520504,1.167315,-0.002287,0.975685,0.145848
