Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9316137673,-0.134369,-1.392606,0.229664
9316187317,-0.134655,-1.392883,0.250593
9316236970,-0.134369,-1.392586,0.229662
9316286617,-0.143252,-1.392622,0.229570
9316336267,-0.134366,-1.401724,0.229632
9316385910,-0.134651,-1.401940,0.250557
9316435559,-0.143537,-1.392879,0.250501
9316485209,-0.143540,-1.383802,0.250532
9316534862,-0.152416,-1.401931,0.250372
9316584508,-0.134655,-1.392883,0.250593
9316634152,-0.134512,-1.392715,0.240125
9316683796,-0.143683,-1.383951,0.260998
9316733444,-0.143679,-1.393028,0.260968
9316783094,-0.125923,-1.375005,0.261247
9316832733,-0.134651,-1.401960,0.250562
9316882373,-0.134940,-1.393181,0.271524
9316932019,-0.134797,-1.393032,0.261059
9316981665,-0.143826,-1.384100,0.271463
9317031309,-0.143965,-1.393325,0.281902
9317080951,-0.135226,-1.393499,0.292466
9317130588,-0.152846,-1.393260,0.281786
9317180239,-0.143969,-1.384269,0.281938
9317229887,-0.143540,-1.383802,0.250532
9317279534,-0.135229,-1.384422,0.292491
9317329182,-0.153279,-1.384710,0.313256
9317378838,-0.161879,-1.375311,0.292247
9317428487,-0.152990,-1.393469,0.292282
9317478136,-0.170759,-1.384383,0.292135
9317527788,-0.170614,-1.384174,0.281637
9317577437,-0.188088,-1.392883,0.260476
9317627087,-0.196685,-1.392560,0.239448
9317676744,-0.187799,-1.401641,0.239509
9317726427,-0.187800,-1.401662,0.239512
9317776031,-0.196253,-1.401170,0.208015
9317825681,-0.187375,-1.392139,0.208149
9317875331,-0.169607,-1.401245,0.208307
9317924979,-0.160583,-1.401121,0.197938
9317974626,-0.169462,-1.410173,0.197802
9318024269,-0.160727,-1.401311,0.208400
9318073918,-0.152126,-1.410669,0.229397
9318123565,-0.152129,-1.401592,0.229432
9318173205,-0.161876,-1.384388,0.292221
9318222850,-0.143972,-1.375193,0.281965
9318272501,-0.144257,-1.375490,0.302896
9318322147,-0.144254,-1.384566,0.302872
9318371797,-0.135526,-1.357551,0.313531
9318421441,-0.144829,-1.376105,0.344776
9318471084,-0.144978,-1.358121,0.355296
9318520728,-0.145410,-1.349512,0.386728
9318570373,-0.154576,-1.349764,0.407534
9318620017,-0.154437,-1.349694,0.397176
9318669661,-0.154438,-1.340579,0.397133
9318719306,-0.154434,-1.349635,0.397097
9318768952,-0.154292,-1.349487,0.386631
9318818609,-0.162884,-1.358201,0.365545
9318868262,-0.180358,-1.376026,0.344406
9318917916,-0.189099,-1.366776,0.333860
9318967566,-0.197409,-1.366136,0.291884
9319017224,-0.197683,-1.393602,0.312706
9319066871,-0.197411,-1.366156,0.291895
9319116515,-0.179497,-1.384169,0.281549
9319166158,-0.170611,-1.393250,0.281610
9319215802,-0.179493,-1.393226,0.281513
9319265445,-0.188377,-1.384124,0.281443
9319315088,-0.179064,-1.392759,0.250108
9319364730,-0.170328,-1.393014,0.260695
9319414368,-0.179495,-1.384149,0.281540
9319464006,-0.170325,-1.392933,0.260670
9319513657,-0.162159,-1.393763,0.313136
9319563307,-0.171331,-1.375862,0.334001
9319612948,-0.171771,-1.349159,0.365528
9319662595,-0.180648,-1.358171,0.365373
9319712240,-0.171627,-1.348991,0.355041
9319761911,-0.171338,-1.357749,0.334074
9319811531,-0.171622,-1.367143,0.355008
9319861182,-0.189386,-1.367093,0.354814
9319910839,-0.180646,-1.367247,0.365358
9319960490,-0.171333,-1.366786,0.334020
9320010142,-0.162747,-1.349055,0.355178
9320059793,-0.180361,-1.366969,0.344443
9320109437,-0.171189,-1.375733,0.323551
9320159090,-0.171046,-1.375584,0.313084
9320208743,-0.188530,-1.366200,0.292003
9320258386,-0.179495,-1.384149,0.281540
9320308040,-0.188087,-1.392863,0.260470
9320357693,-0.205561,-1.401571,0.239311
9320407339,-0.205424,-1.392387,0.228885
9320456984,-0.178778,-1.392462,0.229177
9320506640,-0.187372,-1.401216,0.208111
9320556290,-0.187374,-1.401257,0.208107
9320605950,-0.187367,-1.410251,0.208076
9320655604,-0.196396,-1.401319,0.218481
9320705252,-0.187082,-1.409954,0.187145
9320754911,-0.169322,-1.400948,0.187376
9320804566,-0.169180,-1.400819,0.176904
9320854216,-0.169604,-1.410301,0.208270
9320903871,-0.161157,-1.392660,0.239836
9320953521,-0.179206,-1.392908,0.260573
9321003177,-0.162018,-1.384516,0.302678
9321052828,-0.180074,-1.366632,0.323475
9321102479,-0.180074,-1.366632,0.323475
9321152129,-0.162453,-1.366830,0.334134
9321201786,-0.171336,-1.366845,0.334071
9321251439,-0.171617,-1.376179,0.354952
9321301086,-0.180365,-1.357913,0.344479
9321350733,-0.180358,-1.376026,0.344406
9321400378,-0.162459,-1.357833,0.334222
9321450023,-0.171197,-1.357640,0.323639
9321499672,-0.162021,-1.375440,0.302702
9321549320,-0.188524,-1.375217,0.291945
9321598970,-0.188238,-1.374919,0.271014
9321648621,-0.196972,-1.383782,0.260409
9321698265,-0.214595,-1.383603,0.249755
9321747916,-0.214734,-1.392808,0.260184
9321797563,-0.232210,-1.392441,0.239056
9321847215,-0.214591,-1.392659,0.249719
9321896863,-0.223475,-1.392655,0.249626
9321946510,-0.214585,-1.401695,0.249678
9321996163,-0.214595,-1.383603,0.249755
9322045812,-0.205857,-1.383797,0.260324
9322095463,-0.205853,-1.392853,0.260288
9322145112,-0.206139,-1.393151,0.281222
9322194756,-0.205861,-1.374741,0.260360
9322244397,-0.197549,-1.384458,0.302314
9322294045,-0.215167,-1.384218,0.291628
9322343694,-0.215176,-1.375222,0.291696
9322393347,-0.215023,-1.384049,0.281152
9322442996,-0.215169,-1.375142,0.291653
9322492654,-0.215023,-1.384049,0.281152
9322542312,-0.224053,-1.384234,0.291552
9322591968,-0.197402,-1.384248,0.291811
9322641618,-0.179206,-1.392908,0.260573
9322691269,-0.187661,-1.392457,0.229081
9322740927,-0.196396,-1.401319,0.218481
9322790577,-0.186945,-1.400790,0.176703
9322840224,-0.169029,-1.418762,0.166372
