Timestamp (us),W Element,X Element,Y Element,Z Element
9316120445,0.109667,0.095753,-0.639213,-0.755285
9316122943,0.109631,0.095754,-0.639231,-0.755274
9316125440,0.109600,0.095758,-0.639255,-0.755258
9316127938,0.109571,0.095765,-0.639286,-0.755235
9316130435,0.109551,0.095776,-0.639322,-0.755206
9316132933,0.109537,0.095792,-0.639359,-0.755175
9316135430,0.109530,0.095813,-0.639398,-0.755140
9316137928,0.109526,0.095837,-0.639438,-0.755104
9316140425,0.109524,0.095859,-0.639478,-0.755067
9316142937,0.109520,0.095879,-0.639520,-0.755030
9316145419,0.109513,0.095892,-0.639562,-0.754994
9316147916,0.109497,0.095897,-0.639605,-0.754959
9316150414,0.109474,0.095890,-0.639645,-0.754929
9316152911,0.109446,0.095871,-0.639682,-0.754904
9316155409,0.109419,0.095847,-0.639715,-0.754883
9316157907,0.109391,0.095820,-0.639749,-0.754862
9316160404,0.109366,0.095794,-0.639783,-0.754840
9316162901,0.109345,0.095770,-0.639818,-0.754816
9316165399,0.109329,0.095745,-0.639852,-0.754793
9316167897,0.109315,0.095720,-0.639884,-0.754771
9316170394,0.109305,0.095700,-0.639914,-0.754750
9316172892,0.109301,0.095682,-0.639941,-0.754730
9316175389,0.109304,0.095666,-0.639966,-0.754710
9316177887,0.109309,0.095649,-0.639987,-0.754694
9316180384,0.109312,0.095629,-0.640010,-0.754677
9316182882,0.109312,0.095606,-0.640032,-0.754661
9316185379,0.109308,0.095579,-0.640052,-0.754648
9316187878,0.109298,0.095547,-0.640072,-0.754636
9316190374,0.109288,0.095514,-0.640093,-0.754624
9316192872,0.109278,0.095481,-0.640120,-0.754607
9316195369,0.109267,0.095444,-0.640152,-0.754586
9316197867,0.109250,0.095403,-0.640188,-0.754563
9316200364,0.109227,0.095360,-0.640229,-0.754537
9316202862,0.109201,0.095316,-0.640270,-0.754511
9316205359,0.109176,0.095271,-0.640309,-0.754488
9316207857,0.109150,0.095223,-0.640342,-0.754469
9316210354,0.109128,0.095173,-0.640370,-0.754455
