Timestamp (us),Percentage (%),Power (dBm)
9316163018,98.000000,-51.000000
9317162028,96.000000,-52.000000
9318171027,90.000000,-55.000000
9319159756,98.000000,-51.000000
9320159180,90.000000,-55.000000
9321163082,86.000000,-57.000000
9322154599,92.000000,-54.000000
9323165806,94.000000,-53.000000
9324162594,98.000000,-51.000000
9325166578,100.000000,-50.000000
9326155598,82.000000,-59.000000
9327166287,82.000000,-59.000000
9328158624,94.000000,-53.000000
9329162611,100.000000,-50.000000
9330169133,100.000000,-49.000000
9331163129,90.000000,-55.000000
9332159652,94.000000,-53.000000
9333171131,82.000000,-59.000000
9334162646,70.000000,-65.000000
9335164154,64.000000,-68.000000
9336160664,72.000000,-64.000000
9337167163,72.000000,-64.000000
9338163676,72.000000,-64.000000
9339168375,72.000000,-64.000000
9340162291,76.000000,-62.000000
9341167078,78.000000,-61.000000
9342165591,74.000000,-63.000000
9343163706,78.000000,-61.000000
9344155238,74.000000,-63.000000
9345159225,60.000000,-70.000000
9346165724,82.000000,-59.000000
9347161805,92.000000,-54.000000
9348168735,90.000000,-55.000000
9349160247,84.000000,-58.000000
9350174240,98.000000,-51.000000
9351167422,90.000000,-55.000000
9352162718,82.000000,-59.000000
9353160453,86.000000,-57.000000
9354164553,80.000000,-60.000000
9355164279,100.000000,-50.000000
9356155793,96.000000,-52.000000
9357157299,100.000000,-47.000000
9358163814,100.000000,-50.000000
9359160322,76.000000,-62.000000
9360173494,68.000000,-66.000000
9361160818,66.000000,-67.000000
9362162320,78.000000,-61.000000
9363161344,72.000000,-64.000000
9364159878,66.000000,-67.000000
9365167409,68.000000,-66.000000
9366162938,74.000000,-63.000000
9367159851,68.000000,-66.000000
9368153861,70.000000,-65.000000
9369162856,72.000000,-64.000000
9370161863,68.000000,-66.000000
9371160897,80.000000,-60.000000
9372159872,82.000000,-59.000000
9373153884,84.000000,-58.000000
9374165377,80.000000,-60.000000
9375156905,90.000000,-55.000000
9376156757,86.000000,-57.000000
9377159897,84.000000,-58.000000
9378166410,88.000000,-56.000000
9379152951,92.000000,-54.000000
9380162637,92.000000,-54.000000
9381158431,82.000000,-59.000000
9382159952,100.000000,-50.000000
9383161461,96.000000,-52.000000
9384160441,90.000000,-55.000000
9385165151,82.000000,-59.000000
9386173440,84.000000,-58.000000
9387157439,70.000000,-65.000000
9388163950,74.000000,-63.000000
9389152976,66.000000,-67.000000
9390164440,66.000000,-67.000000
9391158450,74.000000,-63.000000
9392159751,68.000000,-66.000000
9393163948,74.000000,-63.000000
9394154875,80.000000,-60.000000
9395169447,80.000000,-60.000000
9396168467,74.000000,-63.000000
9397164973,74.000000,-63.000000
9398163976,70.000000,-65.000000
9399160485,82.000000,-59.000000
9400156969,82.000000,-59.000000
9401162422,90.000000,-55.000000
9402155001,90.000000,-55.000000
9403158970,86.000000,-57.000000
9404156424,88.000000,-56.000000
9405162001,86.000000,-57.000000
9406159261,78.000000,-61.000000
9407162500,88.000000,-56.000000
9408161475,100.000000,-50.000000
9409160474,90.000000,-55.000000
9410159493,96.000000,-52.000000
9411160980,94.000000,-53.000000
9412165002,90.000000,-55.000000
9413159008,78.000000,-61.000000
9414162991,66.000000,-67.000000
9415161340,70.000000,-65.000000
9416158481,68.000000,-66.000000
