Timestamp (us),Temperature (degC)
9316694873,40.250000
9317693881,40.250000
9318692891,40.250000
9319691898,40.250000
9320690905,40.250000
9321689915,40.250000
9322688922,40.250000
9323687929,40.250000
9324686939,40.250000
9325685945,40.250000
9326684954,40.250000
9327683964,40.349998
9328682970,40.325001
9329681978,40.250000
9330680988,40.250000
9331679994,40.250000
9332679002,40.250000
9333678012,40.250000
9334677021,40.250000
9335676027,40.250000
9336675037,40.250000
9337674045,40.250000
9338673051,40.250000
9339672061,40.250000
9340671068,40.250000
9341670074,40.250000
9342669083,40.250000
9343668090,40.224998
9344667096,40.125000
9345666117,40.250000
9346665112,40.250000
9347664118,40.250000
9348663125,40.250000
9349662134,40.250000
9350661139,40.250000
9351660146,40.250000
9352659154,40.250000
9353658160,40.250000
9354657167,40.250000
9355656175,40.250000
9356655181,40.250000
9357654187,40.224998
9358653195,40.125000
9359652202,40.125000
9360651207,40.125000
9361650215,40.125000
9362649221,40.125000
9363648226,40.125000
9364647233,40.125000
9365646240,40.200001
9366645245,40.224998
9367644250,40.125000
9368643258,40.125000
9369642263,40.125000
9370641268,40.125000
9371640275,40.125000
9372639279,40.125000
9373638285,40.125000
9374637291,40.125000
9375636296,40.125000
9376635301,40.125000
9377634308,40.125000
9378633312,40.125000
9379632317,40.125000
9380631323,40.075001
9381630329,40.000000
9382629333,40.000000
9383628338,40.000000
9384627344,40.000000
9385626347,40.000000
9386625351,40.000000
9387624356,40.000000
9388623361,40.000000
9389622364,40.049999
9390621367,40.099998
9391620372,40.000000
9392619374,40.000000
9393618378,40.000000
9394617382,39.950001
9395616386,39.875000
9396615388,40.000000
9397614390,40.000000
9398613394,40.000000
9399612396,40.000000
9400611398,40.000000
9401610400,40.000000
9402609404,40.000000
9403608405,40.000000
9404607407,40.000000
9405606411,40.000000
9406605411,40.000000
9407604413,40.000000
9408603415,39.950001
9409602418,39.875000
9410601418,39.875000
9411600420,39.875000
9412599423,39.875000
9413598425,39.875000
9414597424,39.875000
9415596425,39.875000
9416595428,39.875000
