Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316129814,0.176069,0.940445,-0.586987
9316149696,0.127069,1.038445,-0.586987
9316169579,0.127069,1.038445,-0.684987
9316189462,0.127069,0.940445,-0.586987
9316209348,0.078069,1.038445,-0.586987
9316229228,0.176069,1.038445,-0.586987
9316249111,0.176069,0.989445,-0.488987
9316268993,0.078069,1.038445,-0.586987
9316288877,0.127069,0.989445,-0.635987
9316308760,0.127069,0.989445,-0.537987
9316328643,0.176069,0.940445,-0.586987
9316348527,0.078069,1.038445,-0.537987
9316368411,0.127069,0.989445,-0.635987
9316388293,0.078069,1.038445,-0.684987
9316408176,0.029069,1.087445,-0.537987
9316428059,0.078069,1.087445,-0.488987
9316447941,0.127069,0.989445,-0.537987
9316467824,0.127069,0.989445,-0.537987
9316487708,0.176069,0.940445,-0.488987
9316507590,0.176069,0.891445,-0.537987
9316527473,0.127069,0.989445,-0.537987
9316547356,0.176069,0.989445,-0.635987
9316567239,0.127069,1.038445,-0.586987
9316587121,0.127069,0.989445,-0.537987
9316607004,0.225069,1.038445,-0.586987
9316626888,0.225069,0.989445,-0.488987
9316646772,0.127069,0.989445,-0.537987
9316666655,0.176069,0.891445,-0.684987
9316686537,0.176069,1.038445,-0.586987
9316706420,0.127069,1.038445,-0.586987
9316726303,0.176069,0.989445,-0.586987
9316746187,0.078069,0.989445,-0.635987
9316766070,0.127069,1.038445,-0.635987
9316785954,0.127069,1.087445,-0.586987
9316805837,0.078069,0.989445,-0.586987
9316825724,0.078069,0.989445,-0.537987
9316845604,0.078069,1.038445,-0.586987
9316865487,0.127069,0.989445,-0.586987
9316885371,0.078069,0.989445,-0.586987
9316905255,0.176069,0.940445,-0.586987
9316925136,0.127069,0.940445,-0.586987
9316945019,0.127069,0.989445,-0.635987
9316964902,0.078069,0.940445,-0.586987
9316984786,0.127069,1.038445,-0.586987
9317004669,0.078069,0.940445,-0.635987
9317024553,0.127069,0.989445,-0.635987
9317044436,0.078069,1.038445,-0.537987
9317064320,0.078069,0.989445,-0.488987
9317084204,0.127069,0.989445,-0.586987
9317104088,0.225069,0.940445,-0.586987
9317123971,0.127069,0.989445,-0.537987
9317143853,0.078069,1.087445,-0.537987
9317163735,0.127069,0.989445,-0.537987
9317183619,0.127069,0.940445,-0.586987
9317203502,0.176069,1.038445,-0.537987
9317223386,0.078069,1.038445,-0.635987
9317243270,0.225069,1.038445,-0.635987
9317263154,0.176069,0.989445,-0.635987
9317283038,0.078069,1.038445,-0.586987
9317302922,0.127069,1.038445,-0.537987
9317322805,0.127069,1.136445,-0.733987
9317342688,0.029069,1.087445,-0.684987
9317362570,-0.019931,1.087445,-0.978987
9317382453,0.078069,0.940445,-0.782987
9317402335,0.372069,1.087445,-0.880987
9317422217,0.421069,1.087445,-0.537987
9317442101,0.470069,1.087445,-0.635987
9317461981,0.176069,1.038445,-0.831987
9317481863,-0.068931,1.136445,-0.880987
9317501745,0.127069,0.989445,-0.782987
9317521627,0.470069,0.989445,-0.782987
9317541509,0.470069,1.038445,-0.831987
9317561392,0.421069,0.989445,-0.782987
9317581276,0.470069,0.940445,-0.831987
9317601159,0.617069,0.842445,-0.733987
9317621043,0.617069,0.842445,-0.831987
9317640926,0.519069,0.891445,-0.782987
9317660810,0.470069,0.744445,-0.782987
9317680695,0.421069,0.744445,-0.831987
9317700577,0.519069,0.646445,-0.733987
9317720459,0.421069,0.597445,-0.880987
9317740342,0.323069,0.597445,-0.831987
9317760226,0.519069,0.597445,-0.733987
9317780110,0.519069,0.548445,-0.831987
