Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316112020,-1.825855,2.147898,0.244062,0.128862,0.985394,-0.080950
9316114516,-1.764382,2.269944,0.123126,0.133972,0.985370,-0.082323
9316117011,-1.763676,2.452832,0.063017,0.140552,0.991109,-0.080653
9316119506,-1.823738,2.696563,0.063732,0.134744,0.991893,-0.080734
9316122002,-1.944709,2.879946,0.003442,0.131727,0.985318,-0.077990
9316124497,-1.944321,3.001688,0.003845,0.139786,0.990351,-0.078494
9316126993,-1.821886,3.123761,-0.177714,0.140516,0.989628,-0.079224
9316129489,-1.639176,3.183888,-0.177243,0.144893,0.993204,-0.077630
9316131984,-1.517500,3.183393,-0.177062,0.145501,0.990903,-0.071105
9316134479,-1.396087,3.061432,-0.237999,0.149143,0.989436,-0.072530
9316136974,-1.396423,2.879372,-0.360032,0.153457,0.983580,-0.073295
9316139470,-1.275081,2.696817,-0.481885,0.157131,0.986471,-0.073910
9316141965,-1.275804,2.393015,-0.604320,0.154976,0.987960,-0.074647
9316144461,-1.216253,2.027267,-0.544724,0.154969,0.987232,-0.074660
9316146957,-1.216852,1.723742,-0.727874,0.155693,0.990102,-0.072410
9316149452,-1.156225,1.541710,-0.910531,0.159338,0.990079,-0.073079
9316151947,-1.034636,1.359707,-1.153812,0.162329,0.993024,-0.076619
9316154443,-0.913612,1.116005,-1.215152,0.162941,0.992169,-0.069340
9316156938,-0.731944,0.811184,-1.276603,0.167285,0.991386,-0.068554
9316159434,-0.550734,0.324027,-1.399372,0.161557,0.998020,-0.069983
9316161929,-0.308368,-0.102231,-1.582565,0.163022,0.998019,-0.070688
9316164424,-0.126646,-0.467370,-1.765646,0.170262,0.995036,-0.070624
9316166920,0.054882,-0.893380,-1.948928,0.169510,0.995735,-0.068438
9316169415,0.236797,-1.197649,-2.131808,0.168820,0.999383,-0.068383
9316171911,0.418837,-1.501641,-2.375401,0.163004,0.999439,-0.068477
9316174406,0.479005,-1.866009,-2.619377,0.168143,1.000167,-0.071293
9316176901,0.538909,-2.351842,-2.924469,0.168842,1.001568,-0.068342
9316179397,0.538239,-2.715962,-3.168535,0.171687,0.996430,-0.067661
9316181893,0.659440,-3.019707,-3.412218,0.164601,0.996705,-0.080157
9316184389,0.780588,-3.263133,-3.534272,0.169647,0.998769,-0.075665
9316186884,0.901859,-3.506283,-3.717041,0.168997,1.005342,-0.076284
9316189379,1.023131,-3.749433,-3.899809,0.163151,1.000324,-0.077929
9316191874,1.083758,-3.931465,-4.082465,0.163871,0.999589,-0.077930
9316194371,1.083423,-4.113525,-4.204497,0.158775,0.998909,-0.078026
9316196867,0.961869,-4.112753,-4.265392,0.160258,0.999647,-0.079445
9316199362,0.840634,-4.050835,-4.386799,0.158865,1.002611,-0.081599
9316201857,0.840951,-3.989688,-4.447312,0.159643,1.005541,-0.082990
9316204353,0.780043,-4.050035,-4.508318,0.160381,1.005546,-0.083706
9316206849,0.779725,-4.111181,-4.447805,0.151635,1.003445,-0.083888
9316209344,0.718710,-4.050891,-4.265551,0.151010,1.007165,-0.088201
9316211839,0.597439,-3.807741,-4.082783,0.149581,1.008648,-0.088926
9316214335,0.537323,-3.503692,-3.960438,0.148829,1.009347,-0.086740
9316216830,0.416369,-3.199395,-3.838182,0.145208,1.008677,-0.088268
9316219326,0.295345,-2.955693,-3.776843,0.140767,1.005030,-0.085494
9316221821,0.235106,-2.651920,-3.593783,0.144415,1.002130,-0.088401
9316224317,0.235706,-2.348394,-3.410633,0.140753,1.005734,-0.084024
9316226812,0.236376,-1.984275,-3.166568,0.140059,1.010098,-0.083227
9316229308,0.176084,-1.620183,-2.861878,0.139371,1.006548,-0.088403
9316231803,0.115792,-1.256091,-2.557189,0.142918,0.999935,-0.087009
9316234299,0.116338,-0.892248,-2.252409,0.139917,1.001299,-0.079748
9316236794,0.116761,-0.528680,-1.886915,0.137017,1.002055,-0.079782
9316239289,0.056275,-0.225459,-1.582427,0.136290,1.002062,-0.079794
9316241785,-0.004406,0.016891,-1.278140,0.132632,0.995591,-0.082886
9316244280,0.056785,0.319617,-0.973472,0.136278,0.999889,-0.080562
