Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9316134394,0.239252,-1.226010,0.196115
9316184853,0.239120,-1.226154,0.206500
9316235313,0.239257,-1.226026,0.196138
9316285777,0.257508,-1.226200,0.206745
9316336238,0.248309,-1.226160,0.206598
9316386703,0.239261,-1.226043,0.196161
9316437167,0.248551,-1.244602,0.196335
9316487632,0.239017,-1.235498,0.216815
9316538087,0.239077,-1.216904,0.206497
9316588537,0.229898,-1.216931,0.206448
9316638996,0.239077,-1.216904,0.206497
9316689461,0.248455,-1.226066,0.196283
9316739923,0.248220,-1.235556,0.216991
9316790379,0.248544,-1.216671,0.185896
9316840832,0.239031,-1.235549,0.216893
9316891285,0.238974,-1.226248,0.216812
9316941744,0.257498,-1.226166,0.206696
9316992201,0.248178,-1.226305,0.216988
9317042660,0.248027,-1.226382,0.227274
9317093115,0.248173,-1.226288,0.216962
9317143574,0.239077,-1.216904,0.206497
9317194029,0.247979,-1.217115,0.227244
9317244483,0.248220,-1.235556,0.216991
9317294944,0.266681,-1.226156,0.206769
9317345397,0.256948,-1.226661,0.248141
9317395854,0.247371,-1.208309,0.268588
9317446312,0.209774,-1.208966,0.330259
9317496771,0.181980,-1.190558,0.340297
9317547227,0.089103,-1.191272,0.411686
9317597681,-0.030817,-1.182258,0.441365
9317648130,-0.169104,-1.145402,0.460617
9317698591,-0.298060,-1.108425,0.469570
9317749036,-0.371707,-1.080639,0.468839
9317799485,-0.426942,-1.052809,0.468055
9317849939,-0.418011,-1.062315,0.488957
9317900383,-0.381037,-1.080744,0.479081
9317950837,-0.316353,-1.099081,0.459154
9318001293,-0.233381,-1.126778,0.449705
9318051757,-0.067438,-1.182188,0.430862
9318102212,0.116021,-1.173250,0.453386
9318152667,0.363691,-1.108789,0.466412
9318203128,0.602196,-0.988579,0.458579
9318253581,0.747294,-0.795164,0.532262
9318304043,0.837935,-0.610565,0.564339
9318354507,0.882926,-0.434947,0.575110
9318404965,0.880988,-0.287936,0.668207
9318455419,0.862110,-0.214031,0.678237
9318505870,0.861739,-0.167893,0.688470
9318556321,0.861965,-0.186283,0.678138
