Timestamp (us),W Element,X Element,Y Element,Z Element
9316112020,0.381808,0.497003,0.543351,0.558770
9316114516,0.381791,0.496952,0.543356,0.558822
9316117011,0.381772,0.496898,0.543362,0.558877
9316119506,0.381751,0.496840,0.543370,0.558935
9316122002,0.381732,0.496777,0.543379,0.558995
9316124497,0.381709,0.496714,0.543388,0.559058
9316126993,0.381685,0.496648,0.543402,0.559120
9316129489,0.381658,0.496584,0.543417,0.559181
9316131984,0.381630,0.496519,0.543432,0.559242
9316134479,0.381611,0.496467,0.543440,0.559294
9316136974,0.381595,0.496416,0.543447,0.559343
9316139470,0.381580,0.496368,0.543455,0.559388
9316141965,0.381571,0.496322,0.543462,0.559428
9316144461,0.381564,0.496282,0.543467,0.559465
9316146957,0.381564,0.496242,0.543470,0.559497
9316149452,0.381566,0.496204,0.543474,0.559525
9316151947,0.381571,0.496167,0.543481,0.559547
9316154443,0.381579,0.496133,0.543486,0.559567
9316156938,0.381589,0.496104,0.543491,0.559582
9316159434,0.381605,0.496079,0.543497,0.559586
9316161929,0.381626,0.496060,0.543504,0.559582
9316164424,0.381649,0.496046,0.543511,0.559572
9316166920,0.381679,0.496036,0.543518,0.559554
9316169415,0.381712,0.496029,0.543528,0.559528
9316171911,0.381751,0.496024,0.543540,0.559494
9316174406,0.381796,0.496021,0.543553,0.559454
9316176901,0.381849,0.496021,0.543564,0.559406
9316179397,0.381909,0.496023,0.543575,0.559353
9316181893,0.381974,0.496028,0.543591,0.559289
9316184389,0.382041,0.496036,0.543606,0.559222
9316186884,0.382108,0.496040,0.543627,0.559152
9316189379,0.382179,0.496045,0.543651,0.559076
9316191874,0.382254,0.496051,0.543676,0.558995
9316194371,0.382333,0.496057,0.543701,0.558911
9316196867,0.382414,0.496062,0.543725,0.558828
9316199362,0.382497,0.496063,0.543751,0.558745
9316201857,0.382579,0.496063,0.543778,0.558662
9316204353,0.382663,0.496063,0.543804,0.558579
9316206849,0.382750,0.496063,0.543830,0.558494
9316209344,0.382833,0.496064,0.543856,0.558411
9316211839,0.382913,0.496064,0.543880,0.558334
9316214335,0.382989,0.496060,0.543904,0.558262
9316216830,0.383061,0.496052,0.543929,0.558194
9316219326,0.383132,0.496040,0.543954,0.558132
9316221821,0.383197,0.496027,0.543979,0.558075
9316224317,0.383258,0.496012,0.544004,0.558023
9316226812,0.383311,0.495994,0.544029,0.557977
9316229308,0.383357,0.495976,0.544055,0.557937
9316231803,0.383394,0.495957,0.544078,0.557905
9316234299,0.383425,0.495935,0.544101,0.557881
9316236794,0.383453,0.495918,0.544118,0.557860
9316239289,0.383474,0.495900,0.544135,0.557845
9316241785,0.383489,0.495883,0.544150,0.557835
9316244280,0.383497,0.495866,0.544164,0.557831
9316246776,0.383494,0.495851,0.544179,0.557832
9316249271,0.383483,0.495834,0.544197,0.557837
9316251767,0.383467,0.495817,0.544217,0.557844
9316254262,0.383449,0.495799,0.544237,0.557853
9316256758,0.383430,0.495782,0.544255,0.557863
9316259253,0.383404,0.495767,0.544273,0.557876
9316261749,0.383376,0.495752,0.544291,0.557892
