Timestamp (us),Percentage (%),Power (dBm)
9316299297,88.000000,-56.000000
9317285028,90.000000,-55.000000
9318290684,88.000000,-56.000000
9319286371,84.000000,-58.000000
9320299524,94.000000,-53.000000
9321287709,88.000000,-56.000000
9322290050,96.000000,-52.000000
9323301561,94.000000,-53.000000
9324297247,86.000000,-57.000000
9325285461,78.000000,-61.000000
9326293597,90.000000,-55.000000
9327299267,90.000000,-55.000000
9328289980,88.000000,-56.000000
9329285684,92.000000,-54.000000
9330296314,98.000000,-51.000000
9331296992,94.000000,-53.000000
9332295201,98.000000,-51.000000
9333292566,100.000000,-48.000000
9334294040,100.000000,-49.000000
9335284406,84.000000,-58.000000
9336285446,78.000000,-61.000000
9337286127,66.000000,-67.000000
9338299259,62.000000,-69.000000
9339292453,70.000000,-65.000000
9340292385,64.000000,-68.000000
9341288824,62.000000,-69.000000
9342297144,72.000000,-64.000000
9343285221,60.000000,-70.000000
9344290877,58.000000,-71.000000
9345289049,58.000000,-71.000000
9346311797,66.000000,-67.000000
9347300396,80.000000,-60.000000
9348286129,70.000000,-65.000000
9349287743,72.000000,-64.000000
9350297156,86.000000,-57.000000
9351295626,76.000000,-62.000000
9352283830,94.000000,-53.000000
9353294520,86.000000,-57.000000
9354308354,76.000000,-62.000000
9355290859,96.000000,-52.000000
9356289059,94.000000,-53.000000
9357287225,94.000000,-53.000000
9358290401,94.000000,-53.000000
9359287815,100.000000,-50.000000
9360286797,80.000000,-60.000000
9361294134,80.000000,-60.000000
9362290619,78.000000,-61.000000
9363286334,68.000000,-66.000000
9364290061,60.000000,-70.000000
9365285195,56.000000,-72.000000
9366284803,64.000000,-68.000000
9367286553,62.000000,-69.000000
9368297205,76.000000,-62.000000
9369284842,74.000000,-63.000000
9370284854,66.000000,-67.000000
9371291231,64.000000,-68.000000
9372299893,60.000000,-70.000000
9373285628,60.000000,-70.000000
9374293799,70.000000,-65.000000
9375301925,74.000000,-63.000000
9376300136,78.000000,-61.000000
9377288305,76.000000,-62.000000
9378284957,80.000000,-60.000000
9379299657,82.000000,-59.000000
9380287840,82.000000,-59.000000
9381296005,76.000000,-62.000000
9382289193,94.000000,-53.000000
9383285037,92.000000,-54.000000
9384285564,100.000000,-50.000000
9385288763,98.000000,-51.000000
9386295849,92.000000,-54.000000
9387289710,78.000000,-61.000000
9388299891,70.000000,-65.000000
9389286469,70.000000,-65.000000
9390289628,62.000000,-69.000000
9391290291,60.000000,-70.000000
9392305938,62.000000,-69.000000
9393289162,72.000000,-64.000000
9394294842,74.000000,-63.000000
9395288004,58.000000,-71.000000
9396285187,60.000000,-70.000000
9397286887,64.000000,-68.000000
9398290031,54.000000,-73.000000
9399299495,42.000000,-79.000000
9400285293,64.000000,-68.000000
9401285251,62.000000,-69.000000
9402297723,68.000000,-66.000000
9403285287,84.000000,-58.000000
9404286624,80.000000,-60.000000
9405294773,88.000000,-56.000000
9406288037,76.000000,-62.000000
9407288622,92.000000,-54.000000
9408286832,92.000000,-54.000000
9409287506,86.000000,-57.000000
9410298134,96.000000,-52.000000
9411288828,100.000000,-50.000000
9412285392,100.000000,-50.000000
9413285405,100.000000,-50.000000
9414295859,80.000000,-60.000000
9415290697,70.000000,-65.000000
9416299706,68.000000,-66.000000
