Timestamp (us),Temperature (degC)
9316376540,37.250000
9317374719,37.250000
9318372902,37.250000
9319371084,37.275002
9320369265,37.375000
9321367449,37.250000
9322365631,37.250000
9323363812,37.250000
9324361997,37.275002
9325360178,37.375000
9326358362,37.375000
9327356547,37.375000
9328354729,37.375000
9329352912,37.375000
9330351098,37.375000
9331349281,37.375000
9332347466,37.450001
9333345650,37.474998
9334343833,37.375000
9335342019,37.375000
9336340203,37.375000
9337338388,37.424999
9338336575,37.500000
9339334759,37.500000
9340332944,37.400002
9341331130,37.450001
9342329314,37.450001
9343327501,37.375000
9344325686,37.500000
9345323869,37.400002
9346322056,37.375000
9347320240,37.375000
9348318425,37.375000
9349316611,37.375000
9350314794,37.375000
9351312978,37.375000
9352311164,37.375000
9353309346,37.375000
9354307530,37.375000
9355305715,37.299999
9356303923,37.275002
9357302081,37.375000
9358300266,37.375000
9359298448,37.275002
9360296632,37.250000
9361294816,37.250000
9362292997,37.250000
9363291181,37.250000
9364289365,37.250000
9365287546,37.299999
9366285729,37.375000
9367283912,37.375000
9368282093,37.275002
9369280276,37.250000
9370278459,37.275002
9371276640,37.375000
9372274822,37.250000
9373273005,37.250000
9374271185,37.250000
9375269368,37.250000
9376267548,37.250000
9377265730,37.250000
9378263913,37.250000
9379262093,37.250000
9380260274,37.250000
9381258456,37.250000
9382256636,37.250000
9383254818,37.174999
9384252998,37.125000
9385251179,37.125000
9386249361,37.250000
9387247540,37.250000
9388245722,37.250000
9389243901,37.250000
9390242082,37.250000
9391240265,37.150002
9392238445,37.200001
9393236626,37.250000
9394234806,37.250000
9395232986,37.250000
9396231168,37.250000
9397229347,37.250000
9398227528,37.224998
9399225707,37.125000
9400223887,37.250000
9401222069,37.174999
9402220247,37.125000
9403218428,37.125000
9404216607,37.125000
9405214787,37.125000
9406212967,37.125000
9407211146,37.150002
9408209326,37.250000
9409207507,37.125000
9410205686,37.224998
9411203867,37.250000
9412202045,37.250000
9413200224,37.250000
9414198405,37.250000
9415196584,37.250000
9416194765,37.200001
