Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9316147604,0.054034,0.781954,-0.364118
9316168048,0.005034,0.683954,-0.413118
9316188492,0.005034,0.781954,-0.413118
9316208937,0.054034,0.732954,-0.511118
9316229381,0.054034,0.781954,-0.462118
9316249825,0.152034,0.732954,-0.413118
9316270269,0.103034,0.928954,-0.413118
9316290713,-0.092966,0.732954,-0.315118
9316311158,0.054034,0.781954,-0.462118
9316331604,0.103034,0.781954,-0.462118
9316352050,0.005034,0.830954,-0.413118
9316372496,0.005034,0.732954,-0.413118
9316392941,0.054034,0.732954,-0.511118
9316413386,0.054034,0.732954,-0.413118
9316433831,0.005034,0.781954,-0.462118
9316454277,0.103034,0.781954,-0.511118
9316474721,0.103034,0.830954,-0.462118
9316495166,0.054034,0.732954,-0.462118
9316515611,0.054034,0.683954,-0.511118
9316536056,0.103034,0.879954,-0.364118
9316556501,0.054034,0.634954,-0.364118
9316576946,0.005034,0.830954,-0.413118
9316597392,0.005034,0.781954,-0.560118
9316617837,-0.092966,0.781954,-0.462118
9316638282,0.005034,0.781954,-0.413118
9316658727,0.103034,0.732954,-0.413118
9316679176,0.054034,0.781954,-0.413118
9316699619,0.005034,0.781954,-0.413118
9316720064,0.005034,0.732954,-0.462118
9316740511,-0.092966,0.781954,-0.462118
9316760956,0.005034,0.732954,-0.462118
9316781400,-0.043966,0.732954,-0.462118
9316801845,0.054034,0.830954,-0.413118
9316822290,-0.043966,0.781954,-0.413118
9316842734,0.005034,0.879954,-0.462118
9316863179,-0.043966,0.781954,-0.462118
9316883624,0.005034,0.879954,-0.364118
9316904069,0.005034,0.781954,-0.364118
9316924515,0.054034,0.732954,-0.364118
9316944960,0.054034,0.732954,-0.462118
9316965404,0.054034,0.781954,-0.364118
9316985849,-0.043966,0.732954,-0.413118
9317006293,0.005034,0.683954,-0.462118
9317026736,0.103034,0.781954,-0.413118
9317047176,0.005034,0.781954,-0.462118
9317067615,0.005034,0.732954,-0.413118
9317088055,-0.043966,0.781954,-0.413118
9317108500,0.054034,0.781954,-0.413118
9317128943,0.005034,0.781954,-0.511118
9317149387,0.054034,0.830954,-0.462118
9317169831,0.005034,0.732954,-0.511118
9317190275,0.054034,0.781954,-0.462118
9317210721,0.054034,0.732954,-0.413118
9317231167,0.103034,0.830954,-0.462118
9317251613,-0.043966,0.732954,-0.364118
9317272057,0.005034,0.781954,-0.462118
9317292502,0.054034,0.732954,-0.462118
9317312946,0.103034,0.830954,-0.462118
9317333391,0.103034,0.830954,-0.413118
9317353834,0.103034,0.732954,-0.462118
9317374279,0.201034,0.732954,-0.609118
9317394723,0.054034,0.683954,-0.609118
9317415167,0.103034,0.634954,-0.609118
9317435611,0.005034,0.830954,-0.756118
9317456055,-0.043966,0.732954,-0.805118
9317476499,0.103034,0.634954,-0.609118
9317496943,0.054034,0.732954,-0.707118
9317517387,0.103034,0.830954,-0.707118
9317537832,0.054034,0.879954,-0.658118
9317558277,0.152034,0.732954,-0.707118
9317578722,0.152034,0.830954,-0.707118
9317599166,0.005034,0.781954,-0.805118
9317619610,0.152034,0.732954,-0.854118
9317640054,0.103034,0.634954,-0.805118
9317660498,0.201034,0.585954,-0.707118
9317680941,0.103034,0.536954,-0.756118
9317701385,0.152034,0.536954,-0.658118
9317721828,0.152034,0.487954,-0.560118
9317742272,0.152034,0.340954,-0.609118
9317762716,0.152034,0.340954,-0.560118
9317783159,0.201034,0.242954,-0.658118
9317803603,0.054034,0.242954,-0.560118
9317824047,0.201034,0.340954,-0.462118
9317844490,0.299034,0.193954,-0.462118
9317864934,0.152034,0.193954,-0.462118
9317885377,0.250034,0.242954,-0.217118
9317905821,0.348034,0.193954,-0.266118
9317926266,0.250034,0.144954,-0.413118
9317946710,0.250034,0.193954,-0.511118
9317967154,0.201034,0.487954,-0.560118
9317987598,0.250034,0.487954,-0.413118
9318008042,0.250034,0.536954,-0.413118
9318028486,0.397034,0.536954,-0.560118
9318048929,0.299034,0.732954,-0.560118
9318069373,0.299034,0.830954,-0.707118
9318089817,0.593034,0.879954,-0.609118
9318110261,0.397034,0.830954,-0.609118
9318130704,0.348034,1.075954,-0.658118
9318151148,0.397034,1.124954,-0.462118
9318171592,0.348034,1.222954,-0.315118
9318192036,0.348034,1.173954,-0.070118
9318212481,0.397034,1.271954,0.076882
9318232923,0.446034,1.124954,0.174882
9318253367,0.691034,1.271954,0.223882
9318273813,0.544034,1.369954,-0.021118
9318294257,0.397034,1.124954,-0.021118
9318314702,0.348034,0.830954,0.174882
9318335146,0.348034,0.683954,0.370882
9318355591,0.446034,0.732954,0.566882
9318376035,0.348034,0.487954,0.223882
9318396480,0.250034,0.291954,0.076882
9318416924,0.299034,0.291954,0.076882
9318437368,0.250034,0.193954,0.125882
9318457810,0.250034,0.242954,0.174882
9318478255,0.348034,0.291954,0.174882
9318498700,0.397034,0.144954,0.076882
9318519144,0.348034,0.095954,0.174882
9318539589,0.250034,0.193954,0.223882
9318560034,0.348034,0.340954,0.125882
9318580480,0.299034,0.340954,0.125882
9318600925,0.250034,0.340954,0.174882
9318621369,0.348034,0.389954,0.223882
9318641815,0.397034,0.487954,0.272882
9318662260,0.299034,0.487954,0.272882
9318682705,0.348034,0.585954,0.272882
9318703149,0.299034,0.683954,0.321882
9318723593,0.299034,0.928954,0.272882
9318744037,0.397034,1.173954,0.223882
9318764481,0.446034,1.222954,0.027882
9318784926,0.495034,1.173954,-0.364118
9318805371,0.544034,1.271954,-0.658118
9318825816,0.642034,1.320954,-0.707118
9318846260,0.446034,1.369954,-0.707118
9318866706,0.495034,1.418954,-0.854118
9318887150,0.397034,1.418954,-0.707118
9318907594,0.446034,1.369954,-0.511118
9318928039,0.397034,1.124954,-0.413118
9318948484,0.397034,0.928954,-0.364118
9318968929,0.397034,0.732954,-0.511118
9318989374,0.299034,0.536954,-0.560118
9319009819,0.250034,0.389954,-0.511118
9319030265,0.250034,0.340954,-0.609118
9319050711,0.397034,0.340954,-0.560118
9319071156,0.250034,0.242954,-0.560118
9319091601,0.348034,0.144954,-0.462118
9319112046,0.446034,0.095954,-0.462118
9319132491,0.299034,0.046954,-0.413118
9319152936,0.348034,0.046954,-0.511118
9319173380,0.250034,-0.002046,-0.462118
9319193825,0.250034,-0.002046,-0.560118
9319214270,0.299034,-0.002046,-0.609118
9319234716,0.250034,-0.002046,-0.511118
9319255160,0.299034,-0.002046,-0.560118
9319275624,0.250034,-0.051046,-0.462118
9319296051,0.299034,-0.002046,-0.462118
9319316496,0.299034,0.046954,-0.462118
9319336941,0.299034,0.046954,-0.462118
9319357386,0.348034,0.291954,-0.413118
9319377830,0.299034,0.340954,-0.560118
9319398274,0.348034,0.340954,-0.707118
9319418717,0.495034,0.340954,-0.707118
9319439161,0.544034,0.585954,-0.658118
9319459604,0.348034,0.732954,-0.903118
9319480048,0.446034,0.634954,-0.903118
9319500492,0.446034,0.683954,-0.462118
9319520936,0.495034,0.928954,-0.315118
9319541381,0.397034,1.075954,-0.364118
9319561826,0.446034,1.271954,-0.413118
9319582271,0.250034,1.320954,-0.315118
9319602714,0.397034,1.271954,-0.070118
9319623159,0.446034,1.173954,0.174882
9319643604,0.544034,1.271954,0.125882
9319664049,0.348034,1.173954,0.125882
