Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9316148342,0.484572,0.985378,1.483353,0.224927,0.851928,-0.443095
9316150838,0.552747,0.620308,1.604318,0.222807,0.847497,-0.445979
9316153334,0.557527,0.376310,1.664531,0.222806,0.844607,-0.444482
9316155829,0.560867,0.193177,1.785977,0.223515,0.843190,-0.442266
9316158325,0.501861,0.070036,1.907496,0.221355,0.841703,-0.443004
9316160821,0.444099,-0.114079,2.028811,0.219925,0.840940,-0.444471
9316163317,0.508738,-0.296122,2.089359,0.222851,0.840935,-0.446618
9316165812,0.576060,-0.600006,2.088470,0.222178,0.840135,-0.450990
9316168308,0.578352,-0.722058,2.149091,0.222933,0.840827,-0.453904
9316170804,0.456147,-0.724023,2.148829,0.225870,0.838638,-0.456021
9316173300,0.333550,-0.726200,2.270626,0.226611,0.835733,-0.455971
9316175796,0.272644,-0.727076,2.209466,0.226624,0.837884,-0.458187
9316178291,0.089140,-0.730129,2.270103,0.224428,0.840059,-0.457518
9316180787,-0.093972,-0.732969,2.208683,0.228772,0.841555,-0.457479
9316183283,-0.281208,-0.553103,2.269931,0.228790,0.844424,-0.460433
9316185779,-0.346895,-0.309980,2.148558,0.225914,0.847255,-0.464155
9316188275,-0.412778,-0.066963,2.088214,0.226587,0.850944,-0.461281
9316190770,-0.478269,0.176266,1.905813,0.225108,0.854581,-0.460622
9316193266,-0.663673,0.295479,1.783772,0.222293,0.853718,-0.467938
9316195762,-0.907887,0.291657,1.722221,0.222986,0.853768,-0.465013
9316198258,-1.093487,0.410763,1.661208,0.222922,0.861080,-0.462927
9316200754,-1.338945,0.467913,1.599861,0.223664,0.861065,-0.464374
9316203249,-1.403584,0.649957,1.539314,0.228035,0.857466,-0.464265
9316205745,-1.526838,0.709072,1.478227,0.226561,0.861820,-0.464345
9316208241,-1.588792,0.769276,1.356243,0.224384,0.871198,-0.468876
9316210737,-1.651139,0.829267,1.356317,0.228712,0.875607,-0.468877
